Text,CUIS
d value,C1522609
crohn s disease related surgery,C0010346;C0038894;C0038895;C0543467;C1274039
with previous surgery,C0038894;C0038895;C0543467;C1274039
without previous surgery,C0038894;C0038895;C0543467;C1274039
baseline corticosteroid use mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
with corticosteroid treatment $nmbr$,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
duration of crohn s disease yrs,C0449238;C2926735;C0012634
baseline crp mg dl,C0168634;C0439269;C1442488
europe lsrael,C0015176
baseline $nmbr$ asa,C0004057;C3853627
use $nmbr$ asa compounds,C0205198;C1706082
no use of $nmbr$ asa compounds,C1524063;C0004057;C3853627
total group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
ifx n $nmbr$,C0020823
enox,C3147679
no dm,C0011816;C3250443
no prior ml,C0439526;C1705224;C3887665
fibrinolytic,C0040044
fibrin specilic,C0015982
time to rx,C0040223;C3541383
amlodipine valsartan $nmbr$ to $nmbr$ $nmbr$ mg n $nmbr$,C1962523;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
amlodipine $nmbr$ to $nmbr$ mg n $nmbr$,C0051696;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
age sd yrs,C0001779;C2699239
age category n,C0001779;C0683312;C3889287
hypertension severity at baseline n,C0439793;C0522510
diabetic status n,C0241863;C0449438
ish status n,C0449438
bmi n,C0578022
tiotropium nz $nmbr$,C0213771;C0027978
control nz $nmbr$,C0243148;C0027978;C1550141;C1882979;C2587213;C3274648;C4553389
a demographics,C0011298;C1704791
history pack years,C0019664;C1277691;C0019665;C0262512;C0262926;C1705255;C2004062
gold stage [n ],C0205390;C1300072;C1306673;C0369718;C0441922
pre bronchodilator,C2599602
post bronchodilator,C2599594
patients with $nmbr$ $nmbr$ ml increase in fev $nmbr$ post bronchodilator,C0030705;C0439526;C1705224;C3887665;C3714541;C2599594
fvc predicted,C3714541;C0681842;C1882327
b concomitant respiratory medications [n ],C0521115;C0418986;C0369718;C0441922
any pulmonary medication,C0013227;C3244316;C4284232
anti cholinergics long acting,C0242896;C0205166;C1706317
anti cholinergics short acting a,C0242896;C1282927;C1806781;C2350002
b agonists long acting a,C0243192;C2987634;C0205166;C1706317
b agonists short acting a,C0243192;C2987634;C1282927;C1806781;C2350002
leukotriene receptor antagonists,C0595726;C2757015;C3542962
mucolytics,C0026698
steroids inhaled a,C0038317;C0004048
steroids other,C0038317
theophyllines,C0039771
mean yearly decline,C0332181;C0439508
pred,C0032952;C0044955
fev $nmbr$ pre bronchodilator,C3714541;C2599602
fev $nmbr$ post bronchodilator,C3714541;C2599594
fvc pre bronchodilator,C3714541;C2599602
fvc post bronchodilator,C3714541;C2599594
baseline parameter,C0549193;C1704769;C2350001
number of subjects,C0237753;C0449788
asthma duration sd years,C0004096;C0439234;C2984299
fev $nmbr$ percent predicted sd,C0439165;C2699239
am pef sd l min,C0702093;C1524029;C3813700
pm pef sd l min,C0702093;C1524029;C3813700
symptom score sd,C3476546;C2699239
albuterol use sd puffs day,C0332173;C0439228;C0439505
figure $nmbr$ change in am pef by bmi and treatment group bars represent the standard error of the mean,C0030771;C1518922;C1542834;C1707156;C3274014;C3541345;C1882932;C1710181
figure $nmbr$ change in pm pef by bmi and treatment group bars represent the standard error of the mean,C0392747;C0443172;C1705241;C4319952;C0578022;C1707156;C3274014;C3541345;C1882932;C1710181
figure $nmbr$ change in $nmbr$ hour symptoms score by bmi and treatment group bars represent the standard error of the mean,C0436315;C0578022;C1707156;C3274014;C3541345;C1882932;C1710181
nyha ll lll patients with lvef,C1275491;C0030705;C0428772;C0488728
remaining patients,C1527428;C0030705
age years sd,C1510829;C2699239
ischaemic dilated cardiomyopathy,C1960867
non rheumatic valvular heart disease,C1518422;C0264757
non ischaemic dilated cardiomyopathy,C1518422;C1960867
overall population,C0032659;C1257890
hr [ $nmbr$ ci,C0008107;C3259781
$nmbr$ $nmbr$ [ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
lvef^ $nmbr$ $nmbr$ and nyha class ii iii at baseline,C0428772;C0488728;C1882086
$nmbr$ $nmbr$ [ $nmbr$ $nmbr$ $nmbr$ $nmbr$ ],
outcome measure,C0086749
time to first cv hospitalization or death from any cause,C0040223;C3541383;C0007465
first cv hospitalization,C0205435;C0019993;C1279901
death from any cause,C0007465
first hospitalization for chf or cv death,C0019993;C0018802;C0011065;C1306577;C4082313;C4552775
indacaterol $nmbr$ mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
age yr mean sd,C0001779;C2699239
ics users n,C0815320;C1706077;C4551720
smoking history pack years mean sd,C1277691;C2699239
fevi l mean sd $nmbr$,C0429706;C2699239;C0849974;C1561566;C4528367
fevi predicted mean sd $nmbr$,C0429706;C2699239;C0849974;C1561566;C4528367
fev $nmbr$ fvc mean sd $nmbr$,C0444504;C2699239;C2347634;C2348143
reversibility b $nmbr$ agonist mean sd $nmbr$,C0444504;C2699239;C2347634;C2348143
reversibility anticholinergic mean sd,C0242896;C2699239;C3537004
figure $nmbr$ trough fev $nmbr$ at $nmbr$ weeks differences between active and placebo treatments in patient subgroups divided according to baseline status for age smoking status and inhaled corticosteroid ics use all contrasts versus placebo signi cant at p $nmbr$ $nmbr$ indacaterol both doses was noninferior to tiotropium p $nmbr$ $nmbr$ in all subgroups,C0444506;C3714541;C1705241;C1705242;C1554093;C3242279;C3242455;C0332849;C0168634;C1442488;C0001779;C1519386;C0004048;C0239126;C0009924;C1979874;C0032042;C2825972;C1696465;C1706408;C0178602;C0213771;C1079230
aml val $nmbr$ $nmbr$ mg rr $nmbr$,C0023465;C4554402;C0023467
ami $nmbr$ mg n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
sex n male,C0086582
non elderly,C1518422;C0001792;C1999167
elderly $nmbr$ years,C0001792;C0439234;C1999167
race ethnicity chinese,C0008120;C0152035
bmi kg m $nmbr$ n,C0022718;C0439209;C4054209;C0369718;C0441922
type $nmbr$ diabetes history n,C1320657;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
duration of hypertension years,C0449238;C2926735
mean sitting dbp mmhg,C0277814;C0439475;C2584297;C4050224
mean sitting sbp mmhg,C0085805;C0439475
least square mean se,C0023189;C0036919
difference se,C1705241;C0036919;C1705242
aml val $nmbr$ $nmbr$ mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
ami $nmbr$ mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
pad at baseline,C0182158;C0332568;C3540603;C3669270;C3814046;C4319657
no pad baseline,C0168634;C1442488
epa,
ezetimibe simvastatin $nmbr$ $nmbr$ mg n $nmbr$,C1532737;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
rosuvastatin $nmbr$ $nmbr$ mg n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
current cvd diabetes n,C0007222;C0011847;C0011849
high risk cvd n,C0332167;C3272283;C4050568;C4319571
mean $nmbr$ year cvd risk,C0007222;C0035647;C4552904
type $nmbr$ n,C0332307;C1547052
fasting lipid levels mmol l,C0428460;C1532563
triglycerides median range,C1514721;C2348147;C3542016
percentage patients reaching target,C0439165;C0030705;C1549488;C1561533;C2584321;C1521840;C2986546
exetimibe simvastatin,C0074554
atorvastatin,C0286651
ldl c $nmbr$ $nmbr$ mmol l,C1532563
jbs $nmbr$ secondary prevention only $nmbr$,C0175692;C0679699;C0795841;C1416527
jbs $nmbr$ primary prevention only $nmbr$,C0175692;C0033144;C0795841;C1416527
nice secondary prevention onlyb,C4087029;C0679699
nice primary prevention onlyb,C4087029;C0033144
baseline ldl c $nmbr$ $nmbr$ to $nmbr$ $nmbr$ mmol lc,C0168634;C1442488;C0439190
infliximab naive n $nmbr$,C0666743
infliximab experienced n $nmbr$,C0666743
mean s d age years,C0444504;C1510829;C2347634;C2348143
mean duration of disease years,C0872146;C0439234
location of crohn s disease,C0450429;C1515974;C4284930;C4284931;C0012634
upper gastrointestinal,C1282910;C0521362
resection performed,C0015252;C0728940;C0884358
mean cdai score,C3533236;C0683448;C1413248;C3273706
geometric mean crp concentration mg l,C2986759;C0439268
penetrating disease,C0205321;C0012634
medications at baseline n,C0013227;C0802604;C2598133;C4284232
no corticosteroids or immunosuppressants,C0001617;C3539185;C3540725;C3540726;C3540727;C0021081
figure $nmbr$ maintenance of a response and b remission at week $nmbr$ by prior in iximab use intent to treat population,C0024501;C0871261;C1704632;C1706817;C2911692;C0544452;C0687702;C0332152;C0032659;C1257890
history of myocardial infarction,C1275835
history of cabg surgery,C0455610;C0010055
symptom onset to hospital admission,C4086878;C0184666
intervention,C0184661;C0886296;C1273869
final timi flow grade post ppci,C0205088;C3272266;C1546485;C3853528
macce,
lce n $nmbr$,C1423759;C3273355
lc n $nmbr$,
age mean yr,C0001779;C0439234
men no,C0025266
mean duration of pd yr,C0449238;C2926735
updrs total ii iii,C0439070;C1705160
updrs part ii adl,C0001288;C1420005
updrs part iii motor,C1513492;C1705994
hoehn yahr stage,C0205390;C1300072;C1306673
schwab england score,C0449820;C4050231
pdq $nmbr$,
previous antiparkinson medication no,C0205156;C0003405;C1552607
dopamine agonist use no,C0042153;C0457083;C1947944
lce l dopa carbidopa entacapone lc l dopa carbidopa pd parkinson disease updrs rating scale adl activities of daily living pdq $nmbr$ parkinson disease questionnaire,C1292728;C0337645;C0034394
unified parkinson disease,C0030567;C1521736
olmesartan medoxomil $nmbr$ mg hctz $nmbr$ $nmbr$ mg n $nmbr$,C0386393;C1319635
olmesartan medoxomil $nmbr$ mg n $nmbr$,C0386393;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
age y [mean sd],C0001779;C0444504;C2699239;C2347634;C2348143
$nmbr$ [n ],C0369718;C0441922
males [n ],C0086582;C0369718;C0441922
diabetes mellitus [n ],C0011849;C0369718;C0441922
bmi kg m $nmbr$ [mean sd],C0022718;C0439209;C4054209;C0444504;C2699239;C2347634;C2348143
sedbp mmhg [mean_ sd]a,C0439475;C0444504;C2699239;C2347634;C2348143
sesbp mmhg [mean _sd]a,C0439475;C0444504;C2699239;C2347634;C2348143
severity ofhypertension [n ]b,C0439793;C0522510;C0369718;C0441922
mild,C2945599
pre treatedforhypertension [n ],C0332152;C0740175;C2257086;C3669034;C0369718;C0441922
pre treatment[n ]c,C1550147;C2709094;C3539075;C3539076;C2349138
calcium channelantagonist,C0006675;C0006726;C2936886;C3540037;C3714611
low ceiling diuretic,C0205251;C0012798;C1550472;C3890211;C4048187;C4321351;C4522223
bp in pre treated patients,C0037623;C1415692;C1708288;C4318478
sedbp mmhg [mean _sd]d,C0439475;C0444504;C2699239;C2347634;C2348143
sesbp mmhg [mean sd]d,C0439475;C0444504;C2699239;C2347634;C2348143
high dose statin,C0444956;C0360714
prevalence of each metabolic syndrome criterion,C0033105;C0220900
met criterion at blt n [ ],C0428210;C0243161;C1550543;C4317104
met criterion at final n [ ],C0243161;C0205088;C1546485;C3853528
elevated tg,C0205250;C0337445;C3163633
elevated blood pressure,C0020538;C0497247
met criterion at bl n [ ],C0243161;C0005918;C0006413;C1552663;C2827109
elevated fasting glucose,C0015663;C0017725
increased waist circumference,C0205217;C0455829;C0442805
met criterion at finalt,C0428210;C0243161;C1550543;C4317104
n a,C1272460
changes a in metabolic syndrome parameters hdl cholesterol,C0392747;C0443172;C0524620;C2357172
bl mean mg dl mmol $nmbr$,C0567349;C2348885
mean a sem,C0444504;C2347634;C2348143
$nmbr$ $nmbr$ lno^,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ ti,C0039247;C0040302;C1553045;C1704756
bl mean mmhg,C0005918;C0439475;C0006413;C1552663;C2827109
mean a sd mmhg,C0444504;C2347634;C2348143;C2699239;C0439475
fasting blood glucose,C0428568;C1261430
mean a sd mg dl mmol $nmbr$,C0444504;C2347634;C2348143;C0567349;C2348885
bl mean cm,C0005918;C0006413;C1552663;C2827109
mean a sdt,C0444504;C2347634;C2348143
tiotropium $nmbr$ mg respimat n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
placebo n z $nmbr$,C0032042;C1696465;C1706408
screening visit,C0545082;C1512346;C2826704
current smoker ex smoker,C3173209;C3241966
time since copd diagnosis yrs,C0040223;C3541383
pre bronchodilator fev $nmbr$ l,C2599602;C3714541
pre bronchodilator fev $nmbr$ predicted normal,C2599602;C0520835
pre bronchodilator fvc l,C2599602;C3714541
pre bronchodilator fev $nmbr$ fvc,C2599602;C3714541
post bronchodilator fev $nmbr$ l a,C2599594;C3714541
post bronchodilator fev $nmbr$ predicted normal a,C2599594;C0520835
reversibility of fev $nmbr$,C0449261;C3714541
post bronchodilator fvc l a,C2599594;C3714541
post bronchodilator fev $nmbr$ fvc a,C2599594;C3714541
randomisation visit baseline,C0168634;C1442488
fvc l proportion taking pulmonary medications b,C1290952;C0024109;C2707265;C2709248;C4522268
any medication,C0013227;C3244316;C4284232
long acting b $nmbr$ agonists,C0243192;C2987634
short acting b $nmbr$ agonists,C0243192;C2987634
inhaled corticosteroids,C0004048;C0001617;C3539185;C3540725;C3540726;C3540727
oral corticosteroids,C0442027;C0001617;C3539185;C3540725;C3540726;C3540727;C4521986
xanthines,C0043318;C3541955
short acting anticholinergics,C0242896;C3537307;C3540711
supplementary oxygen,C0030054
laba users,C1706077
laba non users,C1518422;C1706077
tiotropium $nmbr$ mg respimat n z $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
proportion taking pulmonary medications b,C1290952;C0024109;C2707265;C2709248;C4522268
tiotropiumc,
preamendment,C1548596
postamendment,
extended duration enoxaparin n $nmbr$,C0231448;C0206460;C0231449;C0439792
asian or oriental,C0078988;C0699027
region of enrollment n,C0017446;C0205147
africa asia or the middle east,C0001737;C0003980;C0026068
body mass index $nmbr$ kg m $nmbr$ n,C0022718;C0439209;C4054209;C0369718;C0441922
primary enrollment diagnoses n,C0332137;C0801658
acute infection without septic shock,C0275518;C0036983
acute respiratory insufficiency,C0865850
post acute ischemic stroke,C0751956
acute rheumatic disorders,C0001314
active cancer,C0006826;C0998265;C1306459
fracture,C0016658
multiple diagnoses,C0439064;C0011900
active inflammatory bowel disease,C0205177;C0021390;C3853793;C3888249
risk factors and immobility level n,C0035648;C1553898;C0231441;C0441889;C0456079;C1547707;C2946261
level $nmbr$ immobility,C0441889;C0231441;C0456079;C1547707;C2946261
level $nmbr$ immobility^,C0441889;C0231441;C0456079;C1547707;C2946261
history of vte,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
active or previous cancer,C0205177;C3853793;C3888249;C0006826;C0998265;C1306459
obesity body mass index $nmbr$ kg m $nmbr$,C0022718;C0439209;C4054209
venous insufficiency,C0042485
chronic heart failure,C0018802;C0264716
chronic respiratory failure,C0264492
chronic inflammatory disease,C1290886
family history of vte,C0241889;C0630906
thrombophilia,C0398623
previous medications n,C0205156;C0013227;C0802604;C2598133;C4284232;C1552607
antiplatelet or anti inflammatory drugs,C0003209
antiplatelet drugs,C0085826;C2963157
anti inflammatory drugs,C0003209
extended duration enoxaparin n n,C0231448;C0206460;C0231449;C0439792
absolute risk difference ci,C0008107;C3259781
vte at day $nmbr$,C0630906;C0332173;C0439228;C0439505
level $nmbr$,C0441889;C0456079;C1547707;C2946261
major bleeding events,C0441471;C3541888
scd,
hradj $nmbr$ ci,C0008107;C3259781
qtc,
$nmbr$ $nmbr$ referent,C1706462
qtc $nmbr$ n $nmbr$,
no prior mi n $nmbr$,C0332152;C2826257
prior mi n $nmbr$,C0332152;C2826257
no prior hf n $nmbr$,C0332152;C0018488;C1313497;C1538440;C3273279;C2826257
prior hf n $nmbr$,C0332152;C0018488;C1313497;C1538440;C3273279;C2826257
bnp,C0054015;C1095989;C1417808;C2982014
bnp $nmbr$ pg ml n $nmbr$,C0054015;C0439297;C1095989;C1417808;C2982014
ef $nmbr$ n $nmbr$,
figure $nmbr$ systolic blood pressure a diastolic blood pressure b and pulse pressure c as a function of age in $nmbr$ year increments and time,C0488055;C0871470;C1306620;C0428883;C1305849;C0949236;C0439234;C1705117;C0439508;C0040223;C3541383
om $nmbr$ mg aml $nmbr$ mg n $nmbr$,C1319635;C0023465;C0023467
om $nmbr$ mg hctz $nmbr$ mg n $nmbr$,C1319635;C0020261
aml $nmbr$ mg hctz $nmbr$ mg n $nmbr$,C1319635;C0020261
om $nmbr$ mg aml $nmbr$ mg hctz $nmbr$ mg n $nmbr$,C1319635;C0020261
age group no,C0027362;C2348001
height mean sd cm,C0489786;C0444504;C2347634;C2348143
bmi mean sd kg m^,C0022718;C0439209;C4054209
bmi category no,C0683312;C3889287
$nmbr$ kg m^ obesity,C0022718;C0439209;C4054209;C0028754;C1963185
chronic kidney disease no t,C1561643;C4553188;C2603360
chronic cardiovascular disease no,C1290380
bp goal no,C0018017;C1571704
baseline sesbp mean sd mm hg,C0168634;C0439475;C1442488
baseline sedbp mean sd mm hg,C0168634;C0439475;C1442488
om $nmbr$ mg aml $nmbr$ mg,C1319635;C0023465;C0023467
om $nmbr$ mg hctz $nmbr$ mg,C1319635;C0020261
aml $nmbr$ mg hctz $nmbr$ mg,C1319635;C0020261
om $nmbr$ mg aml $nmbr$ mg hctz $nmbr$ mg,C1319635;C0020261
bp variable mm hg,C0037623;C0439475;C1415692;C1708288;C4318478
moderate severe n $nmbr$ n $nmbr$,C0205081;C0205082;C4050465;C4050466;C1881878;C4049705;C4049706;C4085643;C4321335
baseline bp mean sd,C0488053;C2699239
change in sesbp ls mean se,C0392747;C0443172;C1705241;C4319952
change in sedbp ls mean se,C0392747;C0443172;C1705241;C4319952
$nmbr$ $nmbr$ $nmbr$ $nmbr$ ll,
cad and or crvd,C1504769;C2239547;C3813548;C4284121
$nmbr$ $nmbr$ a,
mean preoperative abpi of the index,C0444504;C0445204;C2347634;C2348143
limb sd,C0015385;C2699239
pad symptoms,C0683368;C1457887
claudication only,C0021775;C0311395;C1456822
rest pain,C0234253
ulcers gangrene,C0041582;C0017086
distal anastomosis,C0448964
below knee popliteal,C0022742;C0442037;C0022745;C1963703
below knee popliteal crural,C0023216;C1140621
beyond popliteal pedal,C0016504;C0687080
all grafts,C0332835;C1527362
venous,C0042449;C0348013
prosthetic,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ b,
graft occlusionsa,C0181074;C0332835;C1961139
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ c,
amputationsa,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ d,
placebo n[ $nmbr$,C0032042;C1696465;C1706408
salmeterol n [ $nmbr$,C0073992
fp n [ $nmbr$,C0016704;C1419068;C1419906;C3541238;C3541412
sfc n [ $nmbr$,C4521536
age at enrolment years,C1510829;C1516879;C1696073;C3888021
postbronchodilator fev $nmbr$ predicted,C0681842;C1882327
$nmbr$ e $nmbr$ n,
geographical region n,C0017446;C0205147
pack years smoked,C1277691;C0037366;C0439994;C1881674
previous copd treatment n,C0024117;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C1412502;C3714496
ics alone,C0815320;C4551720;C0205171;C0439044;C0679994
laba alone,C0205171;C0439044;C0679994
ics laba,C0815320;C4551720
neither ics nor laba,C0815320;C4551720
previous mi n,C0205156;C1552607
baseline cv treatment n y,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
baseline short acting anticholinergics n,C0168634;C0242896;C3537307;C3540711;C1442488
salmeterol n[ $nmbr$,C0073992
fp n[ $nmbr$,C0016704;C1419068;C1419906;C3541238;C3541412
sfc n[ $nmbr$,C4521536
$nmbr$ e,
baseline cv treatment,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
baseline short acting anticholinergics,C0242896;C3537307;C3540711
severe oab subgroup,C1079230;C1515021
fas,
solifenacin n $nmbr$,C1099677
age cohort no,C2348001
diary variables mean sd,C0376660;C2699239
urgency episodes $nmbr$ h,C0033727;C0369286;C0441932;C0564385;C4528284
incontinence episodes $nmbr$ h,C0033727;C0369286;C0441932;C0564385;C4528284
micturitions $nmbr$ h,C0033727;C0369286;C0441932;C0564385;C4528284
nocturia episodes $nmbr$ h,C0033727;C0369286;C0441932;C0564385;C4528284
wt second median,C0549183;C0876920;C2347635;C2348144;C2939193
ppbc score mean sd,C0444504;C2699239;C2347634;C2348143
iuss score mean sd,C0444504;C2699239;C2347634;C2348143
ups score mean sd,C0334463;C2699239;C3542434
oab q score mean sd,C3641332;C2699239
symptom bother,C1457887;C3854129
hrql mean sd,C0444504;C2699239;C2347634;C2348143
coping,C0009967
concern,C2699424
sleep,C0037313
social interaction,C0037420
all n $nmbr$ $nmbr$,C0369718;C0441922
bivalirudin n $nmbr$ $nmbr$,C0168273
heparin plus gpi n $nmbr$ $nmbr$,C0019134;C0770546
symptom onset to pci h,C4086878;C0033727;C0369286;C0441932;C0564385;C4528284
killip class $nmbr$ $nmbr$,C1881332
anemia,C0002871;C1000483;C4554633
$nmbr$ diseased vessels,C0005847
anterior infarct location,C0450429;C1515974;C4284930;C4284931
initial timi flow grade $nmbr$,C0441800;C0919553;C3244287
stent implanted,C0522776
final timi flow grade,C0441800;C0919553;C3244287
heart rate group at baseline,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
$nmbr$ bpm n $nmbr$ l $nmbr$,
cardiac parameters,C0018787;C0449381;C1522601
egfr ml min per $nmbr$ $nmbr$ kg m^,C1739039;C0439402;C3811844;C3812682
duration of heart failure years,C0449238;C2926735
primary cause of heart failure,C0205225;C0015127;C1524003;C0439612;C0439631
non ischaemic,C1518422;C0475224
history of atrial fibrillation and or flutter,C0729790;C0016385;C2242390
treatment at randomisation,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
diuretic agents excluding antialdosterone,C0450442;C1254351;C1521826
antialdosterone agents,C0450442;C1254351;C1521826
cardiac glycosides,C0007158
devices,C0025080;C0220819;C0699733
crt,
heart rate at baseline bpm,C0018810;C0168634;C1442488
ivabradine group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
figure $nmbr$ e ect of ivabradine compared with placebo on a the primary composite endpoint b rst hospital admissions for worsening heart failure and c cardiovascular deaths in the whole patient population de ned by quintiles of baseline heart rate distribution primary composite endpoint includes cardiovascular deaths and hospital admissions for worsening heart failure adjusted for blocker intake at randomisation new york heart association class left ventricular ejection fraction ischaemic cause age systolic blood pressure and creatinine clearance at baseline hr hazard ratio bpm beats per min,C0013806;C2199618;C2363129;C4050504;C1707455;C0032042;C1696465;C1706408;C2986535;C0184666;C0332271;C1457868;C1546960;C0018801;C0018802;C4554158;C0007226;C1555024;C3887460;C1508496;C0018810;C0332257;C1552866;C2700399;C0011065;C1306577;C0456081;C1512806;C0428876;C0812399;C2985465;C0702093;C1524029;C3813700
ivabradine group n $nmbr$,C0257190;C0441848
sex male ethnic origin,C0086582;C0015031
bmi kg m $nmbr$ cardiac parameters,C0022718;C0439209;C4054209;C0018787;C0449381;C1522601
egfr ml min per $nmbr$ $nmbr$ m $nmbr$,C1739039;C0439445;C3811844;C3812682
medical history duration of heart failure years primary cause of heart failure,C0449238;C2926735
history of atrial fibrillation or flutter treatment at randomisation,C0729790;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
diuretic drugs excluding antialdosterone,C0013227;C3687832
test for interaction,C0022885;C0039593;C0392366;C0456984;C1515976;C3831328;C4318744
s $nmbr$ years n $nmbr$,C0439234
no p blocker intake at randomisation n $nmbr$,C1512806;C0034656
p blocker intake at randomisation n $nmbr$,C1512806;C0034656
non ischaemic n $nmbr$,C1518422;C0475224
ischaemic n $nmbr$,C0475224
nyha class ii n $nmbr$,C1882085
nyha class iii or iv n $nmbr$,C1882086;C0022326;C4265176
no history of diabetes n $nmbr$,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
history of diabetes n $nmbr$,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
no history of hypertension n $nmbr$,C0455527
baseline heart rate,C0168634;C0018810;C1442488
$nmbr$ bpm n $nmbr$,
heparin dose regimen,C0019134;C2348331;C0770546
$nmbr$ standard n $nmbr$,C1442989;C2828392
$nmbr$ low n $nmbr$,C0205251;C1550472;C3890211;C4048187;C4321351;C4522223
heart failure at entry no,C0018801;C0018802;C4554158
previous events no,C0441471;C3541888
pad,C0182158;C0332568;C3540603;C3669270;C3814046;C4319657
electrocardiograph results no,C1274040;C1546471;C2825142
changes at baseline,C0392747;C0443172
st depression $nmbr$ mm,C4330985;C4554674
any dynamic st segment shift,C0333051;C2347509
transient st elevation,C0040704;C0520886;C0205374
positive troponin i or t no,C0439178;C0077401;C1446409;C1514241;C2825490;C3812269;C2603360
time from median iqr h,C0040223;C3541383
symptom onset to hospitalization,C4086878;C0019993
hospitalization to enrollment,C0019993;C1516879;C1696073;C3888021
enrollment to randomization,C1516879;C1696073;C3888021
symptom onset to enrollment,C4086878;C1516879;C1696073;C3888021
symptom onset to randomization,C4086878;C0034656
angiographic characteristics no,C1521970
single vessel disease,C0037179;C0042373;C0087136;C0205171
antithrombotic use before enrollment no,C0042153;C0457083;C1947944
non pci intravenous unfractionated heparin,C1518422;C0354566
subcutaneous unfractionated heparin,C0353681
lmwh,C0019139;C3536766
gpiib iiia inhibitors,C0016011;C0243077
commercially available fondaparinux,C0470187;C1098510
medication use before enrollment no,C0240320;C1516879;C1696073;C3888021
g blockers,C0439267
angiotensin receptor blockers,C0521942;C0815017
oral hypoglycemic agents,C0359086
ticlopidine,C0040207
prasugrel,C1620287
aspirin dose mg d,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
total time of fondaparinux treatment before,C0439175;C0040223;C3541383;C0439810
and after pci median iqr d,C0549183;C0876920;C2347635;C2348144;C2939193
variables,C0439828
all with coenzyme q $nmbr$ n $nmbr$ $nmbr$,C0041536
tertile $nmbr$ n $nmbr$,
p value for trend across tertiles,C1709380;C1521798;C4554533
age $nmbr$ yrs n,C0001779
nyha functional class n,C1882083;C0205245;C0542341;C2700217
cabg or ptca pci,C0010055;C2936173;C4049621
af or atrial flutter,C0344434;C4049859;C0004239;C0344423;C1963068
total cholesterol mmol lt,C0023376;C0230426;C3887647;C4521399
ldl cholesterol mmol lt,C0023376;C0230426;C3887647;C4521399
hdl cholesterol mmol lt,C0023376;C0230426;C3887647;C4521399
apoa $nmbr$ g l,C0439294;C0456615
apob g l,C0439294;C0456615
serum creatinine xmol l,C0201976;C0600061
serum creatinine $nmbr$ xmol l n,C0201976;C0600061
egfrmdrd ml min $nmbr$ $nmbr$ m $nmbr$ bsa,C0369637;C0441923
nt probnp pmol h,C0033727;C0369286;C0441932;C0564385;C4528284
coenzyme q $nmbr$ p g ml,C0041536;C1300565
hazard ratiof,C0598697
$nmbr$ clf,C3540486;C4553190
subgroup p valuef,C1079230;C1515021
all randomized all cause mortality,C0015127;C0026565;C0026566;C1524003
all randomized coronary end point,C2349179;C2826544
all randomized all cause mortality or hospitalization for worsening hf^,C0015127;C0026565;C0026566;C1524003;C0019993;C0332271;C1457868;C1546960;C0018488;C1313497;C1538440;C3273279
type of end point,C0332307;C1547052
subgroup p value,C1079230;C1709380;C1515021
hospitalizations,C0019993
omeprazole,C0028978
age yrf,C0001779
white race no total no,C0007457;C0043157;C0439175;C0439810
negative for helicobacter pylori no total no,C4688581;C0439175;C0439810
nsaid use no total no,C0042153;C0457083;C1947944;C0439175;C0439810
cardiovascular history no total no,C1880008;C0439175;C0439810
acs,C0742343;C4318612
other vascular disease,C0042373
cardiovascular risk factors no total no,C0850624;C0439175;C0439810
current smoking no total no,C0037369;C0453996;C1881674;C0439175;C0439810
