"concept","cuis","rep_cuis","excluded_cuis","cc"
"ics tiotropium n $nmbr$ placebo n $nmbr$","C0032042;C0213771;C0815320;C1696465;C1706408;C4551720","C0032042","",28
"insulin tx difference vs pbo median change from baseline se $nmbr$","C0021641;C0031962;C0036919;C0041403;C0168634;C0392747;C0443172;C0549183;C0876920;C1442488;C1533581;C1579433;C1705241;C1705242;C2347635;C2348144;C2939193;C3714501;C4319952",NULL,NULL,435
"body mass index categories no c","C0005893;C0578022;C0683312;C1305855","C1305855","",1734
"bmi $nmbr$ no $","C0578022",NULL,NULL,1735
"$nmbr$ $nmbr$ ft","C1881534;C3890579",NULL,NULL,248
"duration of clopidogrel pretreatment hr median","C0070166;C0449238;C0549183;C0876920;C1550147;C2347635;C2348144;C2709094;C2926735;C2939193;C3539075;C3539076","C0070166",";C0369286;C0033727;C4049621",217
"gastrointestinal gi disorders","C0017178;C1708130;C3539617;C4050121",NULL,NULL,1610
"eosinophils $nmbr$ $nmbr$ x $nmbr$ $nmbr$ itt n $nmbr$","C0014467;C0200638","C0014467","",849
"due to drug relateda sae","C0013227;C1254351;C1519255;C1622657;C4553214","C1519255","",1282
"dyslipidaemia n","C0242339","C0242339","",1770
"glycemic status f","C0016327;C1320980","C1320980","",2174
"serum glucose mmol l","C0202041;C1532563;C3534430",NULL,NULL,670
"asia excluding japan","C0003980;C0022341;C0332196;C2828389",NULL,NULL,1864
"n analysed","C0369718;C0441922",NULL,NULL,1553
"baseline heart failure severity nyha class i","C0018801;C0018802;C0168634;C0439793;C0522510;C1442488;C1882084;C4554158","C0018802;C1882083","",453
"any of the above","C1282910;C1552828",NULL,NULL,739
"$nmbr$ cl interaction","C0596019;C1704675",NULL,NULL,658
"asdas crp $nmbr$ $nmbr$","C3890735;C4048285",NULL,NULL,1545
"racea white","C0007457;C0043157;C0220938",NULL,NULL,2004
"nausea","C0027497;C1963179;C2984057;C3829611;C4084796;C4085222;C4085661;C4085862;C4255480;C4552888;C4552889;C4553767","C0027497","",2230
"hormone replacement therapy use","C0042153;C0282402;C0457083;C1947944",NULL,NULL,549
"su tzd","C0038642;C1705534","C0038766","",752
"patients randomised n","C0030705;C0369718;C0441922",NULL,NULL,1035
"pfo asa","C0004057;C3853627",NULL,NULL,60
"no of coronary vessels with $nmbr$ diameter stenosis","C0010075;C0678234;C1261287;C1301886;C2632116",NULL,NULL,1651
"ldl c $nmbr$ $nmbr$ mmol l","C1532563","C0023824","",1068
"intermediate risk ri $nmbr$","C0035487;C1826843;C3640764",NULL,NULL,172
"any pulmonary medication n","C0013227;C0024109;C2707265;C2709248;C3244316;C4284232;C4522268",NULL,NULL,572
"heart failure criteria met","C0018801;C0018802;C0243161;C0428210;C1550543;C4317104;C4554158","C0018801",";C0168634;C1524003",12
"ace inhibitor at last follow up","C0003015;C0589120;C1522577;C1704685;C3274571;C4541021","C0003015","",811
"hip fracture $nmbr$","C0019557;C0149531;C4552776","C0019557","",1114
"prior cabg before index acs","C0010055;C0332152;C0600653;C0742343;C0918012;C1552854;C1637833;C2826257;C2986546;C4318612","C0010055","",389
"history of diabetes n $nmbr$","C0011847;C0011849;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"mean age y","C0001779;C0444504;C2347634;C2348143","C0001779","",480
"received $nmbr$ prior anti tnf therapies n","C0279936;C0332152;C0432633;C1514756;C2826257",NULL,NULL,294
"prior om","C0028971;C0332152;C1705272;C2826257",NULL,NULL,294
"atherosclerosis n","C0003850;C0004153","C0004153","",1698
"osteoporosis","C0029456;C4554622",NULL,NULL,564
"n $nmbr$ fatty acit","C0369718;C0441922",NULL,NULL,1553
"syncope","C0039070;C3541349;C4554644",NULL,NULL,616
"age category n","C0001779;C0683312;C3889287",NULL,NULL,562
"woman","C0043210;C4281745","C0043210",";C3541888;C1720467",1323
"abl sc n n","C0023139;C0282380;C1704928;C3890208","C4042342","",1284
"current non smoker","C0425311","C0037369","",420
"patients with $nmbr$ $nmbr$ ml increase in fev $nmbr$ post bronchodilator","C0030705;C0439526;C0442805;C1705224;C2599594;C3714541;C3887665",NULL,NULL,300
"canakinumab il $nmbr$ middle tertile","C0020898;C0021764;C0022271;C0444598;C0549183;C1552826;C2718773","C2718773","",372
"arbs or ace inhibitors","C0003015;C3888198",NULL,NULL,44
"standing after $nmbr$ minute change from baseline","C0168634;C0231472;C0392747;C0439232;C0443172;C0700321;C0702093;C1282918;C1442488;C1705241;C2347166;C4319952",NULL,NULL,625
"ii chiorthaiidone amiodipine","C1710602;C4082587",NULL,NULL,521
"previous vte n","C0205156;C0630906;C1552607","C1861172","",2399
"patients with glycated hemoglobin $nmbr$ $nmbr$ and no severe hypoglycemia or diabetic ketoacidosis","C0011880;C0017853;C0020615;C0030705;C0205082;C4050465;C4050466;C4553659",NULL,NULL,313
"mean difference seb","C0059386;C0444504;C1309881;C1423585;C1705241;C1705242;C2347634;C2348143;C3815268",NULL,NULL,37
"emphysema itt n $nmbr$","C0013990;C0034067",NULL,NULL,1672
"romania","C0035826",NULL,NULL,998
"mild iief ef $nmbr$ $nmbr$","C2945599;C3641331",NULL,NULL,329
"low molecular weight heparin","C0019139;C3536766","C3536766","",1343
"fpg mmol l mean sd","C0444504;C1532563;C2347634;C2348143;C2699239","C0015663;C0202042","",1960
"waist circumference mean sd cm","C0444504;C0455829;C2347634;C2348143;C2699239","C0455829","",1413
"n l $nmbr$","C0369718;C0441922",NULL,NULL,1553
"rate ratio mepo pbo $nmbr$ ci","C0008107;C0031962;C0456603;C0871208;C1521828;C1547037;C3259781",NULL,NULL,973
"not on metformin","C0025598;C1518422",NULL,NULL,85
"corticosteroids $nmbr$","C0001617;C3539185;C3540725;C3540726;C3540727",NULL,NULL,1650
"previous antiparkinson medication no","C0003405;C0205156;C1552607",NULL,NULL,1045
"urine albumin creatinine mg mmol","C0455271;C0567349;C1318330;C2348885","C0455271",";C2348885;C1412134;C1515941;C0168634;C1705943;C4019422;C0549183;C0876920;C2362049",80
"ls mean difference vs placebo $nmbr$ ci","C0008107;C0023668;C0032042;C0444504;C1696465;C1705241;C1705242;C1706408;C2347634;C2348143;C3259781","C0032042","",28
"medications at discharge","C0806915","C0806915","",1946
"mean sd n","C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"karnofsky score $nmbr$","C0206065;C0449820;C4050231",NULL,NULL,748
"ace inhibitors or arbs","C0003015;C3888198",NULL,NULL,44
"a $nmbr$ c mmol mol","C3829066",NULL,NULL,668
"history of second prior mi n","C0019664;C0019665;C0205436;C0262512;C0262926;C0332152;C0457385;C0565930;C1561503;C1705190;C1705255;C2004062;C2826257;C3810814",NULL,NULL,832
"smoking status current smoker n $nmbr$","C1519386;C3173209;C3241966","C3241966","",1420
"sokoiow lyon voitage mv","C1454484;C1705503;C4281602",NULL,NULL,1776
"estimated gfr no $nmbr$","C0017654;C0750572;C1424601","C3811844;C0017654","",592
"mean crp level mg l sd","C0439268;C0441889;C0444504;C0456079;C1547707;C2347634;C2348143;C2699239;C2946261;C3890735;C4048285","C0006560","",286
"$nmbr$ ae","C3887670","C0877248","",47
"gold group b","C0018026;C1304897;C4522078","C0024117;C0521117","",213
"ischaemic n $nmbr$ l $nmbr$","C0475224",NULL,NULL,1670
"np tercile $nmbr$ bnp $nmbr$ pg ml nt probnp $nmbr$ $nmbr$ pg ml n $nmbr$","C0054015;C0065827;C0439297;C1095989;C1317554;C1417808;C1706141;C2825907;C2982014;C3887659;C4284038",NULL,NULL,1635
"fasting triglyceride level mean sd mg dl","C0015663;C0428475;C0439269;C0444504;C2347634;C2348143;C2699239",NULL,NULL,2281
"alt units l","C0439339;C1266129;C4553172",NULL,NULL,460
"structural","C0678594",NULL,NULL,585
"ff $nmbr$ pg n $nmbr$","C0030827;C0072225;C1266240;C4554348",NULL,NULL,208
"ejection fraction based on local reading","C0034754;C0205276;C0489482;C1527178;C1705179;C1705938;C2700378;C4284139","C2700378","",887
"china","C0008115",NULL,NULL,772
"less than $nmbr$ $nmbr$","C0439092","C0439092","",1749
"moderate severity","C0205081;C0439793;C0522510;C1881878;C4049705;C4049706;C4085643;C4321335",NULL,NULL,321
"physical characteristics","C0031809;C0205485;C1509143;C1521970",NULL,NULL,1519
"urgent vascular hospitalization","C0005847;C0019993;C0439609;C1558950;C1801960;C3272275",NULL,NULL,743
"death or stent thrombosis","C0011065;C1306577;C3897493;C4082313;C4552775",NULL,NULL,622
"no atopy n $nmbr$","C0392707;C3539705","C0392707","",1412
"hba $nmbr$ c mean sd","C0019016;C0444504;C1825777;C2347634;C2348143;C2699239;C3538758","","",820
"evening mealb","C0587117",NULL,NULL,800
"s $nmbr$ $nmbr$ s $nmbr$ $nmbr$","C0565930;C2603362",NULL,NULL,1784
"p interactio n","C0369773;C2603361",NULL,NULL,1874
"night time awakenings in past $nmbr$ weeks prior to baseline","C0168634;C0860510;C1442488;C2987125",NULL,NULL,1014
"ace arb","C1452534;C3888198;C4284014",NULL,NULL,46
"sitagliptin oad","C1565750","C1565750","",1184
"history ol chd at baselines","C0019664;C0019665;C0168634;C0262512;C0262926;C0280604;C1705255;C2004062;C3542407",NULL,NULL,970
"all subjects n","C0369718;C0441922;C0681850;C1550501;C1706203;C2349001;C2697811",NULL,NULL,1655
"elderly","C0001792;C1999167",NULL,NULL,1489
"score $nmbr$ $nmbr$","C0449820;C4050231",NULL,NULL,748
"exercise status","C0015259;C0449438;C1522704","C0015259","",1380
"time since diagnosis of heart failure","C0011900;C0018801;C0018802;C0040223;C1704338;C1704656;C3541383;C4554158","C0018801",";C0168634;C1524003",12
"coexisting conditions","C0679225",NULL,NULL,1710
"previous antihypertensive treatment","C0003364;C0039798;C0087111;C0205156;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704",";C0003364","",1579
"perianal gi tract","C0017189;C0442158","C0442158","",1039
"hrql mean sd","C0444504;C2347634;C2348143;C2699239",NULL,NULL,1287
"atrial fibrillation duration no","C0004238;C0344434;C0449238;C1963067;C2926735","C0004238","",90
"no stroke tia","C0007787;C0038454;C0917805;C1054154;C4554100",NULL,NULL,1762
"killip class ii iii or iv","C0022326;C0439070;C1705160;C1710602;C2697845;C2697846;C4082587;C4265176",NULL,NULL,524
"cardiac medications during index hospital stay and or discharge","C0012621;C0013227;C0030685;C0428776;C0802604;C2598133;C2926602;C3489408;C4284232",NULL,NULL,390
"everolimus","C0541315",NULL,NULL,633
"abl sc mean","C0023139;C0282380;C0444504;C1704928;C2347634;C2348143;C3890208","C4042342","",1284
"enoxaparin only","C0205171;C0206460;C1720467",NULL,NULL,925
"$nmbr$ type","C0332307;C1547052",NULL,NULL,603
"symptomatic hypotension","C0020649;C0231220;C3163620","C0020649","",1048
"linagliptin","C2746078","C2746078","",1185
"history of falls in year before randomization","C0034656;C0439234;C0439508;C1561668;C2919132",NULL,NULL,1099
"ada yes","C1060325;C1549445;C1705108;C1710701;C3811629",NULL,NULL,1076
"age mean sd years n","C0444504;C1510829;C2347634;C2348143;C2699239","C1510829","",481
"concomitant pd medications at baseline n c d","C0013227;C0168634;C0521115;C0802604;C1442488;C2598133;C4284232;C4553228;C4553229",NULL,NULL,366
"systolic bp mm hg mean sd","C0039155;C0439475;C0444504;C0488053;C0871470;C2347634;C2348143;C2699239","C0005823","",1469
"no previous dmard mean sd","C0205156;C0242708;C0444504;C1552607;C2347634;C2348143;C2699239",NULL,NULL,37
"medication use at baseline no","C0168634;C0240320;C1442488",NULL,NULL,625
"pcr after acs","C0032520;C0742343;C3853643;C4050242;C4318612",NULL,NULL,1294
"omega $nmbr$ fatty acid vs placebo least squares mean $nmbr$ cl","C0015684;C0023189;C0032042;C0444504;C0596019;C1696465;C1706408;C1719844;C2347634;C2348143","C0032042","",28
"median body weight kg","C0005910;C0022718;C0043100;C0439209;C0549183;C0876920;C1305866;C1705104;C2347635;C2348144;C2939193;C3821165;C4054209",NULL,NULL,2326
"no pts","C1419129;C2698747",NULL,NULL,1512
"any cardiovascular diseased","C0007226;C3887460",NULL,NULL,649
"symptom onset to hospitalization","C0019993;C4086878",NULL,NULL,612
"motor updrs subscore baseline mean sd","C0168634;C0444504;C1442488;C1513492;C1705994;C2347634;C2348143;C2699239;C3639721",NULL,NULL,1473
"pain vas","C0042815",NULL,NULL,1751
"menopause and ht","C0018510;C0025320;C0567312;C0677607","C0282402","",1043
"sbp sd","C0085805;C2699239",NULL,NULL,607
"drug relateda","C0013227;C1254351",NULL,NULL,367
"beyond popliteal pedal","C0016504;C0442037;C0687080",NULL,NULL,936
"$nmbr$ $nmbr$ o $nmbr$ s i $nmbr$","C0021966;C0221138;C0483204","","",-10
"$nmbr$ aspirin n $nmbr$ $nmbr$","C0004057","C0004057","",1366
"recent","C0332185","","",413
"risk factors no","C0035648;C1553898",NULL,NULL,175
"$nmbr$ to $nmbr$ iu l","C0439457",NULL,NULL,1252
"baseline egfr $nmbr$ ml min $nmbr$ $nmbr$ m $nmbr$","C0168634;C0369637;C0439445;C0441923;C1442488;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"crp concentration $nmbr$ mg l n \","C0086045;C0439268;C1446561;C3827302;C3890735;C4048285",NULL,NULL,1545
"seropositivity","C0521143","C0521143","",1318
"cv medication of patients","C0013227;C0030705;C3244316;C3538987;C4048877;C4284232;C4318503",NULL,NULL,2266
"death with pe not","C0011065;C0070939;C1306577;C1518422;C1880476;C4082313;C4284304;C4552775",NULL,NULL,1516
"ii iii","C0439070;C1705160;C1710602;C4082587",NULL,NULL,524
"of patients","C0030705",NULL,NULL,1035
"czp mtx","C0025677;C0054841;C1417487;C1861828;C1872109","C0025677;C1872109","",2217
"definite","C0439544;C1704787",NULL,NULL,915
"q wave mi","C0861151","C1305738","",385
"hdl female","C0043210;C0086287;C1705497;C1705498;C3715113","C0023822","",821
"phospholipid omega $nmbr$ levels $nmbr$ n $nmbr$","C0031676;C0202177;C0441889;C1719844","C0015684","",1236
"b those on inhaled corticosteroids and long acting bronchodilators as previous treatment use","C0001617;C0004048;C0006280;C0039798;C0042153;C0079613;C0087111;C0205156;C0205166;C0457083;C1522326;C1533734;C1552607;C1704930;C1705169;C1706317;C1869853;C1947944;C3538994;C3539185;C3540725;C3540726;C3540727;C3887704;C3890007;C4048375",NULL,NULL,1650
"time since first copd diagnosis years","C0011900;C0024117;C0040223;C0205435;C0439234;C1279901;C1412502;C1704338;C1704656;C3541383;C3714496",NULL,NULL,1099
"rvalue for interaction","C1704675",NULL,NULL,1010
"demographic disease characteristics at baseline","C0011298;C0012634;C0168634;C0599878;C0683970;C1442488;C4684572",NULL,NULL,1652
"pioglitazone group n $nmbr$","C0071097;C0441848",NULL,NULL,1638
"bp control","C0037623;C0243148;C1415692;C1550141;C1708288;C1882979;C2587213;C3274648;C4318478;C4553389",NULL,NULL,675
"methotrexate use at randomization","C0025677;C0034656;C0042153;C0457083;C1947944","C0025677","",716
"elevated hscrp","C0205250;C3163633",NULL,NULL,833
"any adverse event leading to study drug discontinuation n","C0013175;C0040363;C0041260;C0332152;C0457454;C0877248;C1444662;C1522538;C1883351;C4552847","C0877248","",1974
"ige ku l median range c","C0439340;C0549183;C0876920;C1514721;C2347635;C2348144;C2348147;C2939193;C3542016",NULL,NULL,635
"age is $nmbr$ vrs significant ecg changes and no positive bi omark ers","C0001779;C0237881;C0439178;C0458261;C0750502;C0855329;C1446409;C1514241;C1546944;C1704489;C2825490;C2931783;C3273608;C3812269",NULL,NULL,1311
"$nmbr$ $nmbr$ $nmbr$ $nmbr$ mm","C4330985;C4554674",NULL,NULL,297
"cvd without ml stroke","C0007222;C0038454;C0439526;C1705224;C3887665;C4554100","C0007222","",1790
"atherothrombotic infarction n","C0021308","C0021308","",1288
"patients with $nmbr$ exacerbations resulting in hospital admission","C0030705;C0184666;C0678226;C4086268","C4086268","",889
"estimated glomerular filtration rate n","C3811844","C3811844;C0017654","",592
"not localized","C0392752;C1518422",NULL,NULL,85
"spacer use during the study","C0221874;C0869040",NULL,NULL,535
"systolic blood pressure mean sd mm hg","C0039155;C0428886;C0439475;C0444504;C0488055;C0871470;C1306620;C2347634;C2348143;C2699239","C0005823","",1469
"southern europe","C0037724","","",-10
"secondary prevention cohort","C0009247;C0599755;C0679699","C0599755;C0679699","",2210
"l compared wit","C0043197;C0439394;C1706495;C1707455;C3642217","","",-10
"previous mi n","C0205156;C1552607;C3810814",NULL,NULL,516
"between treatment comparison of percentage change from baseline in total hip bmd","C0019552;C0022122;C0168634;C0439165;C0439175;C0439810;C1299575;C1442488;C1505163;C1549488;C1561533;C1707455;C3538851;C4284725",NULL,NULL,508
"previous stroke or transient ischemic attack no total","C0007787;C0038454;C0205156;C0439175;C0439810;C0917805;C1552607;C4554100",NULL,NULL,1762
"mean bmi kg m $nmbr$ s d","C0022718;C0439209;C0444504;C0578022;C1512018;C2347634;C2348143;C4054209",NULL,NULL,1735
"ci confidence interval na not applicable or not analyzed","C0008107;C0009667;C0597484;C0936012;C1272460;C1518422;C1546968;C1879645;C3259781;C4049872;C4552882",NULL,NULL,519
"median c reactive protein mg liter","C0006560;C0024671;C0026410;C0439269;C0475211;C0549183;C0876920;C1413716;C1960952;C2346927;C2347635;C2348144;C2939193;C4048285;C4321396;C4521761",NULL,NULL,192
"cardiovascular medication usage","C0007220;C0457083","C0007220","",897
"odds ratio $nmbr$ cl","C0028873;C0596019",NULL,NULL,974
"valve repair replacement only","C0035139;C0043240;C0184252;C0205171;C0374711;C0559956;C1186983;C1555302;C1704414;C1720467;C3888056;C4319951;C4553149","C0374711;C0184252",";C1704414;C3888056;C0035139;C0043240;C4553149;C1720467",8
"nptercile $nmbr$ bnp $nmbr$ $nmbr$ pg ml nt probnp $nmbr$ $nmbr$ $nmbr$ pg ml n $nmbr$","C0054015;C0439297;C1095989;C1317554;C1417808;C2825907;C2982014;C4284038",NULL,NULL,1635
"d mi idr st","C0036056;C0073187;C0332173;C3272372;C3810814;C4484261",NULL,NULL,1833
"sokolow lyon voltage mm","C0598352;C4330985;C4554674",NULL,NULL,297
"re medy","C0556581;C2986904",NULL,NULL,1439
"baseline triglycerides $nmbr$ mg dl","C0041004;C0168634;C0439269;C1442488","C0041004","",368
"lack of efficacy with $nmbr$ bdmard","C0235828",NULL,NULL,2151
"index event","C0441471;C0600653;C0918012;C1552854;C1637833;C2986546;C4019010",NULL,NULL,412
"previous $nmbr$ ari use","C0042153;C0205156;C0457083;C1412533;C1552607;C1947944;C4521376",NULL,NULL,1044
"previous digoxin use","C0012265;C0042153;C0205156;C0457083;C1552607;C1947944","C0012265","",989
"valsartan n n","C0216784","C0216784","",1206
"p o","C0369773;C2603361",NULL,NULL,1823
"hospitaiization for angina","C0002962","C0002962",";C1552607;C0428953;C2926063;C3810814;C1424025;C2606415;C1883468",65
"no symptoms","C0683368;C1457887",NULL,NULL,613
"triglyceride mmol l t","C0041004;C1532563","C0041004","",368
"geographic region other","C0017446","C0017446","",369
"bmi kg m $nmbr$ n","C0578022;C1532718",NULL,NULL,1735
"apo a i","C0085201;C1677784","C0085201","",1852
"age years median n $nmbr$ $nmbr$","C0549183;C0876920;C1510829;C2347635;C2348144;C2939193","C1510829","",481
"$nmbr$ years of age n","C1510829","C1510829","",481
"insulins","C0021641;C3537244;C4049919",NULL,NULL,161
"biguanide","C0005382;C3537187;C4317165","C0005382","",685
"time from symptom onset to enrollment","C0040223;C0449244;C1457887;C1516879;C1696073;C3541383;C3854129;C3888021;C4086878",NULL,NULL,339
"placebo adjusted mean difference in hba $nmbr$ c $nmbr$ ci p value","C0008107;C0019016;C0032042;C0444504;C0456081;C1696465;C1705241;C1705242;C1706408;C1709380;C1825777;C2347634;C2348143;C3259781;C3538758",NULL,NULL,519
"non ischaemic cause","C0015127;C0475224;C1518422;C1524003",NULL,NULL,1670
"mean diastolic blood pressure sd mm hg","C0012000;C0428883;C0428886;C0439475;C0444504;C0488053;C1305849;C2347634;C2348143;C2699239","C0005823","",1469
"baseline pfd m","C0016065;C0168634;C0369637;C0441923;C1442488;C1839454;C2827389;C3889643",NULL,NULL,625
"ls mean change from baseline","C0023668;C0168634;C0392747;C0443172;C0444504;C1442488;C1705241;C2347634;C2348143;C4319952",NULL,NULL,767
"median iqr cholesterol","C0008377;C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"neutropenia","C0023530;C0027947;C0853697",NULL,NULL,505
"elevated troponin $nmbr$ $nmbr$ mg l","C0041199;C0205250;C0439268;C3163633",NULL,NULL,1605
"nyha functional class n","C0205245;C0542341;C1882083;C2700217",NULL,NULL,1531
"with highest hba $nmbr$ cc","C0008318;C0019016;C1522410;C1825777;C3538758;C3538933","","",820
"ldl cholesterol mg dl mean sd available for $nmbr$ patients","C0023824;C0030705;C0202117;C0439269;C0444504;C0470187;C2347634;C2348143;C2699239","C0023824","",1963
"iga mod $nmbr$ score n","C0011860;C0449820;C2825347;C4050231",NULL,NULL,1768
"supplemental oxygen","C4534306","C4534306","",1327
"ics use at screening n","C0042153;C0220908;C0220909;C0457083;C0815320;C1698960;C1710031;C1710032;C1710477;C1947944;C2348164;C4551720","C3540778","",2182
"egfrmdrd ml min $nmbr$ $nmbr$ $nmbr$ m_ $nmbr$","C0369637;C0439445;C0441923","C3811844;C0017654","",592
"final a $nmbr$ c","C0205088;C1546485;C3853528",NULL,NULL,1680
"latin american","C1553378",";C0023122","",1461
"long i $nmbr$ years duration of diabetes","C0011847;C0011849;C0021966;C0221138;C0439234;C0439591","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"previous stenting previous pci","C0038257;C0205156;C1552607;C2348535;C4049621",NULL,NULL,569
"no cvd","C0007222","C0007222","",1790
"race or ethnic background no f","C0015031;C0016327;C0034510;C1706779;C3853635",";C0034510","",1107
"patient assessment of disease activity mm","C0679830;C1292728;C4330985;C4554674",NULL,NULL,491
"with alogliptin $nmbr$ mg","C0024671;C0026410;C0439269;C1958126;C1960952;C2346927;C4321396;C4521761","C1958126","",1183
"efficacy","C1280519;C1707887","C1707887;C2349179","",1122
"macce death mi stroke","C0011065;C0038454;C1306577;C3810814;C4082313;C4552775;C4554100",NULL,NULL,323
"adjusted rate of pneumonia events per patient year mean $nmbr$ ci","C0008107;C0030705;C0032285;C0439234;C0439508;C0441471;C0444504;C0456081;C0871208;C1521828;C2347634;C2348143;C3259781;C3541888",NULL,NULL,519
"first disease progression outcome to occur","C0040363;C0041260;C0205435;C0242656;C0449258;C0679250;C1274040;C1279901;C1335499;C1709305;C1883351;C1947900;C2745955;C3542417;C4284875;C4552808",NULL,NULL,431
"hr $nmbr$ $nmbr$ $nmbr$ cl $nmbr$ $nmbr$ $nmbr$ $nmbr$ p $nmbr$ $nmbr$","C0596019",NULL,NULL,658
"single vessel disease n","C0037179;C0042373;C0087136;C0205171",NULL,NULL,102
"rosiglitazone $nmbr$ mg daily","C0024671;C0026410;C0289313;C0332173;C0439269;C1960952;C2346927;C4321396;C4521761",NULL,NULL,2298
"baseline serum k meq l","C0168634;C0302353;C0439375;C1442488",NULL,NULL,625
"lung","C0024109",NULL,NULL,477
"continuous lvef $nmbr$ treatment interaction","C0039798;C0087111;C0428772;C0488728;C0549178;C1522326;C1533734;C1704675;C1705169;C3538994;C3887704","C0018801;C0428772","",1273
"prior mesalazine use","C0042153;C0127615;C0332152;C0457083;C1947944;C2826257",NULL,NULL,118
"gastrointestinal major bleed","C0017181;C0205082;C0205164;C4318856;C4521762","C0019080;C0205082","",2076
"framingham $nmbr$ year cv risk score","C0035647;C0439234;C0439508;C0449820;C3166866;C3538987;C4048877;C4050231;C4318503;C4552904",NULL,NULL,1099
"beta blocker at last follow up","C0001645;C0589120;C1522577;C1704685;C3274571","C0001645","",959
"depressed only","C0205171;C0344315;C0549249;C1720467",NULL,NULL,925
"estimated cv risk at baseline","C0168634;C1442488;C1519101;C3538987;C4048877;C4318503",NULL,NULL,1777
"risk group","C0242444",NULL,NULL,172
"any antihypertensive drug","C0003364",";C0003364","",1579
"ltg exposed","C0332157;C1420817;C4521367;C4521846","C0332157",";C0274281;C0231491;C1420817;C4521367;C4521846;C1552607",27
"$nmbr$ $nmbr$ yr no","C0439234",NULL,NULL,1099
"previous coronary intervention","C0018787;C0184661;C0205156;C0886296;C1273869;C1552607","C1532338","",1661
"p value int","C1709380;C3272375",NULL,NULL,1264
"caucasians n $nmbr$","C0007457;C0043157","C0043157","",1329
"first generation stentt","C0079411;C0205435;C1279901;C3146294",NULL,NULL,806
"high risk and fewer symptoms group c","C0205388;C0332167;C0441837;C0683368;C1457887;C3272283;C4050568;C4319571","C4319571","",837
"patient assessment of arthritis pain mm","C0679830;C4317006;C4330985;C4554674",NULL,NULL,491
"medical characteristics","C0199168;C0205476;C1521970","C1521970","",1110
"hba $nmbr$ c category","C0019016;C0683312;C1825777;C3538758;C3889287","","",820
"$nmbr$ $nmbr$ to $nmbr$ $nmbr$ mmhg","C0439475",NULL,NULL,1888
"mexico","C0025885","C0025885","",1462
"untreated at baseline mean sd mm hg","C0168634;C0332155;C0439475;C0444504;C1442488;C2347634;C2348143;C2699239","C0005823","",1469
"door to balloon time hr","C4296144","C3494202","",433
"ischemia on cecg n $nmbr$ $nmbr$","C0022116;C4321499",NULL,NULL,1668
"baseline sd","C0168634;C1442488;C2699239",NULL,NULL,625
"mean eosinophil count per ml","C0200638;C0439526;C0444504;C0750879;C1705224;C2347634;C2348143;C3887665",NULL,NULL,37
"physical activity kcal wk","C0015259;C0026606;C0332174;C0439230;C0439259","C0015259","",1380
"ace l arbs","C1452534;C3888198;C4284014",NULL,NULL,46
"history of stroke or tia no","C0007787;C0019664;C0019665;C0038454;C0262512;C0262926;C0917805;C1054154;C1705255;C2004062;C4554100",NULL,NULL,1762
"females only","C0086287;C0205171;C1720467","C0086287","",1277
"biochemical events","C0205474;C0441471;C3541888",NULL,NULL,412
"digitalis","C0012252;C0304520","C0012265","",989
"pav mean $nmbr$ ci","C0008107;C0058890;C0444504;C2347634;C2348143;C3259781",NULL,NULL,519
"baseline ldl cholesterol derived","C0023824;C0168634;C0202117;C1441547;C1442488;C3245521","C0023824","",1068
"without dm","C0011816;C3250443",NULL,NULL,955
"vi $nmbr$ g","C0205999;C0439267",NULL,NULL,515
"time since first psoriasis diagnosis y mean sd","C0011900;C0033860;C0040223;C0205435;C0444504;C1279901;C1704338;C1704656;C2347634;C2348143;C2699239;C3541383",NULL,NULL,37
"no previous diagnosis of diabetes mellitus","C0011849;C0332132",NULL,NULL,1045
"former n z $nmbr$","C0205156;C0750523",NULL,NULL,13
"$nmbr$ st $nmbr$ $nmbr$ $nmbr$ pmol l","C0036056;C0439284;C3272372",NULL,NULL,246
"mean arterial pressure last","C0428886;C1517741",NULL,NULL,457
"asa or antiplatelet agent","C0004057;C0085826;C3853627","","",1191
"fatal myocardial infarction","C0027051;C0428953;C1302234;C1705232;C2926063;C3810814;C4552959",NULL,NULL,646
"metastatic disease","C0027627;C2939419;C2939420",NULL,NULL,884
"dapagliflozin $nmbr$ mg group n $nmbr$","C0024671;C0026410;C0439269;C0441848;C1960952;C2346927;C2353951;C4321396;C4521761",NULL,NULL,2275
"recurrent heart failure","C0018801;C0018802;C1455761;C2945760;C4554158","C0018801",";C0168634;C1524003",12
"upadacitinib $nmbr$ mg n l $nmbr$","C0439268",NULL,NULL,2314
"l $nmbr$ $nmbr$ vs placebo","C0032042;C0439394;C1696465;C1706408;C1706495;C3642217","","",-10
"zoledronic acid","C0257685","C0257685","",2092
"triglycerides at baseline","C0041004;C0168634;C1442488",NULL,NULL,625
