docid_page,row,col,value,baseline_level_1,arms,subgroup_name,outcomes,subgroup_name;p-interaction,measures;arms,arms;measures,measures,subgroup_level,arms;p-interaction;other,arms;measures;p-interaction,arms;other
29145215_3,5,8,0.95,NA,NA,"Individuals with diabetes, n = 632","Body weight, %",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,6,2,-5.1,NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,6,3,-1.7,NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,6,4,-3.43 (-4.87; -1.99),NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,6,5,-7.1,NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,6,6,-2.5,NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,6,7,-4.63 (-5.88; -3.38),NA,NA,"Individuals with diabetes, n = 632","Body weight, kg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,6,8,0.22,NA,NA,"Individuals with diabetes, n = 632","Body weight, kg",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,7,2,-5.4,NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,7,3,-2.7,NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,7,4,-2.66 (-4.17; -1.16),NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,7,5,-6.6,NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,7,6,-2.8,NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,7,7,-3.54 (-4.84 ; -2.24),NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,7,8,0.39,NA,NA,"Individuals with diabetes, n = 632","Waist circumference, cm",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,8,2,-1.2,NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,8,3,-0.4,NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,8,4,-0.88 (-1.10; -0.66),NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,8,5,-1.4,NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,8,6,-0.3,NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,8,7,-0.97 (-1.17; -0.78),NA,NA,"Individuals with diabetes, n = 632","HbA1c, %","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,8,8,0.53,NA,NA,"Individuals with diabetes, n = 632","HbA1c, %",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,9,2,-1.9,NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,9,3,-0.1,NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,9,4,-1.68 (-2.20; -1.15),NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,9,5,-1.9,NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,9,6,0.0,NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,9,7,-1.83 (-2.29; -1.37),NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,9,8,0.66,NA,NA,"Individuals with diabetes, n = 632","FPG, mmol/l",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,10,2,-1.9,NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,10,3,-0.4,NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,10,4,-1.92 (-4.94; 1.09),NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,10,5,-3.6,NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,10,6,-0.4,NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,10,7,-3.11 (-5.73; -0.50),NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,10,8,0.56,NA,NA,"Individuals with diabetes, n = 632","SBP, mm Hg",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,11,2,-0.9,NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,11,3,-0.1,NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,11,4,-0.49 (-2.52; 1.53),NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,11,5,-0.9,NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,11,6,-0.9,NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,11,7,-0.25 (-2.00; 1.51),NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,11,8,0.86,NA,NA,"Individuals with diabetes, n = 632","DBP, mm Hg",interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,12,2,9.1,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,12,3,7.2,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,12,4,1.34 (-1.95; 4.62),NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,12,5,14.0,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,12,6,8.0,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,12,7,3.49 (0.62; 6.36),NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,12,8,0.33,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite total score (arbitrary units)#,interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,13,2,12.1,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"liraglutide 3.0 mg,",NA,NA,NA,NA,NA
29145215_3,13,3,9.4,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,13,4,1.57 (-2.62; 5.77),NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI 27 to <35 kg/m2, n = 273 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,13,5,18.0,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,liraglutide 3.0 mg ,NA,NA,NA,NA,NA
29145215_3,13,6,8.5,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,"placebo,",NA,NA,NA,NA,NA
29145215_3,13,7,7.09 (3.43; 10.74),NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),"baseline BMI > 35 kg/m2, n = 350 change from baseline to 56 weeks",NA,ETD (95% CI),NA,NA,NA,NA,NA
29145215_3,13,8,0.05,NA,NA,"Individuals with diabetes, n = 632",IWQOL-Lite physical score (arbitrary units),interaction p value,NA,ETD (95% CI),NA,NA,NA,NA,NA
29146124_2,1,2,Primary cardiovascular endpoint,NA,Placebo,NA,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,4,2,3-83,NA,Placebo,Women,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,4,3,3-24,NA,Canakinumab,Women,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,4,4,084 (0-66-1-07),NA,Canakinumab,Women,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,5,2,4-75,NA,Placebo,Men,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,5,3,411,NA,Canakinumab,Men,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,5,4,0-86 (0-75-0-98),NA,Canakinumab,Men,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,6,2,3-38,NA,Placebo,Age <60 years,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,6,3,2-84,NA,Canakinumab,Age <60 years,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,6,4,0-83 (0-68-1-02),NA,Canakinumab,Age <60 years,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,7,2,5-43,NA,Placebo,Age >60 years,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,7,3,4-70,NA,Canakinumab,Age >60 years,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,7,4,0-86 (0-75-0-99),NA,Canakinumab,Age >60 years,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,8,2,3-88,NA,Placebo,No diabetes,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,8,3,3-21,NA,Canakinumab,No diabetes,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,8,4,0-82 (0-70-0-97),NA,Canakinumab,No diabetes,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,9,2,5-48,NA,Placebo,Diabetes,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,9,3,4-89,NA,Canakinumab,Diabetes,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,9,4,0-89 (0-75-1-05),NA,Canakinumab,Diabetes,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,10,2,4-18,NA,Placebo,Non-smoker,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,10,3,3-66,NA,Canakinumab,Non-smoker,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,10,4,0-87 (0-76-1-00),NA,Canakinumab,Non-smoker,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,11,2,5-63,NA,Placebo,Smoker,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,11,3,4-60,NA,Canakinumab,Smoker,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,11,4,0-80 (0-64-1-00),NA,Canakinumab,Smoker,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,12,2,4-72,NA,Placebo,BMI <30 kg/m2,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,12,3,4-02,NA,Canakinumab,BMI <30 kg/m2,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,12,4,0-85 (0-72-0-99),NA,Canakinumab,BMI <30 kg/m2,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,13,2,4-29,NA,Placebo,BMI >30 kg/m2,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,13,3,3-70,NA,Canakinumab,BMI >30 kg/m2,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,13,4,0-85 (0-72-1-01),NA,Canakinumab,BMI >30 kg/m2,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,14,2,3-82,NA,Placebo,LDL cholesterol <2-07 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,14,3,3-51,NA,Canakinumab,LDL cholesterol <2-07 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,14,4,0-89 (0-74-1-07),NA,Canakinumab,LDL cholesterol <2-07 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,15,2,5-04,NA,Placebo,LDL cholesterol >2-07 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,15,3,4-18,NA,Canakinumab,LDL cholesterol >2-07 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,15,4,0-83 (0-71-0-96),NA,Canakinumab,LDL cholesterol >2-07 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,16,2,3-92,NA,Placebo,hsCRP >2 to <4 mg/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,16,3,3-14,NA,Canakinumab,hsCRP >2 to <4 mg/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,16,4,0-80 (0-67-0-96),NA,Canakinumab,hsCRP >2 to <4 mg/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,17,2,5-07,NA,Placebo,hsCRP >4 mg/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,17,3,4-53,NA,Canakinumab,hsCRP >4 mg/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,17,4,0-88 (0-76-102),NA,Canakinumab,hsCRP >4 mg/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,18,2,4-42,NA,Placebo,HDL cholesterol >1-17 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,18,3,3-57,NA,Canakinumab,HDL cholesterol >1-17 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,18,4,0-80(0-68-0-95),NA,Canakinumab,HDL cholesterol >1-17 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,19,2,4-58,NA,Placebo,HDL cholesterol <1-17 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,19,3,4-15,NA,Canakinumab,HDL cholesterol <1-17 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,19,4,0-89 (0-76-1-04),NA,Canakinumab,HDL cholesterol <1-17 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,20,2,4-34,NA,Placebo,Triglycerides <1-69 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,20,3,3-75,NA,Canakinumab,Triglycerides <1-69 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,20,4,0-86 (0-74-1-01),NA,Canakinumab,Triglycerides <1-69 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,21,2,4-66,NA,Placebo,Triglycerides >1-69 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,21,3,4-05,NA,Canakinumab,Triglycerides >1-69 mmol/L,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,21,4,0-85 (0-72-1-01),NA,Canakinumab,Triglycerides >1-69 mmol/L,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29146124_2,22,2,4-50,NA,Placebo,Overall,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,22,3,3-88,NA,Canakinumab,Overall,NA,NA,NA,NA,Incidence rate per 100 person-years,NA,NA,NA,NA
29146124_2,22,4,0-85 (0-76-0-96),NA,Canakinumab,Overall,NA,NA,NA,NA,HR (95% CI),NA,NA,NA,NA
29151034_4,2,3,274 (14.6),NA,NA,NA,Permanently stopped study drug because of adverse events,NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,2,4,272 (14.3),NA,NA,NA,Permanently stopped study drug because of adverse events,NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,2,5,0.85,NA,NA,NA,Permanently stopped study drug because of adverse events,NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,2,6,0.45,NA,NA,NA,Permanently stopped study drug because of adverse events,NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,3,3,739 (12.4),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,3,4,778 (13.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,3,5,0.27,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,4,3,57 (2.6),NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,4,4,56 (2.5),NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,4,5,0.92,NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,4,6,0.50,NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,5,3,151 (2.2),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,5,4,168 (2.5),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,5,5,0.31,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,6,3,95 (4.3),NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,6,4,86 (3.9),NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,6,5,0.45,NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,6,6,0.91,NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,7,3,226 (3.3),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,7,4,196 (2.9),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,7,5,0.17,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,8,3,10 (0.5),NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,8,4,5 (0.2),NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,8,5,0.21,NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,8,6,0.33,NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,9,3,8 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,9,4,8 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,9,5,>0.99,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,10,3,15 (0.7),NA,NA,NA,Rhabdomyolysis or myopathy,NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,10,4,10 (0.4),NA,NA,NA,Rhabdomyolysis or myopathy,NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,10,5,0.32,NA,NA,NA,Rhabdomyolysis or myopathy,NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,10,6,0.21,NA,NA,NA,Rhabdomyolysis or myopathy,NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,11,3,13 (0.2),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,11,4,17 (0.2),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,11,5,0.47,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,12,3,24 (1.1),NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,12,4,13 (0.6),NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,12,5,0.07,NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,12,6,0.054,NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,13,3,34 (0.5),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,13,4,40 (0.6),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,13,5,0.49,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_4,14,3,145 (8.3),NA,NA,NA,Cancer,NA,NA,NA,NA,Women,Placebo/Simvastatin,NA,NA
29151034_4,14,4,144 (8.2),NA,NA,NA,Cancer,NA,NA,NA,NA,Women,Ezetimibe/Simvastatin,NA,NA
29151034_4,14,5,0.97,NA,NA,NA,Cancer,NA,NA,NA,NA,Women,P Value*,NA,NA
29151034_4,14,6,0.83,NA,NA,NA,Cancer,NA,NA,NA,NA,Women,Pin/,NA,NA
29151034_4,15,3,587 (10.8),NA,NA,NA,NA,NA,NA,NA,NA,Men,Placebo/Simvastatin,NA,NA
29151034_4,15,4,604 (10.8),NA,NA,NA,NA,NA,NA,NA,NA,Men,Ezetimibe/Simvastatin,NA,NA
29151034_4,15,5,0.53,NA,NA,NA,NA,NA,NA,NA,NA,Men,P Value*,NA,NA
29151034_5,2,3,50 (2.3),NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
