cn;concept;cuis;isdefault;cn_override;cleaned
1149;hctz = hydrochlorothiazide . * based on wilcoxon $nmbr$ - sample rank - sum tests for age and body mass index  t tests for systolic and diastolic blood and ' / $nmbr$ tests for categorical variables . t data were missing for some patients .;"C0001779;C0005767;C0005768;C0005893;C0012000;C0020261;C0022885;C0030705;C0039155;C0039593;C0229664;C0242931;C0370003;C0392366;C0439828;C0456984;C0578022;C0871472;C1305855;C1515051;C1515976;C1527178;C1551393;C1705492;C1705938;C2347026;C3272743;C3831328;C4318744;C4684582";NA;NA;hctz hydrochlorothiazide based on wilcoxon $nmbr$ sample rank sum tests for age and body mass index t tests for systolic and diastolic blood and $nmbr$ tests for categorical variables t data were missing for some patients
   7;p - value for trend *;"C1521798;C1709380;C4554533";NA;NA;p value for trend
   7;p - value for interaction *;"C1704675;C1709380";NA;NA;p value for interaction
   7;p - value for interaction $nmbr$ :;"C1704675;C1709380";NA;NA;p value for interaction $nmbr$
1149;hctz = hydrochlorothiazide . * based on a ' / _ $nmbr$ test  t data were missing for some patients .;"C0020261;C0022885;C0030705;C0039593;C0242356;C0392366;C0456984;C0993637;C1515976;C1551393;C1705492;C3272743;C3831328;C4318744";NA;NA;hctz hydrochlorothiazide based on a _ $nmbr$ test t data were missing for some patients
1149;hctz - hydrochlorothiazide . * data were missing for some patients .;"C0020261;C0030705;C1511726;C1551393;C1705492;C3245479;C3272743;C3714741";NA;NA;hctz hydrochlorothiazide data were missing for some patients
1149;hctz * ( n = $nmbr$ );C0020261;NA;NA;hctz n $nmbr$
1149;hctz *;C0020261;NA;NA;hctz
1149;hctz;C0020261;NA;NA;hctz
1149;aml / hctz ( n = $nmbr$ );"C0020261;C0023465;C0023467";NA;NA;aml hctz n $nmbr$
1149;aml $nmbr$ mg / hctz $nmbr$ mg;"C0020261;C0023465;C0023467;C1319635";NA;NA;aml $nmbr$ mg hctz $nmbr$ mg
1149;aml $nmbr$ mg + hctz $nmbr$ mg ( n = $nmbr$ );"C0020261;C0023465;C0023467;C1319635";NA;NA;aml $nmbr$ mg hctz $nmbr$ mg n $nmbr$
1149;aml $nmbr$ mg + hctz $nmbr$ mg;"C0020261;C0023465;C0023467;C1319635";NA;NA;aml $nmbr$ mg hctz $nmbr$ mg
1148;coping;C0009967;NA;NA;coping
1147;smoking history — no . ( % );C1519384;NA;NA;smoking history no
1147;smoking history ( ever );"C1519384;C3887636";NA;NA;smoking history ever
1147;smoking history    n   ( % );C1519384;NA;NA;smoking history n
1147;smoking history  r ( % );"C0205090;C0684010;C1519384;C2603358";NA;NA;smoking history r
1147;smoking history  n ( % );C1519384;NA;NA;smoking history n
1147;smoking history;C1519384;NA;NA;smoking history
1147;history of smoking;C1519384;NA;NA;history of smoking
1146;walking;"C0080331;C4283795;C4321241;C4321242";NA;NA;walking
1146;some walking;"C0080331;C4283795;C4321241;C4321242";NA;NA;some walking
1146;physical activity ( hours walking / wk );"C0015259;C0026606;C0080331;C0332174;C0439227;C0439230;C4283795;C4321241;C4321242";NA;NA;physical activity hours walking wk
1145;other or missing data;C4684714;NA;NA;other or missing data
1145;missing data — no . / total no . ( % );"C0439175;C0439810;C4684714";NA;NA;missing data no total no
1145;missing data;C4684714;NA;NA;missing data
1144;unknown or missing;"C0439673;C1551393;C1705492;C3272743;C3541433;C4050014";NA;NA;unknown or missing
1144;unknown / missing;"C0439673;C1551393;C1705492;C3272743;C3541433;C4050014";NA;NA;unknown missing
1144;other / missing;"C1551393;C1705492;C3272743";NA;NA;other missing
1144;missing hb at yr $nmbr$;"C0019046;C0439234;C1551393;C1705492;C3272743";NA;NA;missing hb at yr $nmbr$
1144;missing *;"C1551393;C1705492;C3272743";NA;NA;missing
1144;missing  n ( % ) a;"C1551393;C1705492;C3272743";NA;NA;missing n a
1144;missing;"C1551393;C1705492;C3272743";NA;NA;missing
1148;morning;C0332170;FALSE;2043;morning
1150;nsclc;C0007131;FALSE;2044;nsclc
1151;baseline hbalc > $nmbr$ % to < $nmbr$ %;"C0168634;C1442488";FALSE;1176;baseline hbalc $nmbr$ to $nmbr$
1151;hbalc > $nmbr$ %;NA;FALSE;1176;hbalc $nmbr$
1151;baseline ldl - c > $nmbr$ . $nmbr$ to < $nmbr$ . $nmbr$ mmol / lc;"C0168634;C0439190;C1442488";FALSE;1068;baseline ldl c $nmbr$ $nmbr$ to $nmbr$ $nmbr$ mmol lc
1151;baseline ldl - c $nmbr$ . $nmbr$ to < $nmbr$ . $nmbr$ mmol / lc;"C0168634;C0439190;C1442488";FALSE;1068;baseline ldl c $nmbr$ $nmbr$ to $nmbr$ $nmbr$ mmol lc
1152;hscrp;NA;FALSE; 286;hscrp
1152;hscrp at baseline;"C0168634;C1442488";FALSE; 286;hscrp at baseline
1155;eduglinozin $nmbr$ mg vs placebo / glimepiride;"C0024671;C0026410;C0032042;C0061323;C0439269;C1696465;C1706408;C1960952;C2346927;C4321396;C4521761";FALSE;2045;eduglinozin $nmbr$ mg vs placebo glimepiride
1155;glipizide;C0017642;FALSE;2046;glipizide
1155;glipizide ( n = $nmbr$ );C0017642;FALSE;2046;glipizide n $nmbr$
1144;data missing or no drug given;"C0013227;C1254351;C1442162;C1511726;C1550718;C1551393;C1705492;C1947971;C3244317;C3245479;C3272743;C3714741";NA;NA;data missing or no drug given
1144;data missing;"C1511726;C1551393;C1705492;C3245479;C3272743;C3714741";NA;NA;data missing
1143;fibrinolysist;NA;NA;NA;fibrinolysist
1143;fibrinolysis ( n = $nmbr$ );"C0016017;C1305868";NA;NA;fibrinolysis n $nmbr$
1142;fibrinogen ( pmol / l ) c;"C0016006;C0439284;C1167394;C2587184;C3540039";NA;NA;fibrinogen pmol l c
1142;fibrinogen  g / l;"C0016006;C0439294;C0456615;C1167394;C2587184;C3540039";NA;NA;fibrinogen g l
1142;fibrinogen;"C0016006;C1167394;C2587184;C3540039";NA;NA;fibrinogen
1141;inclusion findings ( % );"C0007637;C1512693;C2607943;C2926606;C3539655";NA;NA;inclusion findings
1141;additional radiographic findings at week $nmbr$;"C0332174;C0439230;C0444708;C1524062;C2607943;C2926606;C3539655";NA;NA;additional radiographic findings at week $nmbr$
1140;swollen joints ( $nmbr$ - joint count )  mean ± sd;"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;swollen joints $nmbr$ joint count mean sd
1140;swollen joint count of $nmbr$ joints;C0451521;NA;NA;swollen joint count of $nmbr$ joints
1140;swollen joint count ( range $nmbr$ - $nmbr$ joints );"C0451521;C1514721;C2348147;C3542016";NA;NA;swollen joint count range $nmbr$ $nmbr$ joints
1140;swollen joint count ( n / $nmbr$ );C0451521;NA;NA;swollen joint count n $nmbr$
1140;swollen joint count ( $nmbr$ — $nmbr$  per swollen joint );C0451521;NA;NA;swollen joint count $nmbr$ $nmbr$ per swollen joint
1140;swollen joint count ( $nmbr$ – $nmbr$ joints )  mean ( sd );"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;swollen joint count $nmbr$ $nmbr$ joints mean sd
1140;swollen joint count ( $nmbr$ joints )  mean ( sd ) ’;"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;swollen joint count $nmbr$ joints mean sd
1140;swollen joint count ( $nmbr$ joints )  mean ( sd );"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;swollen joint count $nmbr$ joints mean sd
1140;swollen joint count ( $nmbr$ joints );C0451521;NA;NA;swollen joint count $nmbr$ joints
1140;swollen joint count ( $nmbr$ - $nmbr$ possible joints );"C0332149;C0451521;C1705910;C2362652";NA;NA;swollen joint count $nmbr$ $nmbr$ possible joints
1140;swollen joint count ( $nmbr$ - $nmbr$ joints );C0451521;NA;NA;swollen joint count $nmbr$ $nmbr$ joints
1140;swollen joint count ( $nmbr$ - $nmbr$ );C0451521;NA;NA;swollen joint count $nmbr$ $nmbr$
1140;swollen joint count ( $nmbr$ )  mean ( sd );"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;swollen joint count $nmbr$ mean sd
1140;swollen joint count  of $nmbr$;C0451521;NA;NA;swollen joint count of $nmbr$
1140;swollen joint count;C0451521;NA;NA;swollen joint count
1140;swollen - joint count ( of $nmbr$ joints assessed ) — no .;"C0451521;C1516048";NA;NA;swollen joint count of $nmbr$ joints assessed no
1140;swollen - joint count ( of $nmbr$ joints );C0451521;NA;NA;swollen joint count of $nmbr$ joints
1140;swollen - joint count  of $nmbr$ joints examined;"C0332128;C0451521";NA;NA;swollen joint count of $nmbr$ joints examined
1140;mean ( sd ) swollen joint count *;"C0444504;C0451521;C2347634;C2348143;C2699239";NA;NA;mean sd swollen joint count
1139;tender joints ( $nmbr$ - joint count )  mean ± sd;"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;tender joints $nmbr$ joint count mean sd
1139;tender joint count of $nmbr$ joints;C0451530;NA;NA;tender joint count of $nmbr$ joints
1139;tender joint count ( range $nmbr$ - $nmbr$ joints );"C0451530;C1514721;C2348147;C3542016";NA;NA;tender joint count range $nmbr$ $nmbr$ joints
1139;tender joint count ( $nmbr$ – $nmbr$ joints )  mean ( sd );"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;tender joint count $nmbr$ $nmbr$ joints mean sd
1139;tender joint count ( $nmbr$ joints )  mean ( sd ) ’;"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;tender joint count $nmbr$ joints mean sd
1139;tender joint count ( $nmbr$ joints )  mean ( sd );"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;tender joint count $nmbr$ joints mean sd
1139;tender joint count ( $nmbr$ joints );C0451530;NA;NA;tender joint count $nmbr$ joints
1139;tender joint count ( $nmbr$ - $nmbr$ joints );C0451530;NA;NA;tender joint count $nmbr$ $nmbr$ joints
1139;tender joint count ( $nmbr$ - $nmbr$ );C0451530;NA;NA;tender joint count $nmbr$ $nmbr$
1139;tender joint count ( $nmbr$ - $nmbr$  per tender joint );C0451530;NA;NA;tender joint count $nmbr$ $nmbr$ per tender joint
1139;tender joint count ( $nmbr$ )  mean ( sd );"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;tender joint count $nmbr$ mean sd
1139;tender joint count  of $nmbr$;C0451530;NA;NA;tender joint count of $nmbr$
1139;tender joint count;C0451530;NA;NA;tender joint count
1139;tender - joint count ( of $nmbr$ joints );C0451530;NA;NA;tender joint count of $nmbr$ joints
1139;tender - joint count  of $nmbr$ joints examined;"C0332128;C0451530";NA;NA;tender joint count of $nmbr$ joints examined
1139;mean ( sd ) tender joint count *;"C0444504;C0451530;C2347634;C2348143;C2699239";NA;NA;mean sd tender joint count
1138;tender and swollen joints — mean no . : :;"C0152031;C0234234;C0444504;C2347634;C2348143";NA;NA;tender and swollen joints mean no
1138;joint swelling  effusion  or both on clinical examination — no . ( % );"C0013604;C0013687;C0031809;C0038999;C0152031;C1253936;C1963136;C2317432;C4554335";NA;NA;joint swelling effusion or both on clinical examination no
1138;joint swelling  effusion  or both on clinical examination;"C0013604;C0013687;C0031809;C0038999;C0152031;C1253936;C1963136;C2317432;C4554335";NA;NA;joint swelling effusion or both on clinical examination
1138;joint swelling;C0152031;NA;NA;joint swelling
1143;post - fibrinolysis angioplasty ( n = $nmbr$ );"C0016017;C0162577;C0687676;C1305868;C1548817;C1704687;C3469826";FALSE;1722;post fibrinolysis angioplasty n $nmbr$
1137;tjc ( / $nmbr$ joints );"C0022417;C0392905";FALSE;1139;tjc $nmbr$ joints
1137;tjc ( $nmbr$ joints );"C0022417;C0392905";FALSE;1139;tjc $nmbr$ joints
1137;tjc ( $nmbr$ joints )  mean ( sd );"C0022417;C0392905;C0444504;C2347634;C2348143;C2699239";FALSE;1139;tjc $nmbr$ joints mean sd
1138;swollen joints > $nmbr$  n ( % );C0152031;FALSE;1140;swollen joints $nmbr$ n
1141;ecg findings;C0438154;FALSE;1129;ecg findings
1141;ecg findings at baseline — no . ( % );"C0168634;C0438154;C1442488";FALSE;1129;ecg findings at baseline no
1141;electrocardiographic findings at randomization;"C0034656;C0438154";FALSE;1129;electrocardiographic findings at randomization
1141;electrocardiographic findings — no . ( % );C0438154;FALSE;1129;electrocardiographic findings no
1141;angiographic findings | |;"C0002978;C2607943;C2926606;C3539655";FALSE;1723;angiographic findings
1136;patients with end point;"C0030705;C2349179;C2826544";NA;NA;patients with end point
1136;other prespecified end points;C2349179;NA;NA;other prespecified end points
1136;other end points;C2349179;NA;NA;other end points
1136;mean change in radiographic end points;"C0392747;C0443172;C0444504;C0444708;C1705241;C2347634;C2348143;C2349179;C4319952";NA;NA;mean change in radiographic end points
1136;main accord endpoint;"C0205225;C0680240;C1542147;C2349179;C2826544";NA;NA;main accord endpoint
1136;endpoints;C2349179;NA;NA;endpoints
1136;endpointc;NA;NA;NA;endpointc
1136;endpoint rate;"C0871208;C1521828;C2349179;C2826544";NA;NA;endpoint rate
1136;endpoint *;"C2349179;C2826544";NA;NA;endpoint
1136;endpoint;"C2349179;C2826544";NA;NA;endpoint
1136;end points;C2349179;NA;NA;end points
1136;end point;"C2349179;C2826544";NA;NA;end point
1136;end - point ( sd );"C2349179;C2699239;C2826544";NA;NA;end point sd
1136;combined end points;"C0205195;C2349179";NA;NA;combined end points
1136;combined end point;"C0205195;C2349179;C2826544";NA;NA;combined end point
1136;additional endpoints;"C1524062;C2349179";NA;NA;additional endpoints
1135;oct center point thickness  pm;"C0030266;C0205099;C1280412;C1552961;C2347617;C3714763;C3810851;C3828732;C4049155";NA;NA;oct center point thickness pm
1135;mean change from baseline  % ‐ points;"C0168634;C0392747;C0443172;C0444504;C1442488;C1552961;C1705241;C2347617;C2347634;C2348143;C3714763;C4319952";NA;NA;mean change from baseline points
1135;( points );"C1552961;C2347617;C3714763";NA;NA;points
1134;time point;C2348792;NA;NA;time point
1134;pint;"C0560012;C3811619;C3890014;C3890556";NA;NA;pint
1134;p value ( vs . previous time point );"C0205156;C1552607;C1709380;C2348792";NA;NA;p value vs previous time point
1133;post erior - anterior spine;"C0037949;C0205094;C0687676;C1704687;C2752558;C3469826";NA;NA;post erior anterior spine
1132;£ $nmbr$ m b ' m in;C1709500;NA;NA;$nmbr$ m b m in
1132;ppci in - $nmbr$;NA;NA;NA;ppci in $nmbr$
1132;pain in extremity;"C0030196;C4553007";NA;NA;pain in extremity
1132;in - h;"C0033727;C0369286;C0441932;C0564385;C4528284";NA;NA;in h
1131;“ on ” without troublesome dyskinesia;C0013384;NA;NA;on without troublesome dyskinesia
1131;“ on ” with troublesome dyskinesia;C0013384;NA;NA;on with troublesome dyskinesia
1131;absolute time spent “ on ” without troublesome dyskinesia  h / day;"C0013384;C0033727;C0332173;C0369286;C0439228;C0439505;C0439546;C0441932;C0564385;C0680968;C4528284";NA;NA;absolute time spent on without troublesome dyskinesia h day
1131;absolute time spent “ on ” with troublesome dyskinesia  h / day;"C0013384;C0033727;C0332173;C0369286;C0439228;C0439505;C0439546;C0441932;C0564385;C0680968;C4528284";NA;NA;absolute time spent on with troublesome dyskinesia h day
1130;etoricoxib dose;"C0178602;C0869039;C0972314;C1114758";NA;NA;etoricoxib dose
1130;etoricoxib ( n = $nmbr$ );C0972314;NA;NA;etoricoxib n $nmbr$
1130;etoricoxib ( n = $nmbr$ $nmbr$ );C0972314;NA;NA;etoricoxib n $nmbr$ $nmbr$
1130;etoricoxib ( n = $nmbr$  $nmbr$ );C0972314;NA;NA;etoricoxib n $nmbr$ $nmbr$
1130;etoricoxib $nmbr$ mg n = $nmbr$ n ( % );"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ n
1130;etoricoxib $nmbr$ mg ( n $nmbr$ $nmbr$ )  . . n . . . ( . % . . ) . . . . . . . . . . . . .;"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ $nmbr$ n
1130;etoricoxib $nmbr$ mg ( n $nmbr$ $nmbr$ )  . . n . . . ( . % . . ) . . . . . . . . . . . .;"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ $nmbr$ n
   7;p - value for interaction $nmbr$ . $nmbr$;"C1704675;C1709380";NA;NA;p value for interaction $nmbr$ $nmbr$
1130;etoricoxib $nmbr$ mg ( n $nmbr$ $nmbr$ )  . . . n . . . ( . % . . ) . . . . . . . . . . .;"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ $nmbr$ n
1130;etoricoxib $nmbr$ mg ( n $nmbr$ $nmbr$ )  . . . n . . ( . % . . ) . . . . . . . . . . . .;"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ $nmbr$ n
1130;etoricoxib $nmbr$ mg ( n $nmbr$ $nmbr$ )  . . . n . . ( . % . . ) . . . . . . . . . . .;"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ $nmbr$ n
1130;etoricoxib $nmbr$ mg  n = $nmbr$  n ( % );"C0024671;C0026410;C0439269;C0972314;C1960952;C2346927;C4321396;C4521761";NA;NA;etoricoxib $nmbr$ mg n $nmbr$ n
1130;etoricoxib;C0972314;NA;NA;etoricoxib
1129;electrocardiography;"C0013798;C1623258";NA;NA;electrocardiography
1129;electrocardiograph results  no . ( % );"C0013798;C0180600;C1274040;C1546471;C1623258;C2825142";NA;NA;electrocardiograph results no
1129;electrocardiogram;"C0013798;C1547122;C1623258";NA;NA;electrocardiogram
1129;ecg abnormality ( resting )  %;"C0035253;C1512899;C1623258;C1704258";NA;NA;ecg abnormality resting
1129;ecg;C1623258;NA;NA;ecg
1128;uc [ gemini $nmbr$ ] ‘;NA;NA;NA;uc gemini $nmbr$
1128;uc;NA;NA;NA;uc
1128;surgical technique;C0683469;NA;NA;surgical technique
1128;other uc - related gi surgical procedure;"C0439849;C0445223;C0543467;C1708130;C3539617;C4050121";NA;NA;other uc related gi surgical procedure
1127;mean bdi focal score ( sd );"C0006448;C0205234;C0451022;C2699239;C3533236;C3714938;C3889415";NA;NA;mean bdi focal score sd
1127;focal;C0205234;NA;NA;focal
1127;bdi focal score $nmbr$;"C0006448;C0205234;C0449820;C0451022;C3714938;C3889415;C4050231";NA;NA;bdi focal score $nmbr$
1127;bdi focal score;"C0006448;C0205234;C0449820;C0451022;C3714938;C3889415;C4050231";NA;NA;bdi focal score
1127;> $nmbr$ % focal seizure frequency responders;"C0149775;C0205234;C0376249;C0439603;C0751495;C0871396;C1561548;C1705502;C3898838;C4321352";NA;NA;$nmbr$ focal seizure frequency responders
 -10;atypical absence;C0595948;NA;NA;atypical absence
1125;topical prescription;"C0033080;C0332237;C1521941";NA;NA;topical prescription
1125;topical non - prescription;"C0033080;C0332237;C1518422;C1521941";NA;NA;topical non prescription
1125;topical;C0332237;NA;NA;topical
 -10;puerto rican;C0034043;NA;NA;puerto rican
1129;lvh by electrocardiogram;"C0013798;C0149721;C1547122;C1623258";FALSE;1496;lvh by electrocardiogram
1130;celecoxib;C0538927;FALSE;2033;celecoxib
1130;celecoxib ( n = $nmbr$ );C0538927;FALSE;2033;celecoxib n $nmbr$
1130;rofecoxib;C0762662;FALSE;2034;rofecoxib
1130;valdecoxib;C0913246;FALSE;2034;valdecoxib
1131;ocn;"C1412791;C2347392";FALSE; -10;ocn
1132;in - stent restenosis;C3272317;FALSE;2035;in stent restenosis
1132;in - stent restenosis of des;"C0011702;C3272317;C4551552";FALSE;2035;in stent restenosis of des
1132;dactylitis in > $nmbr$ digit;C3863761;FALSE; 492;dactylitis in $nmbr$ digit
1132;dapaglifloz . in  n;NA;FALSE;2036;dapaglifloz in n
1133;spine;"C0037949;C2752558";FALSE;2037;spine
1133;spine *;"C0037949;C2752558";FALSE;2037;spine
1136;bleeding end points;"C0019080;C2349179";FALSE;2038;bleeding end points
1136;coronary endpoint;"C0018787;C2349179;C2826544";FALSE;2039;coronary endpoint
1136;coronary end point;"C0018787;C2349179;C2826544";FALSE;2039;coronary end point
1136;all randomized coronary end point;"C0018787;C0034656;C2349179;C2826544;C3815594";FALSE;2039;all randomized coronary end point
1137;sjc ( / $nmbr$ joints );"C0022417;C0392905";FALSE;1140;sjc $nmbr$ joints
1137;sjc ( $nmbr$ joints );"C0022417;C0392905";FALSE;1140;sjc $nmbr$ joints
1137;sjc ( $nmbr$ joints )  mean ( sd );"C0022417;C0392905;C0444504;C2347634;C2348143;C2699239";FALSE;1140;sjc $nmbr$ joints mean sd
1123;$nmbr$ degree of ica stenosis 丰;"C0201519;C4034225";NA;NA;$nmbr$ degree of ica stenosis
1122;primary / key efficacy endpoint;"C1280519;C1707887;C1709665;C2349179;C2826544";NA;NA;primary key efficacy endpoint
1122;peripheral limb vascular efficacy;"C0015385;C0150936;C0947487;C1280519;C1707887";NA;NA;peripheral limb vascular efficacy
1122;overall efficacy;"C0282416;C1280519;C1561607;C1707887";NA;NA;overall efficacy
1122;efficacy variable;"C0439828;C1280519;C1707887;C4553760";NA;NA;efficacy variable
1122;efficacy endpoints *;"C1280519;C1707887;C2349179";NA;NA;efficacy endpoints
1122;efficacy endpoint;"C1280519;C1707887;C2349179;C2826544";NA;NA;efficacy endpoint
1122;efficacy end points;"C1280519;C1707887;C2349179";NA;NA;efficacy end points
1122;efficacy and safety : net adverse clinical events *;"C0036043;C0205210;C0877248;C1280519;C1456447;C1705187;C1705413;C1707887;C3853572;C3887809;C3890893";NA;NA;efficacy and safety net adverse clinical events
1122;efficacy    n   ( % ) a;"C1280519;C1707887";NA;NA;efficacy n a
1122;efficacy;"C1280519;C1707887";NA;NA;efficacy
1122;combined efficacy and safety endpoint;"C0036043;C0205195;C1280519;C1705187;C1707887;C2349179;C2826544";NA;NA;combined efficacy and safety endpoint
 -10;colesevelam ( n = $nmbr$ );C0541155;NA;NA;colesevelam n $nmbr$
1120;the american college of rheumatology ) .;"C0035452;C0557806;C0596070";NA;NA;the american college of rheumatology
1120;some college / tech;"C0557806;C1826596";NA;NA;some college tech
1120;some college;C0557806;NA;NA;some college
1119;volume change  mm ^;"C0392747;C0443172;C0449468;C1690016;C1705102;C1705241;C2700258;C4319952;C4330985;C4554674";NA;NA;volume change mm
1119;voided volume  ml;"C0042034;C0439526;C0449468;C1552835;C1690016;C1705102;C1705224;C2700258;C3887665";NA;NA;voided volume ml
1119;normalized volume measures;"C0079809;C0242485;C0449468;C1690016;C1705102;C1879489;C1882115;C2700258";NA;NA;normalized volume measures
1119;median change in atheroma volume  %;"C0264956;C0392747;C0443172;C0449468;C0549183;C0876920;C1690016;C1705102;C1705241;C2347635;C2348144;C2700258;C2939193;C4319952";NA;NA;median change in atheroma volume
1118;pulse pressure ( mmhg );"C0439475;C0949236";NA;NA;pulse pressure mmhg
1118;pulse pressure ( mm hg );"C0439475;C0949236";NA;NA;pulse pressure mm hg
1118;pulse pressure;C0949236;NA;NA;pulse pressure
1118;mean pulse pressure  mmhg ( s . d . ) “;"C0232117;C0391850;C0444504;C0445074;C0949236;C1947910;C2347155;C2347634;C2348143";NA;NA;mean pulse pressure mmhg s d
1117;sitting pulse  bpma;"C0232117;C0277814;C0391850;C1947910;C2584297;C4050224";NA;NA;sitting pulse bpma
1117;pulse — beats / min;"C0232117;C0391850;C0702093;C1524029;C1947910;C3813700";NA;NA;pulse beats min
1117;pulse ( beats / min ) cholesterol ( mmol / l );"C0008377;C0232117;C0391850;C1947910;C2827896";NA;NA;pulse beats min cholesterol mmol l
1117;pulse  beats / min;"C0232117;C0391850;C0702093;C1524029;C1947910;C3813700";NA;NA;pulse beats min
1116;quality of life;"C0034380;C0518214";NA;NA;quality of life
1116;qol due to urinary symptoms;"C0426359;C0518214;C0678226";NA;NA;qol due to urinary symptoms
1116;qol;C0518214;NA;NA;qol
1116;mean ipss qol ( sd );"C0444504;C0518214;C1019118;C1998280;C2347634;C2348143;C2699239;C2827405;C3811063";NA;NA;mean ipss qol sd
1116;ipss qol ( ls;"C0023668;C0518214;C1019118;C1998280;C2827405;C3811063";NA;NA;ipss qol ls
1116;ipss qol;"C0518214;C1019118;C1998280;C2827405;C3811063";NA;NA;ipss qol
1116;disease and quality - of - life scores  mean ( sd );"C0012634;C0034380;C0444504;C0449820;C0518214;C2347634;C2348143;C2699239;C4050231";NA;NA;disease and quality of life scores mean sd
1116;disease and quality - of - life scores;"C0012634;C0034380;C0449820;C0518214;C4050231";NA;NA;disease and quality of life scores
   7;p - value for interaction;"C1704675;C1709380";NA;NA;p value for interaction
1116;baseline disease and quality - of - life scores;"C0012634;C0034380;C0168634;C0449820;C0518214;C1442488;C4050231";NA;NA;baseline disease and quality of life scores
1115;humerus fracture;C0020162;NA;NA;humerus fracture
1114;pelvic fractures;C0149531;NA;NA;pelvic fractures
1114;hip fracture only;"C0019557;C0149531;C0205171;C1720467;C4552776";NA;NA;hip fracture only
1114;hip fracture + > $nmbr$;"C0019557;C0149531;C4552776";NA;NA;hip fracture $nmbr$
1114;hip fracture;"C0019557;C0149531;C4552776";NA;NA;hip fracture
1113;tibia fracture;C0040185;NA;NA;tibia fracture
1107;race / ethnicity  %;"C0015031;C0034510;C0243103;C1706779;C3853635";NA;NA;race ethnicity
1118;pollent < $nmbr$;NA;FALSE;1906;pollent $nmbr$
1113;vertebral fracture and / or t score - $nmbr$ . $nmbr$;"C0080179;C3854607";FALSE;2023;vertebral fracture and or t score $nmbr$ $nmbr$
1113;spinal fractures;"C0080179;C0518450";FALSE;1038;spinal fractures
1115;fractures;C0016658;FALSE;2026;fractures
1115;fracture history ( predefined )  n ( % );"C0016658;C0019664;C0019665;C0262512;C0262926;C0369718;C0441922;C1705255;C2004062";FALSE;2026;fracture history predefined n
1115;fracture;C0016658;FALSE;2026;fracture
1115;bone fracture;C0016658;FALSE;2026;bone fracture
1115;bone fracture due to fall;"C0016658;C0085639;C0238715;C0678226;C4553726";FALSE;2026;bone fracture due to fall
1115;nonvertebral fracture;C0016658;FALSE;2026;nonvertebral fracture
1115;nonvertebral fractures;C0016658;FALSE;2026;nonvertebral fractures
1115;prior clinical fracture ( since age $nmbr$ );"C0001779;C0016658;C0205210;C0332152;C2826257";FALSE;2026;prior clinical fracture since age $nmbr$
1115;prior nonvertebral fracture;"C0016658;C0332152;C2826257";FALSE;2026;prior nonvertebral fracture
1055;atenoioi ( n = $nmbr$ );NA;NA;NA;atenoioi n $nmbr$
1115;prior nonvertebral fracture at age > $nmbr$ years;"C0016658;C0332152;C1510829;C2826257";FALSE;2026;prior nonvertebral fracture at age $nmbr$ years
1115;d non - vertebral fragility fractures ( fas );"C0016658;C0073187;C0302113;C0332173;C0549207;C1518422;C4484261";FALSE;2026;d non vertebral fragility fractures fas
1115;c clinical fractures ( fas );"C0016658;C0205210";FALSE;2026;c clinical fractures fas
1115;e major non - vertebral fragility fractures ( fas );"C0016658;C0205082;C0205164;C0302113;C0549207;C1518422;C4318856;C4521762";FALSE;2026;e major non vertebral fragility fractures fas
1115;hip + other nonvertebral fractures;"C0016658;C0019552;C0022122;C1505163;C3538851;C4284725";FALSE;2026;hip other nonvertebral fractures
1115;no fracture history;"C0016658;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062";FALSE;2026;no fracture history
1115;femur fracture;C0015802;FALSE;2027;femur fracture
1115;thoracic cage fractures;"C0016658;C0222762";FALSE;2028;thoracic cage fractures
1115;hand fracture;C0435632;FALSE;2027;hand fracture
1115;foot fracture;C0272774;FALSE;2027;foot fracture
1115;radius fracture;C0034628;FALSE;2028;radius fracture
