cluster,term
-1,"time from randomization to pci ( st - elevation mi ) , min"
-1,haq - di score ( nmbr - nmbr )
-1,mean ( sd ) dasnmbr - nmbr ( esr ) *
-1,randomised treatment
-1,"v alsartan / hctz , n ( % )"
-1,nmbr year or more
-1,"crcb - ( ml / min ) , mean ( s . e . )"
-1,three - vessel disease
-1,"st - segment depression > nmbr . nmbr mv on admission , %"
-1,"planned treatment duration , n ( % )"
-1,z\tonastaiin
-1,"inadequate response / intolerance to prior therapy , %"
-1,"change from baseline in dasnmbr - esr , meannmbr sd"
-1,cause of heart failure — no . ( % )
-1,predominant type of heparin
-1,western europe / australia / israel
-1,preoperative blood pressure ( mm hg ) patients fulfilling eligibility criteria
-1,"glucose , mmol / l"
-1,aspirin + clopidogrel ( n = nmbr ) nmbr . nmbr
-1,retinopathy — %
-1,pulmonary embolism
-1,mild or moderate copd
-1,prior ml ( before index acs )
-1,"diabetes duration ( known ) , % of patients"
-1,"creatinine clearance ， : : nmbr ml / min , %"
-1,baseline hb < nmbr g nmbr nmbr n = nmbr
-1,joint swelling
-1,nmbrmwd decrease > nmbr m
-1,profound thrombocytopenia ( < nmbrxnmbr / l )
-1,"body mass index , median , ( nmbrth — nmbrth percentiles ) , kg / mnmbr"
-1,associated with connective tissue disease
-1,postbronchodilator lung function at screening
-1,non – small - cell lung cancer
-1,prior anti - tnf therapy — no . ( % )
-1,all rosuva
-1,peripheral edema
-1,insulin - na ' ive
-1,"gender , women n , % )"
-1,mean ( sd ) swollen joint count *
-1,diuretic drugs ( excluding antialdosterone )
-1,"hfpef ( ef n nmbr ) , ( % )"
-1,"extent of disease , n ( % )"
-1,tendonitis
-1,previous hypertension
-1,oral contraceptives
-1,syncope — no . ( % )
-1,anatomic complexity characteristics
-1,conventional treatment
-1,left circumflex
-1,amiodarone vs . placebo no . hazard ratio ( nmbr . nmbr % cl )
-1,number of pack - years
-1,baseline cardiac biomarkers
-1,"type nmbr diabetes duration , mean ( sd ) , years"
-1,oral study drug administered — no . / total no . ( % )
-1,diltiazem or verapamil
-1,major bleeding ( statin use vs non - use )
-1,placebo secukinumab pooled
-1,bilateral disease ( % ) ' j ' ' j '
-1,pathological q waves
-1,"leukocytes , nmbr / nl"
-1,lipid - lowering agents ( % )
-1,history of second prior mi
-1,study medication — no . ( % )
-1,"laboratory data , mean ( sd )"
-1,p value ( men versus women )
-1,former n z nmbr
-1,insulin : glucose ratio
-1,tnmbrdm duration ( years )
-1,serum creatinine > nmbr pmol / l . n ( % ) |
-1,kellgren and lawrence radiographic reading grade nmbr — no . ( % )
-1,data missing or no drug given
-1,gpiib / iiia receptor inhibitor
-1,ethnic origin
-1,supine after nmbr minutes change from baseline
-1,omega - nmbr fatty acid ( n = nmbr )
-1,"pulmonary rales , n ( % )"
-1,"< nmbr months , n ( % )"
-1,"fibrinogen , g / l"
-1,right ventriculardysfunction atinclusion
-1,nace ( primary endpoint )
-1,"micro - / macro - albuminuria , ckd and / or retinopathy"
-1,interaction : treatment by psoriasis p valuenmbr
-1,"score > nmbr % , % of patients"
-1,"any aes , n ( % )"
-1,ace inhibitors or angiotensin ii
-1,des ( % previous stenting )
-1,comparison with placebo ( mean
-1,"mean ( s . d . ) hbalc , %"
-1,exercise
-1,vascular territory # nmbr
-1,native hawaiian or other pacific islander
-1,control baseline ( n - nmbr )
-1,rando . in na * *
-1,"estimated glomerular filtration rate - ml / min , median ( iqr ) '"
-1,nyha class within past month — no . / total no . ( % )
-1,aspirin group
-1,non - hdl - c ( mg / dl ) - mean ± sd
-1,fibrinolytic for qualifying event
-1,nmbr degree of ica stenosis 丰
-1,calcium - channel blockers ( % )
-1,duration of ra ( years )
-1,"min , max"
-1,"estimated gfr , < nmbr ml min - nmbr nmbr . nmbr m - nmbr , n ( % ) a"
-1,"ctn - l , ng / ml"
-1,chd + cerebral infarction
-1,fenofibric acid + moderate - dose statin
-1,highest tg tertile
-1,days of study - drug administration ( % ) * * nmbr day
-1,emotional role
-1,antithrombotic therapy
-1,periprocedural medications — no . / total no .
-1,kim nmbr ( pg / ml )
-1,mi or cad
-1,d - dimer levelsatinclusion
-1,any immunosuppressive agent
-1,"tender joint count , of nmbr"
-1,increased waist circumference
-1,cross - damp time : < l : llhrs : min ( n = nmbr )
-1,"aspirin only ( n = nmbr , nmbr )"
-1,high risk with atherosclerotic vascular disease *
-1,metrex overall modified intention - to - treat population ? :
-1,"basmi ( linear ) , mean ( sd )"
-1,cor revasc
-1,"high ( > nmbr ) ( n = nmbr , nmbr ; nmbr % )"
-1,"adl subscale ( range , nmbr - nmbr ) *"
-1,baseline statin usec
-1,unbound pcsknmbr ( nmol / l )
-1,months from mi — median ( iqr )
-1,enthesitis count
-1,enalapril
-1,history of alcohol use
-1,"initiation of dialysis , renal transplantation , or creatinine . nmbr . nmbr mg / dl ( nmbr mmol / l )"
-1,female race / ethnicity
-1,"bsa affected , mean ± sd , %"
-1,timing of clopidogrel loading dose
-1,"week nmbr fpg , mean ( s . e . )"
-1,"crohn ' s disease - related medication at baseline , n ( % )"
-1,post - menopausal ( a )
-1,saxagliptin nmbrmg ( n z nmbr )
-1,weight ( range ) ( kg )
-1,monotherapy
-1,small vessel
-1,history of microvascular disease — no . ( % )
-1,baseline sitosterol
-1,hypertension and left ventricular hypertrophy
-1,ls mean ( s . e . ) primary endpoint : % change from baseline to week nmbr
-1,severe n z nmbr
-1,arthritis
-1,concurrent treatment of crohn ' s disease at study entry — no . of patients ( % ) ff
-1,extensive
-1,baseline corticosteroids *
-1,"lv hypertrophy , n ( % )"
-1,sex ( interaction : p = nmbr . nmbr )
-1,native hawaiian / other
-1,pain ( nmbr - nmbr mm vas )
-1,randomized
-1,nmbrbaseline mean
-1,"fc - ldl - c , mg / dl"
-1,patients with previous loss of response to and intolerance of infliximab *
-1,other glp - nmbr receptor agonist
-1,"baseline hematocrit , median ( iqr )"
-1,"placebo event rate ( n = nmbr ) , %"
-1,history of amputation
-1,low - dose rivaroxaban + aspirin group
-1,documented asymptomatic cardiac ischemiac
-1,seropositive ( rf + ve and / or acpa + ve ) subgroup
-1,"| ? ) - blocker , %"
-1,metabolizer phenotype ( % ) §
-1,disease location / type : terminal ileum
-1,selexipag ( n = nmbr )
-1,clinical presentation
-1,patients not receiving corticosteroids at baseline
-1,alteplase group ( n = nmbr )
-1,"obesity , % *"
-1,cardiovascular history — no . / total no . ( % )
-1,"cardiac therapy , n ( % ) d"
-1,femoral access — no . / total no . ( % )
-1,laboratory data
-1,other drugs
-1,apob : apoa - nmbr ratio
-1,"length of stay ( randomization to discharge , h )"
-1,nmbr - aminosalicylates | | | |
-1,peripheral - artery disease ( % )
-1,"severity of the disease ( gold nmbr ) , n ( % )"
-1,"apixaban , nmbr . nmbr mg"
-1,coronary bypass graft
-1,vascular disease indicator no ( n = nmbr )
-1,laboratory values at randomization ( median and iqr )
-1,"acr , mg / mmol"
-1,tc / hdl - c
-1,"hbanmbrc at baseline , %"
-1,indication for stent
-1,history of intermittent claudication and abi < nmbr - nmbr or substantial peripheral arterial stenosis > nmbr %
-1,"months since ra was first diagnosed , mean ( sd )"
-1,hemorrhagic stroke ( n = nmbr )
-1,mini - mental state examination
-1,number of stents implanted
-1,risk score category ( points )
-1,"microvascular complications , n ( % ) ’"
-1,"erosion score , median ( min , max )"
-1,fevnmbr / fvc ( post salbutamol )
-1,type nmbr diabetes
-1,"% predicted pre - bronchodilator fevnmbr , % *"
-1,patients receiving corticosteroids at baseline
-1,odds ratio adj ( nmbr % cl )
-1,no statin vs statin alone vs any statin plus other llt
-1,general and lumbar epidural
-1,rf and acpa negativenmbr
-1,hispanic
-1,"onsetofaf , no . ( % )"
-1,percentage with disease duration < nmbr years
-1,doubling of creatinine †
-1,"diameter stenosis , mean ( sd ) , %"
-1,biologic naive
-1,"systemic corticosteroids , n ( % ) a"
-1,europe ( non - eu )
-1,fasting blood glucose ( mg / dl )
-1,"fevnmbr reversibilityz ( pre / post ipratropium ) , %"
-1,"mean eosinophil count , per ml"
-1,"men , total ( n 二 nmbr )"
-1,"rhabdomyolysis , myopathy , or myalgia with ck elevation > nmbrx uln"
-1,"rf positive , n ( % )"
-1,without insulin or insulin - modifying therapy
-1,hospitalized for heart failure during that time period
-1,phospholipid omega - nmbr levels : < nmbr % ( n = nmbr )
-1,clinical and laboratory measurements
-1,current medication — no . ( % )
-1,infliximab nmbr mg / kg
-1,randomization - to -
-1,low hdl cholesterol
-1,history of chronic hf
-1,"race - non - white ( n = nmbr , nmbr )"
-1,moderate teaes
-1,sfc nmbr / nmbr mg twice daily ( n = nmbr )
-1,time since diagnosis of type nmbr diabetes
-1,riva roxa ban n / n { % ) nmbr ( nmbr . nmbr )
-1,disease and quality - of - life scores
-1,"laba / ics use at screening , n ( % )"
-1,mean change in radiographic end points
-1,screening % predicted fevnmbr
-1,lntensityd
-1,steroid use at baseline
-1,angina class at baseline
-1,emotional status
-1,albuminuria ( g / g )
-1,concomitant therapy
-1,thrombophilia
-1,mean — mg / dl level — no . ( % )
-1,urine albumin - to - creatinine ratio - no . ( % ) § §
-1,mean a ± sd ( mmhg )
-1,hdl cholesterol ( week nmbr ) a
-1,low - dose rivaroxaban plus aspirin ( n = nmbr )
-1,clinical criterianmbr
-1,abatacept ( n = nmbr * )
-1,ind nmbr gg q . d . n / n ( % )
-1,"lvef ( % ) , mean ± sd"
-1,menopausal status and use of hrt ( % ) y
-1,renin inhibitor ( e . g . aliskerin )
-1,urine albumin - to - creatinine ratio
-1,total n = nmbr n ( % )
-1,chronic heart failure
-1,type nmbr diabetes mellitus ’
-1,mean score on dasnmbr - nmbr ( crp ) ^
-1,orthostatic hypotension
-1,"previous oral glucose - lowering agents , % of patients"
-1,aortic stenosis
-1,no . of patients / total no . ( % )
-1,any dose reduction
-1,hazard ratio for event ( nmbr % ci )
-1,"prior implantable cardiodefibrillator , n ( % )"
-1,"crp ( mg / l ) , median ( min , max )"
-1,"gold nmbr groups , n ( % )"
-1,enalapril + aliskiren dm = nmbr non - dm = nmbr
-1,"ics , mg / day"
-1,"psoriasis covering > nmbr % bsa , n ( % ) §"
-1,"antihypertensive drug , %"
-1,"mean ( sd ) post - bronchodilator fevnmbr reversibility , %"
-1,nmbr - nmbr ( severe )
-1,"stroke or pvd , ( % )"
-1,cabg > nmbr month ago
-1,history of percutaneous coronary intervention
-1,current or previous atrial fibrillation
-1,ace - inhibitor use
-1,anemia — no . ( % ) | |
-1,low - dose corticosteroid user
-1,upper gastrointestinal
-1,"cad history and risk factors , n ( % )"
-1,"das - nmbr ( crp ) < nmbr . nmbr , n ( % )"
-1,repaired chd
-1,gusto - defined bleeding
-1,peripheral vasodilators
-1,"mean ( sd ) number of albuterol per day , puff"
-1,"liraglutide ( n = nmbr , nmbr )"
-1,angiotensin - converting enzyme or angiotensin receptor blocker
-1,perianal or anus
-1,framingham nmbr - year cv risk score
-1,native coronary - artery lesions
-1,current drinker
-1,placebo ls means ( n )
-1,"( % , nmbr % cl )"
-1,"duration of disease , years"
-1,musculoskeletal
-1,severe ( gold nmbr )
-1,moderate thrombocytopenia ( < nmbrxnmbr / l )
-1,st change > nmbr mm
-1,received an oral aha within nmbr weeks prior to screening
-1,stiffness subscale
-1,"egfr < nmbr , n ( % )"
-1,rec . ischemia requiring revasc
-1,type of concomitant statin
-1,bmi ( kg / mnmbr ) [median ( nmbrth to nmbrth percentile ) ]
-1,moderate ( nmbr risk factor )
-1,timi risk score nmbr - nmbr
-1,"chronic obstructive pulmonary disease , n ( % )"
-1,glycopyrronium nmbr mg ( n = nmbr )
-1,"history of microvascular eye disease 本 , n ( % )"
-1,oral aminosalicylates
-1,bmi kg - m - nmbr
-1,"mean ± sd triglycerides , mg / dl"
-1,type of des
-1,"white , n ( % )"
-1,aspirin / antiplatelet
-1,any peripheral arterial disease
-1,ldl cholesterol mean ( mg / dl ± sd )
-1,index event — no . ( % )
-1,hospital factor # nmbr
-1,baseline tobacco use
-1,persistent anemia bsl hb < nmbrg i - nmbr ; yr nmbr < nmbrg i nmbr
-1,"previously taken tnfi , %"
-1,troponin t
-1,exacerbations in the previous year
-1,omega - nmbr fatty acid
-1,stroke risk score
-1,"daily insulin dose , mean ( sd ) , iu"
-1,former or never
-1,"type nmbr diabetes duration , years"
-1,ccv history / condition
-1,microalbuminuria or proteinuria
-1,"absolute risk difference ( ci ) , % *"
-1,elevated at wk nmbr — no . ( % ) nmbr
-1,proctosigmoiditis
-1,mean age ( years ) race
-1,cat total score
-1,nmbr no . of events
-1,intervention group ( n = nmbr )
-1,( nmbr % cl ) interaction
-1,"apoa - nmbr , g / l"
-1,"yes , insulin - treated"
-1,epa treatment ( n = nmbr )
-1,responders of three - item end point at nmbr weeks *
-1,systemic glucocorticoid use at randomisation
-1,"duration of tnmbrdm , y"
-1,ace inhibitors or angiotensin ii blockers
-1,physician ' s global assessment of dis -
-1,clopidogrel no . of patients % )
-1,duration of crohn ' s disease ( yrs )
-1,"multivessel intervention , n ( % )"
-1,tertile nmbr
-1,cabg surgery
-1,"crp concentration > nmbr . nmbr mg / dl ( nmbr mg / l ) , n ( % )"
-1,fatal and nonfatal stroke
-1,angiotensin - converting - enzyme inhibitor or angiotensin - receptor blocker §
-1,"ace - i / arb , ( % )"
-1,gliclazide ( modified release ) 一 no . ( % ) ^
-1,conventional treatment ( n = nmbr )
-1,currentother ( notpredefined ) medical conditions
-1,history of coronary revascularization
-1,concomitant conventional dmard use
-1,dual antiplatelet
-1,digitalis
-1,active or previous cancer
-1,therapy at discharge
-1,north america hr ( nmbr % cl )
-1,"intermediate ( nmbr ) ( n = nmbr , nmbr ; nmbr % )"
-1,male sex — no . ( % ) race — no . ( % ) ) :
-1,"primary end point kaplan - meier rate , %"
-1,all ~ cause mort / hf hosp .
-1,haemodynamics and lv function
-1,duration of study - drug infusion
-1,salmeterol nmbr gg bid
-1,p value for adjusted hr
-1,vitamin k antagonist ( e . g . warfarin / coumarol )
-1,a / v ( n = nmbr )
-1,unknown
-1,ff / vi nmbr / nmbr pg od
-1,ivabradine group
-1,comparison with baseline ( mean
-1,irofiban
-1,laba / lama
-1,< nmbr years eze / simva
-1,placebo ( dm - vs . dm + )
-1,o total randomized
-1,cabgorptca
-1,total patients n = nmbr
-1,left circumflex artery
-1,lebrikizumab ( n = nmbr )
-1,"disease duration , median ( range ) years"
-1,bl updrs : low
-1,fevnmbr % reversibility
-1,"lipoprotein ( a ) tx difference vs pbo , ls mean % change from baseline ( se )"
-1,( $ nmbr mg / dl [nmbr . nmbr mmol / l] )
-1,very high risk
-1,"location of crohn ' s disease , %"
-1,baseline diabetes
-1,number of vessels disease
-1,patient history of disease n ( % )
-1,tocilizumab ( n = nmbr )
-1,"mean ( sd ) duration of smoking , pack years"
-1,difference ( a ) vs placebo ( nmbr % cl )
-1,nmbr . nmbr - nmbr . nmbr ml / min / nmbr . nmbr mnmbr
-1,demographic characteristics
-1,ezetimibe use
-1,subset of patients on metformin
-1,nmbr vessels or left main
-1,congenital shunts
-1,eze / simva gender
-1,methotrexate dose at baseline
-1,"neoplasia , n ( % )"
-1,mesothelin ( ng / ml )
-1,"non - smoker ( n = nmbr , nmbr )"
-1,amlodipine / valsartan nmbr / nmbr mg / v = nmbr
-1,> nmbr . nmbr hdl cholesterol level
-1,past or current angina pectoris
-1,history of peripheral vascular disease
-1,group — no . ( % )
-1,number of treated vessels ( per patient )
-1,"ranolazine , n = inmbrinmbr"
-1,prior failure of anti - tnf therapy — no . ( % )
-1,concomitant medications for ulcerative colitis — no . ( % )
-1,lipid - lowering therapy
-1,"dlqi , nmbr - nmbr *"
-1,patients treated for > nmbr weeks ( % )
-1,immunomodulatory agents
-1,endothelin - receptor antagonists
-1,"nt - probnp , median ( iqr ) , pg / ml"
-1,hosp . for hf
-1,alcohol use ( > nmbr drink / wk )
-1,st - segment elevation mi
-1,history of dyspepsia
-1,"ncep risk category at study entry , n ( % )"
-1,treated hypertension :
-1,"presence of dactylitis , n ( % )"
-1,placebo every nmbr weeks ( n = nmbr )
-1,"heart rate , mean ± sd ( b . p . m . )"
-1,"post - bronchodilator fevnmbr , reversibility percentage of baseline value"
-1,intense physical activity
-1,concomitant drugs
-1,cholesterol absorption inhibitor ( ezetimibe )
-1,"chanmbrdsnmbr - vasc score ( median , iqr )"
-1,serum potassium — mmol / liter
-1,nadroparin vs control
-1,type of event — no . ( % )
-1,stroke or tia — no . ( % )
-1,previous major bleeding
-1,coexisting conditions
-1,characteristics of pulmonary embolism at inclusion
-1,time of symptom onset to randomization ( hrs )
-1,recurrent heart failure
-1,all completers ( n nmbr nmbr )
-1,qualifying hbanmbrc ( % )
-1,medically important infectionsa
-1,three arm
-1,after nmbr h
-1,fevnmbr % pred
-1,copd assessment test ( cat ) score
-1,aspirin use ( > nmbr mg )
-1,moderate ( gold nmbr )
-1,"no ascvd + additional cv risk factors , n ( % )"
-1,arb / ace
-1,hypertension serum lipid values
-1,measured at clinic visit with usual device
-1,average maximum cimt ( mm )
-1,"thrombophilia , no . ( % ) e"
-1,health assessment questionnaire - disability index
-1,"median ( qnmbr : qnmbr ) lp ( a ) , mg / dl"
-1,any clinical ae
-1,"mean ( sd ) feno , ppb"
-1,cdai score §
-1,unfractionated
-1,physical and cognitive examination : ! :
-1,syst . bp ( mmhg )
-1,"medications at discharge or day nmbr , if earlier ( % )"
-1,drug discontinuation not due to death
-1,congestive heart failure ( < nmbr wk )
-1,aliskiren
-1,physician global assessment of disease activity ( vas nmbr - nmbr mm )
-1,baseline dlco . mmol kpa - ’ -
-1,role emotional
-1,"baseline ( geometric mean , cv )"
-1,pah classification
-1,"days without albuterol use , * %"
-1,simva ( % )
-1,treatment with open - label perindopril
-1,new diabetes — no . ( % )
-1,adjusted change from baseline mean ( s . e . )
-1,"$ nmbrand , nmbr years"
-1,fpg ( range ) ( mmol / l )
-1,arterial graft
-1,any established coronary artery disease
-1,time to treatment ( min ) t
-1,serum potassium : < nmbr . nmbrmmol / l ( n = nmbr )
-1,hemoglobin concentration — g / liter
-1,clopidogrel + aspirin ( n = nmbr )
-1,"previous metformin use , %"
-1,current ( % )
-1,ecg findings at baseline — no . ( % )
-1,concomitant therapies n ( % )
-1,baseline therapy
-1,hbanmbrc nmbr . nmbr to < nmbr . nmbr % ( nmbr - nmbr mmol / mol )
-1,history of recurrent venous thromboembolism
-1,magnetic resonance angiography
-1,free fatty acids — mmol / liter
-1,"baseline post - bronchodilator % predicted fev , > nmbr % and no concurrent tiotropium"
-1,id genotype
-1,major coronary
-1,cardiac rhythm disorders
-1,"previous ischemic stroke , n ( % )"
-1,"apolipoprotein b tx difference vs pbo , ls mean % change from baseline ( se )"
-1,"history of macroalbuminuriat , n ( % )"
-1,high ( > nmbr risk factor )
-1,psoriasis affecting > nmbr % of body - surface
-1,"asthma duration ( sd ) , years"
-1,glucose metabolism
-1,"glycated hemoglobin , median ( iqr )"
-1,"blood pressure , mean ± sd mm hg"
-1,"fpi , mean ( sd ) , pu / mlt"
-1,secondary # nmbr
-1,nmbr . nmbr - nmbr . nmbr kg / mnmbr
-1,primary pci no .
-1,rectum and sigmoid colon only
-1,radial access — no . / total no . ( % )
-1,oral blood glucose - lowering
-1,age nmbr + yrs
-1,> nmbr . nmbr pmol / liter hscrp level
-1,other ischaemic heart disease ( non - infarction )
-1,calcium supplements
-1,"a mini - mental state examination , insulin glargine vs standard care"
-1,country : argentina ( n = nmbr )
-1,estimated gfr — no . ( % ) nmbr
-1,"received > nmbr prior anti - tnf therapies , n"
-1,nmbr placebo ( n = nmbr nmbr )
-1,standard care n ( % )
-1,"interval from clopidogrel loading , h"
-1,"severity of copd * , n ( % )"
-1,acr deciles
-1,change at week nmbr
-1,"europe , israel , or australia"
-1,low density lipoprotein cholesterol - mg / dltt
-1,other dmard use
-1,duration of hypercholesterolemia ( yr )
-1,personal relationships
-1,heart failure or lvef < nmbr % associated with index acs event
-1,previous venous thromboembolism — no . ( % )
-1,prior biologic exposure
-1,need for urgent coronary - artery bypass grafting
-1,egfr ( ml / min / nmbr - nmbr mz )
-1,"egfr ( mdrd ) , ml / min / nmbr . nmbr mnmbr"
-1,"previous stroke , n ( % )"
-1,alpha nmbr blockers
-1,moderate dysfunction
-1,tnf - rnmbra ( ng / ml )
-1,jejunum
-1,neither ace - i nor arb use
-1,history of vte * *
-1,"d - dimer level , mean ( sd ) , ng / mld"
-1,gfr ( ml / min per nmbr . nmbr nr )
-1,diastolic fmmhff ' )
-1,"diabetes duration , median ( iqr ) , years"
-1,nmbr . nmbr ( nmbr nmbr . nmbr )
-1,plaque score ( nmbr - nmbr )
-1,prior disease
-1,"mean sd fpg , mg / dl"
-1,serum ctx ( ng / ml )
-1,baseline triglycerides in nmbr classes
-1,ff / vi nmbr mg / nmbr mg ( n = nmbr )
-1,"previous anti - tnf therapy , n [ % ]"
-1,dronedarone ( n = nmbr )
-1,standard ( nmbr )
-1,"age , median ( interquartile range ) , y"
-1,one or more copd exacerbations ( n / n [ % ] )
-1,peripheral embolism
-1,"arterial blood pressure , mm hg"
-1,"co - morbidities , a n ( % )"
-1,oral hypoglycemic drugs only
-1,p value ( on vs off omt )
-1,mucocutaneous
-1,any new anti - hyperglycemic rx
-1,metsyn with ldl > nmbr . nmbr mg / dl
-1,severe or worse airflow limitation
-1,periprocedural anticoagulant
-1,lsms difference ( nmbr % ci ) nmbr
-1,"age , y sex , no . ( % )"
-1,blood eosinophil
-1,pah classification — no . ( % )
-1,short - acting bnmbr - agonists
-1,"fevnmbr reversibility , pre - / post - albuterol , %"
-1,"ischemia on cecg ( n = nmbr , nmbr )"
-1,ularitide n / n ( % )
-1,three of seven risk factors
-1,moderately high risk without atherosclerotic vascular disease *
-1,randomised to canakinumab nmbr mg
-1,ff nmbr pgod
-1,"fevnmbr post - bronchodilator , % predicted normal"
-1,migraine — no . ( % ) $
-1,hypertension — no . / total no . ( % )
-1,randomized to active yitamin e
-1,low risk and more symptoms ( group b )
-1,high risk
-1,carotid artery diseaset
-1,cholesterol — mmol / liter
-1,fasting plasma glucose
-1,daily activities
-1,extended - duration enoxaparin ( n = nmbr )
-1,dasnmbr - nmbr ( esr )
-1,associated with corrected - congenital shunts
-1,traditional nsaid use
-1,baseline albumin : < nmbr
-1,"high - risk cvd , n ( % )"
-1,pro / pro homozygotes
-1,sulfasalazine ( mean dose : nmbr . nmbr g / day )
-1,> nmbr years eze / simva baseline ldl - c
-1,"< nmbr % predicted arr ( n = nmbr , nmbr )"
-1,pe associated with dvt at diagnosis
-1,baseline hbanmbrc
-1,"renal function < nmbr egfr , ml / min / nmbr . nmbr mnmbr"
-1,"blood eosinophil concentration , nmbr cells per l"
-1,less severenmbr
-1,cardiovascular risk
-1,prehospital ticagrelor ( n = nmbr )
-1,symptoms of atrial fibrillation in the nmbr months before randomiza -
-1,perindopril
-1,tiotropium / olodaterol nmbr / nmbr mg ( n = nmbr )
-1,symptom onset to hospital admission
-1,ldl - c ( measured ) *
-1,rerapamil - sr strategy ( n = nmbr )
-1,"erosion score , mean nmbr sd"
-1,"valve surgery , n ( % )"
-1,ticagrelor nmbr mg nmbr year km ( % )
-1,north america ( plus australia and new zealand )
-1,calcium antagonist — no . ( % )
-1,"penetrating disease , %"
-1,non - drug - eluting stent
-1,number of exacerbations in the past nmbr months
-1,potassium supplement
-1,age group
-1,congestive heart failure ( chf ) ( in past nmbr weeks )
-1,"platelet count , x nmbr mmnmbr"
-1,other supraventricular tachycardia
-1,egfr ( ml / min / nmbr . nmbr mnmbr [mdrdequation] )
-1,"mean bmi , kg / mnmbr"
-1,* * * unstable angina
-1,rate ratio
-1,recurrent vte ( statin use vs non - use )
-1,"saxagliptin nmbr mg ( n = nmbr , nmbr )"
-1,irregular or ulcerated ica p ) laque : [ :
-1,extreme tortuosity
-1,angina status — no . ( % )
-1,p value nmbr . nmbr
-1,nonaspirin antiplatelet
-1,"antihyperglycemictherapies , %"
-1,geographic distribution - no . ( % )
-1,conventional synthetic dmard use at baseline
-1,statins 一 no . ( % )
-1,at six weeks
-1,angiographic data and treatment :
-1,"clinical indication at the index procedure , n ( % )"
-1,mean bdi focal score ( sd )
-1,cabg during index hospitalization
-1,pci for index event
-1,concomitant drug treatment
-1,"third primary ( change in updrs score / wk , wk nmbr - nmbr )"
-1,implanted pacemaker
-1,"concomitant asthma medications , n ( % )"
-1,hbanmbrc $ nmbr . nmbr % ( nmbr mmol / mol )
-1,uacr not available
-1,ret / abx - facil . pci
-1,"severity of copd , airflow limitation , n ( % )"
-1,claudication only
-1,mean % predicted dlco * ( sd )
-1,titre ( u / ml ) t
-1,treatment before admission ( % )
-1,overall quality of life
-1,no baseline corticosteroids
-1,high on - treatment platelet reactivity *
-1,"potassium ( meql ) , mean + sd , available for nmbr patients"
-1,all patients with opg n - nmbr
-1,"urinary albumin : creatinine ratio ( pg / mg ) , median ( iqr )"
-1,cardiac rhythm disorder at baseline yes
-1,islander
-1,left circumflex coronary artery
-1,risk category ( points )
-1,"nihss at randomization , nmbr - nmbr"
-1,cilostazol
-1,"creatinine clearance category , ml / min , no . ( % ) b"
-1,"tg > nmbr mg / dl , n ( ° / o )"
-1,chf on losartan ( % )
-1,"comorbidities , %"
-1,prior lipid - lowering agent use
-1,iwqol - lite total score ( arbitrary units ) #
-1,absolute change
-1,gusto moderate / severe
-1,ls mean difference ( se ) vs placebo
-1,stent implanted — no . ( % )
-1,eze / simva ( „ = nmbr }
-1,"low eosinophil subgroup ( , nmbr / ml ) ( n = nmbr )"
-1,alaska native
-1,| interactior nmbr p
-1,number ( s ) of features present
-1,extent of disease — no . / total no . ( % ) § ^ |
-1,eze / simva nmbr / nmbr mg n = nmbr
-1,bivalirudin
-1,two arm
-1,metreo modified intention - to - treat population §
-1,any blood pressure medications ( % )
-1,"p , net difference"
-1,statin users ( n = nmbr )
-1,simplified disease activity index score ( nmbr - nmbr )
-1,calcium channel
-1,level — no . ( % )
-1,no regular consumption
-1,"nmbr / nmbr , nmbr ( nmbr . nmbr )"
-1,"time from randomization to pci ( non - st - elevation mi ) , h"
-1,"nmbre < nmbr % , n ( % )"
-1,"prior pacemaker , n ( % )"
-1,"non - detectable / unknown , n ( % )"
-1,"individuals without diabetes , n = nmbr , nmbr"
-1,post - fibrinolysis angioplasty ( n = nmbr )
-1,aerobic activity
-1,pulse pressure
-1,laboratory measures
-1,deep - vein thrombosis ( % )
-1,cardiovascu lar subg roup
-1,greater than or equal to nmbr ml / min / nmbr . nmbrmnmbr
-1,"statin , n ( % )"
-1,location of infarction
-1,infliximab - experienced ( n = nmbr )
-1,time since first copd diagnosis ( years )
-1,potassium — mmol / liter
-1,rivaroxaban ( n = nmbr )
-1,investigator - determined myocardial infarction
-1,time from first eval
-1,diagnosis of heterozygous familial hypercholester
-1,baseline crp ( mg / dl )
-1,average of maximum far wall cimt ( mm )
-1,hispanic ethnicity
-1,other vasodilator
-1,maintenance dose
-1,thienopyridine type
-1,perfusion defectsatinclusion
-1,dasnmbr - esr remission
-1,no . of panents . total no . nmbr % )
-1,disease activity outcomes ( itt population ) week nmbr
-1,fluticasone furoate and vilanterol ( n = nmbr )
-1,any infarct
-1,apolipoprotein a - i *
-1,current smoking — no . / total no . ( % )
-1,miami k antagonist received
-1,rivastigmine
-1,europa ( n = nmbrlnmbr )
-1,"lung function , mean"
-1,"physician ' s global assessment of disease activity ( nmbr - nmbr mm vas ) , mean ( sd )"
-1,nmbr - nmbr ( very severe )
-1,high - risk clinical features
-1,second primary composite outcome
-1,baseline % predicted fevnmbr
-1,treatment characteristics
-1,digoxin at last follow - up
-1,both impaired glucose tolerance and impaired fasting glucose tolerance — no .
-1,ez / simva < % >
