"docid_page","baseline_level_1","baseline_level_2","arms","arms;measures","subgroup_name","subgroup_level","arms;measures;p-interaction","measures","outcomes","subgroup_name;subgroup_level","measures;p-interaction","other","time/period;measures","subgroup_level;measures","measures;arms","outcomes;subgroup_level","time/period","measures_","measures__","baseline_level_1;outcomes","baseline_level_2;measures","outcomes_","arms;p-interaction","arms_","measures;baseline_level_2","measures;subgroup_level","measures;p-interaction;arms","outcomes;measures","subgroup_level.y","outcomes.y","outcomes;time/period;measures","arms;measures;time/period","measures;arms;p-interaction","other;measures","measures;other","subgroup_level_","p-interaction;subgroup_name","outcomes;time/period","p-interaction;arms","subgroup_level;p-interaction","subgroup_level;outcomes","measures;time/period","baseline_level_1.y","baseline_level_1_","baseline_level_2_","p-interaction","p-interaction;measures"
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Uncertain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Postmenopausal, current hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Postmenopausal, never or past hormone therapy use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Major Cardiovascular Event*","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 No. of Events","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"RR (95% CI)","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Placebo",NA,NA,NA,"1 P Value","Total Invasive Cancer","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15998891_2",NA,NA,NA,"1 Vitamin E",NA,NA,NA,"1 No. of Events","Major Cardiovascular Event*","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
