,descriptor,terms
465,characteristic_name,"antidiabetes drug usage [ % ( n ) ]-antidiabetes drug usage [ % ( n ) ] "" ; na"
466,characteristic_level,"bmi ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ] ""-biguanide ( metformin )-three drugs-age ( years ) [median ( nmbrth nmbrth percentile ) ]-n-sulfonylurea-a - glucosidase inhibitor-thiazolidinedione-dual therapy-hypertension ( % )-monotherapy-no antidiabetic drug-bmi ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ]-current smoker ( % )-meglitinide-weight ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ]-female sex ( % )-hyperlipidemia ( % )-insulin"
467,arms,"ranolazine-ranolazine ""-placebo"
468,characteristic_level,"men ""-men-women"
469,outcomes,"myocardial infarction-myocardial infarction ""-cardiovascular death-primary endpoint-recurrent ischemia"
470,measures,"hr ( nmbr % cl ) ""-hr ( nmbr % cl )-p nmbr interaction women vs men"
472,characteristic_name,"fvc ( l )-smoking status-( b ) concomitant respiratory medications [n ( % ) ]-fevnmbr ( l )-fvc ( % predicted ) ""-fvc ( % predicted )-fevnmbr ( % predicted )-( ) demographics-gold stage [n ( % ) ]"
473,characteristic_level,"women ""-men-women"
474,arms,"control ( nznmbr )-tiotropium ( nznmbr )-control ( nznmbr ) """
475,outcomes,"fevnmbr pre - bronchodilator-fevnmbr post - bronchodilator ""-fvc post - bronchodilator-fevnmbr post - bronchodilator-fvc pre - bronchodilator"
476,characteristic_level,"women ""-men-women"
479,measures,"n ""-n-% pred-ml"
480,characteristic_name,"albuterol use ( sd ) , puffs / day ""-mean age ( sd ) , years-symptom score ( sd )-female ( % )-fevnmbr percent predicted ( sd )-pm pef ( sd ) , l / min-asthma duration ( sd ) , years-am pef ( sd ) , l / min-number subjects-albuterol use ( sd ) , puffs / day"
481,characteristic_name,"bmi category ""-bmi category"
482,characteristic_level,"nmbr-nmbr - nmbr . nmbr ""-> nmbr-nmbr - nmbr . nmbr"
483,characteristic_name,"n-reversibility ( bnmbr - agonist ) , % , mean ( sd ) nmbr-reversibility ( anticholinergic ) , % , mean ( sd ) $-age , yr , mean ( sd ) ""-bmi , mean ( sd )-ics users , n ( % )-male sex , n ( % )-fevi , l , mean ( sd ) nmbr-fevi , % predicted , mean ( sd ) nmbr-fevnmbr / fvc , % , mean ( sd ) nmbr-smoking history , pack - years , mean ( sd )-age , yr , mean ( sd )"
484,arms,"placebo ""-indacaterol nmbr mg-tiotropium-placebo"
485,characteristic_level,"female ""-female-male"
486,arms,"ami nmbr mg-aml / val nmbr / nmbr mg-aml / val nmbr / nmbr mg """
487,characteristic_level,"pad baseline ""-no pad baseline-pad baseline"
488,arms,"epa-control-epa "" ; na"
490,characteristic_name,"fasting lipid levels , mmol / l-diabetes-cardiovascular disease-cardiovascular disease ""-race , n ( % )"
491,characteristic_level,"caucasian-total cholesterol-mean nmbr - year cvd risk * ""-other-current cvd / diabetes , n ( % )-ldl - c-hdl - c-age , years-type nmbr , n ( % )-asian-current smoker , n ( % )-black-high - risk cvd , n ( % )-triglycerides , median ( range )-mean nmbr - year cvd risk *-> nmbr years , n ( % )-male , n ( % )"
492,arms,"atorvastatin nmbr mg ( n = nmbr ) ""-atorvastatin nmbr mg ( n = nmbr )-rosuvastatin nmbr - nmbr mg ( n = nmbr )-ezetimibe / simvastatin nmbr / nmbr mg ( n = nmbr )"
493,characteristic_level,"ldl - c < nmbr . nmbr mmol / l-nice primary prevention onlyb-nice secondary prevention onlyb-baseline ldl - c nmbr . nmbr < nmbr . nmbr mmol / lc-jbs - nmbr primary prevention onlynmbr-baseline ldl - c > nmbr . nmbr < nmbr . nmbr mmol / lc-jbs - nmbr secondary prevention onlynmbr-nice primary prevention onlyb """
494,measures,"percentage patients reaching target ""-percentage patients reaching target"
495,arms,"atorvastatin-rosuvastatin-exetimibe / simvastatin-atorvastatin """
496,characteristic_name,"medications baseline , n ( % ) ""-location crohn ' disease , %-medications baseline , n ( % )"
497,characteristic_level,"mean duration disease , years-no corticosteroids immunosuppressants-upper gastrointestinal-ileocolon-corticosteroids immunosuppressants-resection performed , %-mean cdai score-geometric mean crp concentration ( mg / l )-corticosteroids-no corticosteroids immunosuppressants ""-penetrating disease , %-colon-male , %-immunosuppressants-terminal ileum-mean ( . . ) age , years"
498,arms,"infliximab - naive ( n = nmbr )-infliximab - experienced ( n = nmbr )-infliximab - experienced ( n = nmbr ) """
499,characteristic_level,"nmbr . nmbr yrs-anterior-> nmbr . nmbr yrs-non - anterior-male-female-no-nmbr min-yes ""-< nmbr min-> nmbr . nmbr min-> nmbr min-yes-nmbr . nmbr min-nmbr - nmbr min"
500,characteristic_name,"diabetes ""-interval study drug pci-age-infarct localization-diabetes-history mi-interval pain onset admission-sex-interval clopidogrel pci"
502,characteristic_name,"blood pressure-elevated blood pressure-increased waist circumference-prevalence metabolic syndrome criterion-diastolic-waist circumference-low hdl cholesterol ""-fasting blood glucose-low hdl cholesterol-elevated tg-elevated fasting glucose-changes ( ) metabolic syndrome parameters hdl cholesterol-systolic"
503,arms,"low - dose statin-fenofibric acid + low - dose statin-high - dose statin-moderate - dose statin-low - dose statin ""-fenofibric acid-fenofibric acid + moderate - dose statin"
504,characteristic_name,"screening visit ""-screening visit-randomisation visit ( baseline )"
505,characteristic_level,"pre - bronchodilator fevnmbr ( l )-age ( years )-any medication-men : women ( % )-post - bronchodilator fevnmbr ( l ) a-oral corticosteroids-post - bronchodilator fvc ( l ) a-time since copd diagnosis ( yrs )-smoking history ( pack - years )-pre - bronchodilator fvc ( l )-pre - bronchodilator fevnmbr / fvc ( % )-mucolytics-fevnmbr ( l )-current smoker : ex - smoker ( % )-long - acting bnmbr - agonists-pre - bronchodilator fvc ( l ) ""-fevnmbr ( % predicted normal )-xanthines-fvc ( l ) proportion taking pulmonary medications ( % ) b-pre - bronchodilator fevnmbr ( % predicted normal )-post - bronchodilator fevnmbr ( % predicted normal ) a-supplementary oxygen-reversibility fevnmbr ( % )-inhaled corticosteroids-short - acting anticholinergics-short - acting bnmbr - agonists-post - bronchodilator fevnmbr / fvc ( % )"
506,characteristic_name,"pre - bronchodilator fevnmbr ( l )-age ( years )-any medication-men : women ( % )-post - bronchodilator fevnmbr ( l ) a-oral corticosteroids-post - bronchodilator fvc ( l ) a-time since copd diagnosis ( yrs )-short - acting anticholinergics ""-smoking history ( pack - years )-pre - bronchodilator fvc ( l )-pre - bronchodilator fevnmbr / fvc ( % )-mucolytics-fevnmbr ( l )-current smoker : ex - smoker ( % )-long - acting bnmbr - agonists-fevnmbr ( % predicted normal )-xanthines-tiotropiumc-pre - bronchodilator fevnmbr ( % predicted normal )-fvc ( l )-post - bronchodilator fevnmbr ( % predicted normal ) a-supplementary oxygen-reversibility fevnmbr ( % )-inhaled corticosteroids-short - acting anticholinergics-short - acting bnmbr - agonists-post - bronchodilator fevnmbr / fvc ( % )"
507,characteristic_level,"laba users-laba non - users ""-laba non - users"
508,characteristic_name,"primary enrollment diagnoses , n ( % )-race ethnicity , n ( % ) ""-risk factors immobility level , n ( % )-previous medications , n ( % )-region enrollment , n ( % ) +-race ethnicity , n ( % )"
509,measures,"postamendment-preamendment-total population-preamendment """
510,arms,"extended - duration enoxaparin ( n = nmbr )-placebo ( n = nmbr ) ""-placebo ( n = nmbr )"
511,outcomes,"major bleeding events *-vte day nmbr + ""-vte day nmbr +"
512,characteristic_name,"age > nmbr y-age < nmbr ""-age < nmbr"
513,characteristic_level,"level nmbr-level nmbr ""-men-women"
515,characteristic_name,"geographical region , n ( % )-previous copd treatment , n ( % ) *-previous copd treatment , n ( % ) * """
516,characteristic_level,"$ nmbr % , n ( % )-body mass index , kg / mnmbr-nmbre < nmbr % , n ( % )-< nmbr % , n ( % )-nmbr-neither ics laba-western europe-ics alone-laba alone-age enrolment , years-asia pacific-$ nmbr-nmbr ""-usa-ics + laba-pack - years smoked-baseline short - acting anticholinergics , n ( % )-other-previous mi , n ( % )-eastern europe-postbronchodilator fevnmbr , % predicted-current smoker , n ( % )-male gender , n ( % )-baseline cv treatment , n ( % )"
517,arms,"salmeterol ( n [nmbr )-placebo ( n[nmbr )-fp ( n [nmbr )-sfc ( n [nmbr ) ""-sfc ( n [nmbr )"
518,characteristic_name,"prior mi-smoking status-age-sex ""-sex-baseline fevnmbr-baseline short - acting anticholinergics-baseline cv treatment"
519,characteristic_level,"$ nmbr-nmbre < nmbr %-$ nmbr %-< nmbr-male-female-no-female ""-former-nmbrenmbr-< nmbr %-yes-current"
521,characteristic_name,"demographic characteristics-medical history duration heart failure ( years ) primary cause heart failure-demographic characteristics ""-nyha class"
522,characteristic_level,"ace inhibitor-class iv-hypertension-antialdosterone agents-heart rate ( bpm )-myocardial infarction-age ( years )-non - ischaemic-ischaemic-bmi ( kg / mnmbr ) cardiac parameters-white-sex ( male ) ethnic origin-egfr ( ml / min per nmbr - nmbr mnmbr ) ""-diuretic drugs ( excluding antialdosterone )-sbp ( mm hg )-egfr ( ml / min per nmbr - nmbr mnmbr )-icd-asian-diabetes-arb-class iii-devices-crt-history atrial fibrillation flutter treatment randomisation-p blocker-other-lvef ( % )-current smoking-class ii-cardiac glycosides-dbp ( mmhg )-previous stroke"
523,arms,"placebo group ( n = nmbr ) ""-placebo group ( n = nmbr )-ivabradine group ( n = nmbr )"
524,characteristic_name,"baseline heart rate-age-nyha class-diabetes-hypertension-sex-cause heart failure ""-cause heart failure-p blockers"
525,characteristic_level,"age < nmbr years ( n = nmbr )-non - ischaemic ( n = nmbronmbr )-nyha class iii iv ( n = nmbr )-ischaemic ( n = nmbrlnmbr )-history hypertension ( n = nmbr )-female ( n = nmbr )-history diabetes ( n = nmbr )-= nmbr bpm ( n = nmbr )-p - blocker intake randomisation ( n = nmbro )-no p - blocker intake randomisation ( n = nmbr )-> = nmbr years ( n = nmbr )-no history hypertension ( n = nmbr )-< nmbr bpm ( n = nmbr )-non - ischaemic ( n = nmbronmbr ) ""-nyha class ii ( n = nmbrlnmbr )-male ( n - nmbr )-no history diabetes ( n = nmbr )"
527,characteristic_name,"medication , n ( % ) ""-medical history , n ( % )-laboratory measurements-demographics-medication , n ( % )"
530,characteristic_name,"medical history ( % ) ""-treatment admission-blood pressure ( mm hg )-medications day nmbr-treatment admission ( % )-medications discharge day nmbr , earlier ( % )-measurements-demographic characteristics-medical history ( % )"
532,characteristic_name,"age , y-medical history , n ( % )-race , n ( % )-medical history , n ( % ) ""-ethnicity , n ( % )"
533,arms,"fenofibric acid nmbr = nmbr-rosuvastatin n = nmbr-fenofibric acid nmbr = nmbr ""-rosuvastain + fenofibric acid nmbr = nmbr"
534,outcomes,"tg-hdl - c-hdl - c "" ; na-ldl - c"
535,measures,"% ( se )-final mean , mg / dl ""-mean change ,-baseline mean , mg / dl-final mean , mg / dl"
536,arms,"treatment group-treatment group """
537,arms,"acid-fenofibric acid ""-fenofibric acid"
538,characteristic_level,"non - diabetic ""-diabeticb-non - diabetic"
539,other,"study end concentration-study end concentration """
540,characteristic_name,"hdlnmbr - c ""-ldu - c-apo b *-triglyceride-ldl , - c-total ldl - c *-non - hdl - c *-ldlnmbr - c-hdlnmbr - c"
541,characteristic_level,"baseline trig > nmbr millycerides g / dl-overall population-baseline triglycerides < nmbr mg / dl-overall population """
542,arms,"anmbr + ez n = nmbr-anmbr + ez n = nmbr anmbr n = nmbr-anmbr n = nmbr ""-anmbr n = nmbr"
543,other,"acute dvt study-continued treatment study ""-continued treatment study"
544,arms,"standard therapyy ( n = nmbr )-placebo ( n = nmbr ) ""-rivaroxaban ( n = nmbr )-placebo ( n = nmbr )"
545,characteristic_name,"known ' rc - iitoji cccndilon-renal fmclicn : creatntoe clearance-intended durat - sm antccagubficn-redon-wegu ""-cardiac disease-age-rarertd antocagibtcn andorrtzafon-locafon index dvt-wegu-mafcaiancy randorrtzaton-miami k antagonist received-sex-kheeatne index dvt-modmy al randcnxzaton-pre ' rtous eptscde ( } dvt / pe"
546,arms,"enoxaparin / vka n / n ( % ) nmbr / nmbr ( nmbr . nmbr )-riva roxa ban n / n { % ) nmbr ( nmbr . nmbr ) ""-riva roxa ban n / n { % ) nmbr ( nmbr . nmbr )"
547,characteristic_name,"intended duration anticoagulation-renal function : creatinine clearance-age-race ""-parenteral anticoagulalion randomization-malignancy randomization-race-weight"
548,arms,"rivaroxaban-enoxaparin / vka ""-enoxaparin / vka"
549,measures,"( % ) ( nmbr . nmbr )-( % ) ( nmbr - nmbr ) ""-( % ) ( nmbr - nmbr )-n / n nmbr / nmbr"
550,characteristic_name,"comorbidities , n ( % ) a-mean lipid values , mg / dl-body weight ( kg ) , n ( % )-race , n ( % ) ""-sex , n ( % )-dm medication , n ( % ) c-age ( years )-race , n ( % )"
551,arms,"fa nmbr mg-r nmbr mg-r nmbr mg + fa ""-r nmbr mg + fa"
552,characteristic_name,"concomitant medication , n ( % )-concomitant medication , n ( % ) "" ; na-disease location ( % ) *"
553,characteristic_level,"endoscopy subscore-left - sided colitisz-aminosalicylates * *-corticosteroid + imm-no corticosteroid , imm-male ( % ) ""-mayo score , mean ( sd )-crp , mg / l : median ( range )-age , years : median ( range )-disease duration , years : median ( range )-male ( % )-extensive colitisy-corticosteroid ( without imm )-weight , kg : mean ( sd )-otherx-pga subscore-imm ( without corticosteroid )-stool frequency subscore-rectal bleeding subscore {"
554,arms,"placebo ( n[nmbr )-ada nmbr / nmbr ( n[nmbr ) ""-ada nmbr / nmbr ( n[nmbr )"
556,arms,"ada nmbr / nmbr n[nmbr ""-ada nmbr / nmbr n[nmbr-placebo n[nmbr"
557,characteristic_name,"caucasian-body mass index , kg / mnmbr-n-fevnmbr , % predicteda-ex - smoker / smoker , %-other-patients treated > nmbr weeks ( % )-age , years-asian-ex - smoker / smoker , % ""-black-ics use yes / , %-fevnmbr , la-treatment duration , days-history current cardiac disorders , %-age > nmbr , %-male / female , %"
558,arms,"salmeterol nmbr gg bid-placebo-indacaterol nmbr gg qd-formoterol nmbr gg bid-tiotropium nmbr gg qd-formoterol nmbr gg bid """
559,characteristic_name,"renal impairment , n ( % )-duration tnmbrdm ( years )-gender , n ( % )-hbanmbrc category , n ( % )-hbanmbrc category , n ( % ) ""-race , n ( % )-age category ( years ) , n ( % )"
560,characteristic_level,"mean ( . . )-men-esrd-< nmbr-body mass index ( kg / mnmbr ) ,-sulphonylurea-white-> nmbr . nmbrto < nmbr . nmbr %-women-weight ( kg ) , mean ( . . )-> nmbr , n ( % )-a - glucosidase inhibitor-oral blood glucose - lowering drug nmbr ( nmbr . nmbr )-> nmbr-thiazolidinedione-moderate-diabetes therapy , n ( % ) ""-age ( years ) , mean ( . . )-oral blood glucose - lowering-> nmbr . nmbr %-severe-diabetes therapy , n ( % )-fpg ( mmol / l )-glinide-crcb - ( ml / min ) , mean ( . e . )-hbanmbrc ( % )-< nmbr . nmbr %-insulin"
561,arms,"saxa nmbr . nmbr mg ( n = nmbr )-pbo ( n = nmbr ) ""-pbo ( n = nmbr )"
562,characteristic_level,"baseline hbanmbrc , mean ( . e . )-adjusted change baseline mean ( . e . ) ""-esrd-moderate renal impairment-adjusted change baseline mean ( . e . )-week nmbr hbanmbrc , mean ( . e . )-severe renal impairment-difference vs . pbof mean ( . e . )"
563,arms,"pbo-saxa nmbr . nmbr mg ""-saxa nmbr . nmbr mg"
564,measures,"n = nmbr ""-n = nmbr"
565,characteristic_level,"pbo ( n = nmbr )-esrd saxa nmbr . nmbr mg ( n = nmbr )-severe renal impairment ""-moderate renal impairment-severe renal impairment"
566,arms,"saxa nmbr . nmbr mg ( n = nmbr )-saxa nmbr . nmbr mg ( n = nmbr ) ""-pbo ( n = nmbr )"
567,characteristic_name,"clinical presentation-medical therapy-antithrombotic therapy ""-treated vessel-antithrombotic therapy"
568,characteristic_level,"left anterior descending-glycoprotein llb / llla inhibitors-left circumflex-enoxaparin ""-chronic stable angina-multivessel pci-enoxaparin-lesions bnmbr / c-ace inhibitors / sartans-multivessel disease-acs-saphenous vein graft-left main-right coronary-unfractionated heparin-bivalirudin-/ nmbr - blockers"
569,arms,"controls ( n = nmbr )-high - dose statin pretreatment ( n = nmbr )-controls ( n = nmbr ) """
570,arms,"placebo ( n - nmbr ) ""-placebo ( n - nmbr )-bosentan ( n = nmbr )"
571,characteristic_name,"baseline fvc , l-baseline fvc , l ""-location-age , years-smoking history"
573,characteristic_name,"baseline low - density lipoprotein cholesterol ( mg / dl )-risk group-baseline low - density lipoprotein cholesterol ( mg / dl ) ""-race"
574,characteristic_level,"american indian alaska-white-body mass index ( kg / nr )-men-nmbr - < nmbr-high risk atherosclerotic vascular disease *-women-moderately high risk without atherosclerotic vascular disease *-< nmbr-asian-high risk without atherosclerotic vascular disease +-> nmbr ""-multiracial-nmbr - nmbr-age ( years )-black african american-> nmbr"
575,other,"stratum ii ""-stratum i-stratum ii"
576,arms,"rnmbr + ezio ( n = nmbr )-rnmbr ( n = nmbr )-rnmbr ( n = nmbr ) """
577,characteristic_name,"geographical region ( % )-geographical region ( % ) "" ; na"
578,characteristic_level,"pack - years smoked-male gender ( % )-usa-bmi ( kg / mnmbr )-other-eastern europe-reversibility ( % predicted fevnmbr ) *-age enrollment ( years )-male gender ( % ) ""-post - bronchodilator fevnmbr ( % predicted * )-current smoker ( % )-baseline sgrq total score-pre - bronchodilator fevnmbr / fvc ratio *-western europe-asia - pacific-post - bronchodilator fevnmbr ( l ) *"
580,characteristic_name,"concomitant medication , n ( % )-location disease , n ( % )-hrqol "" ; na-hrqol-diagnosis ( ) , mean ( sd )"
581,characteristic_level,"ileocolon-corticosteroid immunosuppressant-immunosuppressant ( without corticosteroid )-inflammatory-stricturing-corticosteroid immunosuppressant-nmbr-ibdq score , mean ( sd )-colon-ibdq score , mean ( sd ) "" ; na-geometric mean baseline-neither corticosteroid immunosuppressant-terminal ileum-> nmbr-corticosteroid ( without immunosuppressants )-mean body mass index ( kg / mnmbr )"
582,arms,"certolizumab pegol ( n = nmbr )-certolizumab pegol ( n = nmbr ) ""-placebo ( n = nmbr )"
583,characteristic_name,"age ( yrs ) nmbr - nmbr-stricturing-< nmbr-nmbr-nmbr yrs-previous current use im cs : no-smoker-im use : no-cs use : no-> nmbr-penetrating-im cs use : no-nonsmoker-disease location / type : terminal ileum-caucasian-im cs use : no-bmi ( kg / mnmbr ) < nmbr-prior surgery : no-previous current use im cs : no-female-disease duration : < baseline mean-inflammatory-yes-previous current im use : no-previous current cs use : no-nmbrbaseline mean-cdai score < nmbr-< nmbr yr-lleocolon-nmbr - nmbr yrs-noncaucasian-crp ( mg / l ) : < nmbr-male-colon-nonsmoker """
584,characteristic_name,"country ""-country"
585,characteristic_level,"hungary-estonia-czech republic-rest world-poland-latvia-germany-new zealand ""-austria-romania-canada-australia-belgium-new zealand-ukraine-brazil-united states-italy-europe ( zone nmbr )-russia-north america-israel"
586,characteristic_name,"crohn ' disease - related medication baseline , n ( % )-c - reactive protein ( mg / dl_ )-crohn ' disease - related medication baseline , n ( % ) "" ; na-involved intestinal area , n ( % )"
587,characteristic_level,"mean ( . . )-ileum-age ( years ) , mean ( . . ) ""-body weight ( kg ) , mean ( . . )-other-immunosuppressants-male patients , n ( % )-baseline cdai score , mean ( . . )-age ( years ) , mean ( . . )-previous tnf - antagonist use , n ( % )-current smoker , n ( % )-gastroduodenum-colon-aminosalicylates-draining cutaneous fistula baseline , n ( % )-median ( range )"
588,characteristic_name,"baseline corticosteroids * ""-no baseline corticosteroids-baseline corticosteroids *"
589,arms,"nmbr mg eow n = nmbr ""-nmbr mg eow n = nmbr-nmbr mg ew n = nmbr-placebo n = nmbr"
590,characteristic_name,"body mass index , %-smoking , %-body mass index , % """
591,characteristic_level,"nmbr - nmbr . nmbr kg / mnmbr-> nmbr kg / mnmbr-nmbr - nmbr . nmbr kg / mnmbr ""-past-current-never-< nmbr kg / mnmbr"
592,characteristic_level,"migraine aura-migraine without aura-prior migraine *-migraine aura """
593,arms,"placebo nmbr-placebo nmbr ""-aspirin nmbr"
594,outcomes,"ischemic stroke-coronary revascularization ""-stroke-coronary revascularization-no .-myocardial infarction-cvd death-hemorrhagic stroke-tia-major cvd /"
595,characteristic_level,"prior migraine-no history migraine-no history migraine ""-migraine aura-migraine without aura-p *"
597,characteristic_name,"alcohol consumption-gender , n ( % )-tobacco use-history medical conditions , n ( % )-fracture history ( predefined ) , n ( % )-maternal history , n ( % )-tobacco use ""-history bone disease ( predefined ) , n ( % )-paternal history , n ( % )-risk factor ( predefined ) falling screening , n ( % )-race , n ( % )"
598,characteristic_level,"current ( predefined ) medical conditions-priorother ( predefined ) medical conditions-years , mean ( sd )-priorbone disease-hbalc ( % ) , mean ( sd ) ^-former , n ( % )-years , mean ( sd ) ""-bmi ( kg / mnmbr ) , mean ( sd )-past-current bone disease-african america-weight ( kg ) , mean ( sd )-currentother ( notpredefined ) medical conditions-osteoporosis-age ( years ) , mean ( sd )-caucasian-priorother ( predefined ) medical conditions-fpg ( mmol / l ) , mean ( sd ) < u + nmbr >-yes , n ( % )-any condition-asian-female-current , n ( % )-other-male-units per week , mean ( sd )-duration diabetes-hip fracture-current"
599,arms,"met ( n = nmbr )-avm ( n = nmbr ) ""-avm ( n = nmbr )"
600,other,"lumbar spine ""-femoral neck-total body-distal one - third radius-total hip-lumbar spine"
601,measures,"treatment difference-avm % < u + nmbrbnmbr > ( se )-met % < u + nmbrbnmbr > ( se )-treatment difference """
602,characteristic_level,"overall-premenopausal-female-male-postmenopausal-overall """
603,arms,"apixaban ( n = nmbr )-placebo ( n = nmbr ) ""-placebo ( n = nmbr )"
604,characteristic_name,"heart failure-apixaban dose ( matching placebo )-acs treatment-geographic region-age-history stroke ""-bmi-history stroke-acs type-sex-race-level renal impairment-diabetes mellitus"
605,outcomes,"cv death , ml , ischemic stroke ""-cv death , ml , ischemic stroke"
606,measures,"hr ( nmbr % cl )-n / n-interaction p value-n / n """
607,characteristic_name,"age , y-weight , kg ""-weight , kg"
610,characteristic_name,"severity copd , ( gold nmbr ) , % ""-severity copd , ( gold nmbr ) , %-race , %"
611,characteristic_level,"duration copd , y-sex , male / female , %-smoking history , pack - years-severe severe-white-fevnmbr , pre - albuterol , l-fevnmbr / fvc , post - albuterol , %-baseline sgrq score-fevnmbr % predicted , post - albuterol , %-age , y-ics use , yes / , %-ex - smoker / smoker , %-moderate-asian-fevnmbr reversibility , pre - / post - albuterol , %-fevnmbr , post - albuterol , l-ex - smoker / smoker , % ""-black-other-use rescue albuterol , puffs / day *-days without albuterol use , * %"
612,other,"study nmbr ""-study nmbr"
613,arms,"placebo group ( n = nmbr ) ""-placebo group ( n = nmbr )-all patients ( n = nmbr )-indacaterol group ( n = nmbr )"
614,characteristic_name,"age , y-copd severity ( gold nmbr ) ""-bmi , kg / mnmbr-copd severity ( gold nmbr )-albuterol reversibility , %-smoking history-sex-use ics-waist - hip ratio"
615,characteristic_level,"nmbr / nmbr-nmbr / nmbr """
616,other,"study nmbr ""-study nmbr"
617,measures,"treatment difference , ml-treatment difference , ml ""-no . patients ( indacaterol / placebo )"
618,characteristic_name,"diabetes duration ( known ) , % patients ""-egfr using cg / mdrd formulae , % patients-gender , % patients-cv risk factors , % patients-framingham nmbr - year cv risk score-cv medication , % patients-diabetes duration ( known ) , % patients-race , % patients-previous oral glucose - lowering agents , % patients"
619,characteristic_level,"moderately impaired-antihypertensive-> nmbr years-ex - / current smoker-coronary artery disease-hbanmbrc , %-hypertension-nmbr-severely impaired-white-age , years-score > nmbr % , % patients-> nmbr-< nmbr years-hbanmbrc , mmol / mol-any above-cerebrovascular disease-acetyl - salicylic acid-asian-fpg , mmol / l-lipid - lowering therapy-black-none-peripheral artery disease-mildly impaired-male / female-> nmbr years ""-bmi , kg / mnmbr-normal-nmbr - nmbr years-score , %-metabolic syndrome *"
620,arms,"total comparators ( n = nmbr ) ""-total comparators ( n = nmbr )-linagliptin ( n = nmbr )"
621,characteristic_name,"use rescue medication-gender-framingham nmbr - year cv risk score-investigator - reported hypoglycaemia *-race-age ( years ) *-gender """
622,characteristic_level,"white-> nmbr %-< nmbr-female-male-asian-no-black-female ""-< nmbr %-yes-> nmbr"
624,characteristic_name,"age category >-duration tnmbrdm-bmi ( kg / mnmbr )-nmbr - h ppg ( mmol / l ) * ""-fpg ( mmol / l )-nmbr - h ppg ( mmol / l ) *-hbanmbrc ( % )-body weight-age ( years )-female , n ( % )"
625,arms,"vildagliptin nmbr mg qd n = nmbr-vildagliptin nmbr mg qd n = nmbr ""-vildagliptin nmbr mg bid n = nmbr-placebo n = nmbr"
626,characteristic_name,"duration metformin therapy ( months )-gender-hbanmbrc baseline , %-duration diabetes ( months )-bmi baseline ( kg / mnmbr )-hbanmbrc baseline , % ""-age ( years )"
627,characteristic_level,"< nmbr-female-male-> nmbr ""-> nmbr"
628,arms,"vildagliptin nmbr mg bid-vildagliptin nmbr mg qd ""-vildagliptin nmbr mg qd-placebo"
629,measures,"n-baseline-baseline ""-am < u + nmbrbnmbr > < u + nmbreb > . e .-ama < u + nmbreb > . e ."
630,arms,"placebo ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) ""-vorapaxar ( n = nmbr , nmbr )"
631,characteristic_name,"aspirin enrollment-age-region-diabetes-egfr ( mumin / nmbr . nmbr mnmbr )-history stroke-body weight-sex-current smoker-qualifying atherosclerosis-thienopyridine enrollment-region """
632,characteristic_level,"europe ii-australia / nz-men-> = nmbr-mi-pad-women-asia-north america-latin america-< nmbr-stroke-no-< nmbrkg-europe i-> = nmbrkg-yes-north america """
634,other,"nmbr . nmbr ""-nmbr . nmbr"
635,characteristic_name,"diabetes ""-aspirin enrollment-age-region-diabetes-history stroke-body weight-sex-current smoker-qualifying atherosclerosis-thienopyridine enrollment-estimated glomerular filtration"
636,characteristic_level,"> = nmbr-women-no ""-< nmbr-stroke-no-< nmbrkg-overall nmbr-yes"
638,measures,"hazard ratio ( nmbr % cl ) ""-hazard ratio ( nmbr % cl )"
639,characteristic_name,"inadequate response / intolerance prior therapy , % ""-inadequate response / intolerance prior therapy , %-extent disease , %"
640,characteristic_level,"mean disease duration , ( sd )-immunosuppressant use , % ""-anti - tnf agent ( )-mean age , ( sd )-prednisone use , %-mean weight , kg ( sd )-mean cdai score ( sd )-immunosuppressant use , %-corticosteroidsa-immunosuppressants-mean mayo score ( sd )-left - sided disease only-mean hscrp , mg / l ( sd )-sex , % female-oral aminosalicylates-extensive disease"
641,characteristic_level,"crohn ' disease-ulcerative colitis-ulcerative colitis """
642,characteristic_name,"severity copd , n ( % ) *-race , %-severity copd , n ( % ) * """
643,characteristic_level,"fevnmbr , litres ( post - salbutamol ) , mean ( sd )-ics use , yes / %-fevnmbr reversibilityz ( pre / post salbutamol ) , %-sex , men / women , %-duration copd ( years ) , mean ( sd )-severe severe-fevnmbr , litres ( post ipratropium ) , mean ( sd )-pack - years , mean ( sd )-moderatey-fevnmbr reversibilityz ( pre / post ipratropium ) , %-fevnmbr , litres ( pre salbutamol ) , mean ( sd )-age ( years ) , mean ( sd )-caucasian-ex - smoker / smoker , %-fevnmbr % predicted ( post salbutamol )-asian-black-fevnmbr / fvc ( post salbutamol )-moderatey ""-other-fevnmbr , litres ( pre ipratropium ) , mean ( sd )-native american"
644,other,"study nmbr ""-study nmbr"
645,arms,"tiotropium + placeb ( n[nmbr )-tiotropium + placebo ( n[nmbr )-tiotropium + placeb ( n[nmbr ) ""-indacaterol + tiotropium ( n[nmbr )"
