,descriptor,terms
389,characteristic_level,"nmbr / nmbr , nmbr ( nmbr . nmbr ) ""-nmbr / nmbr , nmbr ( nmbr . nmbr )-nmbr ( nmbr , nmbr )-nmbr / nmbr ( nmbr . nmbr )-nmbr , nmbr / nmbr , nmbr ( nmbr . nmbr )"
390,arms,"placebo ( n = nmbr , nmbr )-placebo ( n = nmbr , nmbr ) """
391,characteristic_name,"smoking status-smoking status "" ; na-sex"
392,characteristic_level,"male-total pack - yrs-reversibility %-current-former-patients n ""-patients n-baseline fevnmbr #-female-age yrs"
394,characteristic_name,"blood pressure-lipid profile-fatty acid profile-glucose metabolism-lipid profile ""-clinical history"
395,characteristic_level,"fpg ( mg / dl )-coronary artery disease ( % )-hdl - cholesterol ( mg / dl )-bmi > nmbr ( % )-average age ( year )-smoker ( % )-drinker ( % )-epa ( mol % )-ldl - cholesterol ( mg / dl )-male ( % )-systolic ( mmhg )-hdl - cholesterol ( mg / dl ) ""-hba , c ( % )-total cholesterol ( mg / dl )-diastolic ( mmhg )-hypertension ( % )-triglyceride ( median ; mg / dl ) - nmbr [nmbr - nmbr percentile |"
396,characteristic_level,"lgm ( n = nmbr ) ""-lgm ( n = nmbr )-ng ( n = nmbr , nmbr )"
397,arms,"epa ( n = nmbr ) ""-epa ( n = nmbr )-non - epa ( n = nmbr )"
398,outcomes,"lipid profile-fatty acid profile-blood pressure ""-glucose metabolism-blood pressure"
400,characteristic_level,"igm ( n = nmbr )-ng ( n = nmbr , nmbr )-igm ( n = nmbr ) """
401,arms,"epa ( n = nmbr ) ""-epa ( n = nmbr )-non - epa ( n = nmbr )"
402,characteristic_level,"igm ""-igm-ng"
404,characteristic_name,"atrial fibrillation onset-chadsnmbr score * ""-characteristics-chadsnmbr score *-atrial fibrillation pattern-race / ethnicity"
405,characteristic_level,"nmbr-congestive heart failure-other-persistent-history hypertension-nmbr year more-fraction ( % )-male-hawaiian / pacific islander-white-age nmbr years more-permanent-black / african - american-paroxysmal-hispanic / latin american-previous transient ischaemic attack / ischaemic stroke previous warfarin use-age ( years )-less nmbr year ""-left ventricular ejection-asian-no estimate-unknown-diabetes-less nmbr year"
406,arms,"control group ( n = nmbr ) ""-intervention group ( n = nmbr )-control group ( n = nmbr )"
407,characteristic_name,"serum creatinine , ^mol / l-age completion highest education , years ( sd )-macroalbuminuria , n ( % )-current smoker , n ( % )-history major microvascular disease , n ( % )-hbanmbrc , % ( sd )-history hypertension , n ( % )-current alcohol use , n ( % )-diastolic bp , mmhg ( sd )-uacr , mg / mmol ( interquartile range ) b-history major cardiovascular disease , n ( % )-myocardial infarction , n ( % )-past smoker , n ( % )-bmi ( kg / mnmbr )-duration diabetes ( years )-estimated gfr , < nmbr ml min - nmbr nmbr . nmbr - nmbr , n ( % ) a-age ( years )-systolic bp , mmhg ( sd )-major diabetic eye disease , n ( % )-serum creatinine , ^mol / l ""-estimated gfr , ml min - nmbr nmbr . nmbr - nmbr ( sd ) a-stroke , n ( % )-female , n ( % )-serum total cholesterol , mmol / l ( sd )"
409,characteristic_level,"< nmbr ( n = nmbr ) ""-nmbr - nmbr ( n = nmbr , nmbr )-< nmbr ( n = nmbr )"
410,outcomes,"- cause death-cardiovascular death-cardiovascular death ""-major cardiovascular events"
412,arms,"placebo-placebo ""-perindopril"
413,characteristic_name,"fevnmbr ( l )-fevnmbr ( l ) ""-smoking status-fevnmbr ( % predicted )"
414,characteristic_level,"male-smoking history ( pack - years )-duration copd ( years )-postbronchodilator-current smoker-age ( years )-prebronchodilator ""-prebronchodilator-sgrq total score * ( units )-body - mass index ( kg / mnmbr )"
415,characteristic_level,"gold stage iii-gold stage iv-gold stage ii ""-gold stage ii"
416,arms,"control ( n = nmbr )-tiotropium ( n = nmbr )-control ( n = nmbr ) """
417,outcomes,"mean number exacerbations ( per patient - year [nmbr % ci] )-one copd exacerbations ( n / n [ % ] )-median time first exacerbation ( months [nmbr % ci] )-mean number exacerbations ( per patient - year [nmbr % ci] ) """
418,characteristic_level,"gold stage iii ""-gold stage iii-gold stage iv-gold stage ii"
419,characteristic_name,"medical history-heart failure cause-ecg findings-lipid profile-laboratory examination-medical treatment "" ; na-medical treatment-physical examinations"
420,arms,"placebo ( n = nmbr )-placebo ( n = nmbr ) ""-rosuvastatin ( n = nmbr )"
422,arms,"fluvastatin ( n = nmbr )-placebo ( n = nmbr ) ""-placebo ( n = nmbr )"
423,characteristic_name,"baseline ldl cholesterol ""-cardiac risk-temporary discontinuation study drug-baseline ldl cholesterol-baseline high - sensitivity crp-baseline total cholesterol-type surgery"
424,characteristic_level,"no-all-high-yes-< nmbr yr-< nmbr . nmbr mmol / liter-> nmbr yr-low-> nmbr . nmbr mg / liter-open-< nmbr . nmbr mg / liter-< nmbr . nmbr mmol / liter ""-> nmbr . nmbr mmol / liter-endovascular-intermediate"
426,measures,". events / . patients-no . events / . patients """
427,arms,"amlodipine nmbrmg / v = nmbr-amlodipine / valsartan nmbr / nmbr mg / v = nmbr-amlodipine nmbrmg / v = nmbr """
428,characteristic_level,"age > = nmbr years-age < nmbr years ""-age < nmbr years"
429,characteristic_name,"ethnicity , . ( % )-tnmbr lesion volume , mmnmbr-prior ms treatment ifn - beta or-total gadolinium - enhancing lesion count , . ( % ) ""-edss score-total gadolinium - enhancing lesion count , . ( % )-disease duration , mean yr ( sd )-edss stratification , . ( % )-gender , . ( % )-brain volume , cmnmbr"
430,characteristic_level,"mean ( sd )-male-median-= nmbr ""-msfc timed nmbr - foot walk test , median seconds-other-= nmbr-ended > nmbr days trial entry-age , mean yr ( sd )-minimum - maximum-> nmbr-white-median ( min , max )-since diagnosis-since onset-no prior ms therapies-female-> nmbr . nmbr"
431,arms,"total , n = nmbr-total , n = nmbr ""-placebo , n = nmbr-rituximab , n = nmbr"
432,characteristic_name,"location infarction-location infarction "" ; na-cigarette smoker"
434,characteristic_name,"geographic location-time symptom onset randomization ( hrs )-time symptom onset balloon inflation ( hrs )-age ( yrs )-high risk-pci delay due low risk-enrollment lmwh-previous ml ""-baseline killip class-history diabetes mellitus-gender-time qualifying ecg balloon inflation ( hrs )-sites-previous ml-infarct location"
435,characteristic_level,"male-no-no / unknown-yes-= nmbr-hub-all subjects-north america-> nmbr-rest world-tertile nmbr-female-spoke-anterior-tertile nmbr index pci performed-no / unknown ""-< nmbr-not anterior"
436,measures,"% nmbr-i % nmbr ""-n .-n"
437,characteristic_name,"geographic location-time symptom onset randomization ( hrs )-time symptom onset balloon inflation ( hrs )-age ( yrs )-high risk-pci delay due low risk-index pci performed-enrollment lmwh-previous ml ""-history diabetes mellitus-gender-time qualifying ecg balloon inflation ( hrs )-sites-previous ml-infarct location"
438,characteristic_level,"male-no-no / unknown-yes-= nmbr-hub-all subjects-north america-> nmbr-rest world-< nmbr baseline killip class-female-spoke-anterior-tertile nmbr-no / unknown ""-< nmbr-not anterior"
439,measures,"nmbr % nmbr ""-n_-ni-nmbr % nmbr"
440,characteristic_name,"smoking status * ""-time treatment ( min ) t-smoking status *"
441,characteristic_level,"ex - smoker-weight ( kg )-hypertension-systolic blood pressure ( mm hg )-median ( iqr )-current smoker-time treatment initiation ( min ;-diabetes-never smoked ""-age ( years )-history stroke-atrial flutter / fibrillation-diastolic blood pressure ( mm hg )-men-previous use antiplatelet drugs-nmbr - nmbr-baseline nihss-never smoked"
442,arms,"alteplase ( n = nmbr )-placebo ( n = nmbr )-placebo ( n = nmbr ) """
443,characteristic_name,"time treatment initiation ( min )-arial flutter fibrillation-previous diabetes-previous diabetes ""-smoking history-nihss baseline-age ( years )-history stroke-previous chronic use antiplatelet drugs-hypertension-sex"
444,characteristic_level,"ex - smoker-male-no-yes-current smoker-> nmbr-female-no ""-non - smoker-itt population-nmbr - nmbr-< nmbr"
445,characteristic_level,"intention - - treat st - segment - elevation myocardial infarction ""-intention - - treat-intention - - treat st - segment - elevation myocardial infarction-intention - - treat without st - segment - elevation myocardial infarction"
446,arms,"clopidogrel ( n = nmbr )-clopidogrel ( n = nmbr ) ""-cangrelor ( n = nmbr )"
447,outcomes,"coronary eventsnmbr-all - cause mortality ""-primary endpointnmbr-all - cause mortality"
448,characteristic_level,"hs - crp jnmbr . nmbr mg / l ""-hs - crp mg / l-hs - crp jnmbr . nmbr mg / l-all cause mortality hosp . worsening hf hs - crp < nmbr . nmbr mg / l-hs - crp < nmbr . nmbr mg / l-all randomized-hs - crp < nmbr . nmbr nlg l-hs - crp jnmbr . nmbrmg / l-hs - crp _ = nmbr . nmbr mg / l"
450,characteristic_level,"hs - crp < nmbr . nmbr g / l ""-hs - crp < nmbr . nmbr mg / l-hs - crp > nmbr . nmbr mg / l-hs - crp < nmbr . nmbr g / l"
451,measures,"hospitalizations , n ""-hospitalizations , n-patients , n"
452,outcomes,"worsening heart failure-all - cause-noncardiovascular-noncardiovascular ""-cardiovascular"
454,characteristic_level,"hs - crp < nmbr . nmbr mg / l-hs - crp < nmbr . nmbr mg / l ""-hs - crp > nmbr . nmbr mg / l"
455,outcomes,"hdl cholesterol , mmol / l *-hs - crp , mg / l-triglycerides , mmol / lf ""-triglycerides , mmol / lf-ldl cholesterol , mmol / l *"
456,arms,"placebo-rosuvastatin-rosuvastatin """
457,measures,"p , net difference-baseline median ( iq range )-baseline median ( iq range ) ""-difference , % median-nmbr - month follow - median ( iq range )"
458,characteristic_level,"tnmbrdm-neither tnmbrdm mets-metabolic syndrome w / tnmbrdm-neither tnmbrdm mets """
459,arms,"anmbr ""-anmbr + eznmbr-anmbr"
460,characteristic_name,"non - hdl - c / hdl - c ""-triglycerides-apo b / apo - l-hs - crp-non - hdl - c / hdl - c-hdl - c-non - hdl - c-ldl - c-total cholesterol-ldl - c / hdl - c-apolipoprotein b^-apolipoprotein - *-total cholesterol / hdl - c"
461,characteristic_level,"treatment difference ( nmbr % ci )-treatment difference ( nmbr % cl )-treatment difference ( nmbr % ci ) """
462,characteristic_level,"mets w / tnmbrdm-tnmbrdm-neither tnmbrdm mets-mets w / tnmbrdm """
463,arms,"anmbr + eznmbr anmbr ( n = nmbr ) ( n = nmbr )-anmbr + ezio anmbr ( n = nmbr ) ( n = nmbr )-anmbr + eznmbr anmbr ( n = nmbr ) ( n = nmbr ) """
464,arms,"anmbr / nmbr ( n = nmbr ) ""-anmbr / nmbr ( n = nmbr )-anmbr + enmbr ( n = nmbr )"
465,characteristic_name,"antidiabetes drug usage [ % ( n ) ]-antidiabetes drug usage [ % ( n ) ] "" ; na"
466,characteristic_level,"age ( years ) [median ( nmbrth nmbrth percentile ) ]-a - glucosidase inhibitor-female sex ( % )-no antidiabetic drug-current smoker ( % )-meglitinide-weight ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ]-insulin-thiazolidinedione-monotherapy-bmi ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ] ""-sulfonylurea-hyperlipidemia ( % )-n-bmi ( kg / mnmbr ) [median ( nmbrth nmbrth percentile ) ]-dual therapy-biguanide ( metformin )-hypertension ( % )-three drugs"
467,arms,"placebo-ranolazine-ranolazine """
468,characteristic_level,"women-men-men """
469,outcomes,"cardiovascular death-myocardial infarction-primary endpoint-recurrent ischemia-myocardial infarction """
470,measures,"p nmbr interaction women vs men-hr ( nmbr % cl )-hr ( nmbr % cl ) """
472,characteristic_name,"fevnmbr ( % predicted )-fevnmbr ( l )-smoking status-fvc ( % predicted ) ""-fvc ( l )-( b ) concomitant respiratory medications [n ( % ) ]-fvc ( % predicted )-( ) demographics-gold stage [n ( % ) ]"
473,characteristic_level,"women ""-women-men"
474,arms,"tiotropium ( nznmbr )-control ( nznmbr )-control ( nznmbr ) """
475,outcomes,"fevnmbr post - bronchodilator-fvc post - bronchodilator-fevnmbr pre - bronchodilator-fvc pre - bronchodilator-fevnmbr post - bronchodilator """
476,characteristic_level,"women ""-women-men"
479,measures,"% pred-ml-n ""-n"
480,characteristic_name,"pm pef ( sd ) , l / min-albuterol use ( sd ) , puffs / day-fevnmbr percent predicted ( sd )-female ( % )-number subjects-albuterol use ( sd ) , puffs / day ""-symptom score ( sd )-asthma duration ( sd ) , years-mean age ( sd ) , years-am pef ( sd ) , l / min"
481,characteristic_name,"bmi category-bmi category """
482,characteristic_level,"nmbr-> nmbr-nmbr - nmbr . nmbr-nmbr - nmbr . nmbr """
483,characteristic_name,"age , yr , mean ( sd )-ics users , n ( % )-fevnmbr / fvc , % , mean ( sd ) nmbr-reversibility ( anticholinergic ) , % , mean ( sd ) $-age , yr , mean ( sd ) ""-reversibility ( bnmbr - agonist ) , % , mean ( sd ) nmbr-fevi , % predicted , mean ( sd ) nmbr-bmi , mean ( sd )-smoking history , pack - years , mean ( sd )-fevi , l , mean ( sd ) nmbr-male sex , n ( % )-n"
484,arms,"placebo-tiotropium-indacaterol nmbr mg-placebo """
485,characteristic_level,"male-female-female """
486,arms,"ami nmbr mg-aml / val nmbr / nmbr mg ""-aml / val nmbr / nmbr mg"
487,characteristic_level,"pad baseline-no pad baseline ""-no pad baseline"
488,arms,"control-epa-epa "" ; na"
490,characteristic_name,"cardiovascular disease ""-fasting lipid levels , mmol / l-diabetes-cardiovascular disease-race , n ( % )"
491,characteristic_level,"mean nmbr - year cvd risk * ""-asian-male , n ( % )-age , years-type nmbr , n ( % )-other-current cvd / diabetes , n ( % )-> nmbr years , n ( % )-caucasian-current smoker , n ( % )-hdl - c-ldl - c-mean nmbr - year cvd risk *-total cholesterol-high - risk cvd , n ( % )-black-triglycerides , median ( range )"
492,arms,"atorvastatin nmbr mg ( n = nmbr )-atorvastatin nmbr mg ( n = nmbr ) ""-ezetimibe / simvastatin nmbr / nmbr mg ( n = nmbr )-rosuvastatin nmbr - nmbr mg ( n = nmbr )"
493,characteristic_level,"nice primary prevention onlyb-nice secondary prevention onlyb-ldl - c < nmbr . nmbr mmol / l-nice primary prevention onlyb ""-jbs - nmbr primary prevention onlynmbr-baseline ldl - c nmbr . nmbr < nmbr . nmbr mmol / lc-baseline ldl - c > nmbr . nmbr < nmbr . nmbr mmol / lc-jbs - nmbr secondary prevention onlynmbr"
494,measures,"percentage patients reaching target ""-percentage patients reaching target"
495,arms,"exetimibe / simvastatin-rosuvastatin-atorvastatin ""-atorvastatin"
496,characteristic_name,"location crohn ' disease , %-medications baseline , n ( % )-medications baseline , n ( % ) """
497,characteristic_level,"mean cdai score-mean duration disease , years-ileocolon-resection performed , %-corticosteroids-corticosteroids immunosuppressants-male , %-no corticosteroids immunosuppressants-geometric mean crp concentration ( mg / l )-colon-mean ( . . ) age , years-penetrating disease , %-terminal ileum-upper gastrointestinal-no corticosteroids immunosuppressants ""-immunosuppressants"
498,arms,"infliximab - naive ( n = nmbr )-infliximab - experienced ( n = nmbr ) ""-infliximab - experienced ( n = nmbr )"
499,characteristic_level,"> nmbr . nmbr yrs-male-no-> nmbr min-yes-> nmbr . nmbr min-yes ""-female-nmbr . nmbr yrs-anterior-< nmbr min-nmbr - nmbr min-non - anterior-nmbr . nmbr min-nmbr min"
500,characteristic_name,"interval pain onset admission-history mi-diabetes ""-interval study drug pci-diabetes-sex-age-interval clopidogrel pci-infarct localization"
502,characteristic_name,"waist circumference-fasting blood glucose-elevated blood pressure-blood pressure-elevated tg-increased waist circumference-diastolic-elevated fasting glucose-changes ( ) metabolic syndrome parameters hdl cholesterol-low hdl cholesterol ""-low hdl cholesterol-systolic-prevalence metabolic syndrome criterion"
503,arms,"fenofibric acid-fenofibric acid + moderate - dose statin-moderate - dose statin-high - dose statin-fenofibric acid + low - dose statin-low - dose statin ""-low - dose statin"
504,characteristic_name,"screening visit ""-randomisation visit ( baseline )-screening visit"
505,characteristic_level,"short - acting bnmbr - agonists-fevnmbr ( l )-smoking history ( pack - years )-post - bronchodilator fevnmbr ( % predicted normal ) a-post - bronchodilator fevnmbr / fvc ( % ) a-fvc ( l ) proportion taking pulmonary medications ( % ) b-time since copd diagnosis ( yrs )-fevnmbr ( % predicted normal )-pre - bronchodilator fevnmbr ( l )-oral corticosteroids-current smoker : ex - smoker ( % )-pre - bronchodilator fvc ( l )-mucolytics-reversibility fevnmbr ( % )-pre - bronchodilator fevnmbr ( % predicted normal )-post - bronchodilator fevnmbr ( l ) a-long - acting bnmbr - agonists-supplementary oxygen-age ( years )-inhaled corticosteroids-any medication-xanthines-men : women ( % )-pre - bronchodilator fvc ( l ) ""-post - bronchodilator fvc ( l ) a-short - acting anticholinergics-pre - bronchodilator fevnmbr / fvc ( % )"
506,characteristic_name,"short - acting bnmbr - agonists-fevnmbr ( l )-smoking history ( pack - years )-fvc ( l )-post - bronchodilator fevnmbr ( % predicted normal ) a-post - bronchodilator fevnmbr / fvc ( % ) a-time since copd diagnosis ( yrs )-fevnmbr ( % predicted normal )-short - acting anticholinergics ""-pre - bronchodilator fevnmbr ( l )-oral corticosteroids-current smoker : ex - smoker ( % )-pre - bronchodilator fvc ( l )-mucolytics-reversibility fevnmbr ( % )-pre - bronchodilator fevnmbr ( % predicted normal )-post - bronchodilator fevnmbr ( l ) a-long - acting bnmbr - agonists-supplementary oxygen-age ( years )-inhaled corticosteroids-any medication-xanthines-men : women ( % )-tiotropiumc-post - bronchodilator fvc ( l ) a-short - acting anticholinergics-pre - bronchodilator fevnmbr / fvc ( % )"
507,characteristic_level,"laba non - users-laba non - users ""-laba users"
508,characteristic_name,"risk factors immobility level , n ( % )-race ethnicity , n ( % )-region enrollment , n ( % ) +-previous medications , n ( % )-race ethnicity , n ( % ) ""-primary enrollment diagnoses , n ( % )"
509,measures,"preamendment-postamendment-total population-preamendment """
510,arms,"placebo ( n = nmbr )-placebo ( n = nmbr ) ""-extended - duration enoxaparin ( n = nmbr )"
511,outcomes,"vte day nmbr +-major bleeding events *-vte day nmbr + """
512,characteristic_name,"age > nmbr y-age < nmbr ""-age < nmbr"
513,characteristic_level,"women-men-level nmbr-level nmbr """
515,characteristic_name,"previous copd treatment , n ( % ) *-previous copd treatment , n ( % ) * ""-geographical region , n ( % )"
516,characteristic_level,"nmbr-usa-other-postbronchodilator fevnmbr , % predicted-asia pacific-current smoker , n ( % )-nmbre < nmbr % , n ( % )-ics + laba-$ nmbr % , n ( % )-< nmbr % , n ( % )-eastern europe-age enrolment , years-male gender , n ( % )-body mass index , kg / mnmbr-laba alone-$ nmbr-baseline cv treatment , n ( % ) y-neither ics laba-nmbr ""-western europe-ics alone-baseline short - acting anticholinergics , n ( % )-previous mi , n ( % )-pack - years smoked"
517,arms,"placebo ( n[nmbr )-salmeterol ( n [nmbr )-sfc ( n [nmbr )-sfc ( n [nmbr ) ""-fp ( n [nmbr )"
518,characteristic_name,"smoking status-baseline short - acting anticholinergics-baseline fevnmbr-prior mi-age-baseline cv treatment-sex ""-sex"
519,characteristic_level,"male-no-yes-current-$ nmbr-$ nmbr %-nmbre < nmbr %-former-nmbrenmbr-female-< nmbr %-female ""-< nmbr"
521,characteristic_name,"nyha class-demographic characteristics-demographic characteristics ""-medical history duration heart failure ( years ) primary cause heart failure"
522,characteristic_level,"sex ( male ) ethnic origin-other-diuretic drugs ( excluding antialdosterone )-heart rate ( bpm )-class iv-ace inhibitor-arb-non - ischaemic-egfr ( ml / min per nmbr - nmbr mnmbr ) ""-class ii-white-cardiac glycosides-class iii-lvef ( % )-dbp ( mmhg )-sbp ( mm hg )-icd-egfr ( ml / min per nmbr - nmbr mnmbr )-age ( years )-antialdosterone agents-ischaemic-history atrial fibrillation flutter treatment randomisation-asian-bmi ( kg / mnmbr ) cardiac parameters-myocardial infarction-devices-diabetes-crt-p blocker-current smoking-previous stroke-hypertension"
523,arms,"ivabradine group ( n = nmbr )-placebo group ( n = nmbr ) ""-placebo group ( n = nmbr )"
524,characteristic_name,"cause heart failure-baseline heart rate-diabetes-age-nyha class-cause heart failure ""-p blockers-hypertension-sex"
525,characteristic_level,"history diabetes ( n = nmbr )-no history diabetes ( n = nmbr )-non - ischaemic ( n = nmbronmbr ) ""-age < nmbr years ( n = nmbr )-ischaemic ( n = nmbrlnmbr )-= nmbr bpm ( n = nmbr )-female ( n = nmbr )-nyha class ii ( n = nmbrlnmbr )-> = nmbr years ( n = nmbr )-no p - blocker intake randomisation ( n = nmbr )-nyha class iii iv ( n = nmbr )-history hypertension ( n = nmbr )-< nmbr bpm ( n = nmbr )-p - blocker intake randomisation ( n = nmbro )-no history hypertension ( n = nmbr )-non - ischaemic ( n = nmbronmbr )-male ( n - nmbr )"
527,characteristic_name,"demographics-laboratory measurements-medical history , n ( % )-medication , n ( % ) ""-medication , n ( % )"
530,characteristic_name,"medical history ( % )-demographic characteristics-measurements-medications day nmbr-treatment admission-blood pressure ( mm hg )-medical history ( % ) ""-medications discharge day nmbr , earlier ( % )-treatment admission ( % )"
532,characteristic_name,"medical history , n ( % )-age , y-ethnicity , n ( % )-race , n ( % )-medical history , n ( % ) """
533,arms,"fenofibric acid nmbr = nmbr-fenofibric acid nmbr = nmbr ""-rosuvastatin n = nmbr-rosuvastain + fenofibric acid nmbr = nmbr"
534,outcomes,"tg-ldl - c-hdl - c "" ; na-hdl - c"
535,measures,"% ( se )-final mean , mg / dl ""-final mean , mg / dl-mean change ,-baseline mean , mg / dl"
536,arms,"treatment group ""-treatment group"
537,arms,"acid-fenofibric acid ""-fenofibric acid"
538,characteristic_level,"non - diabetic ""-diabeticb-non - diabetic"
539,other,"study end concentration ""-study end concentration"
540,characteristic_name,"hdlnmbr - c-hdlnmbr - c ""-ldu - c-ldl , - c-non - hdl - c *-apo b *-total ldl - c *-triglyceride-ldlnmbr - c"
541,characteristic_level,"baseline triglycerides < nmbr mg / dl-overall population ""-baseline trig > nmbr millycerides g / dl-overall population"
542,arms,"anmbr n = nmbr-anmbr n = nmbr ""-anmbr + ez n = nmbr-anmbr + ez n = nmbr anmbr n = nmbr"
543,other,"continued treatment study ""-continued treatment study-acute dvt study"
544,arms,"rivaroxaban ( n = nmbr )-placebo ( n = nmbr )-placebo ( n = nmbr ) ""-standard therapyy ( n = nmbr )"
545,characteristic_name,"miami k antagonist received-wegu ""-modmy al randcnxzaton-cardiac disease-redon-wegu-kheeatne index dvt-age-rarertd antocagibtcn andorrtzafon-pre ' rtous eptscde ( } dvt / pe-locafon index dvt-mafcaiancy randorrtzaton-known ' rc - iitoji cccndilon-renal fmclicn : creatntoe clearance-intended durat - sm antccagubficn-sex"
546,arms,"riva roxa ban n / n { % ) nmbr ( nmbr . nmbr ) ""-enoxaparin / vka n / n ( % ) nmbr / nmbr ( nmbr . nmbr )-riva roxa ban n / n { % ) nmbr ( nmbr . nmbr )"
547,characteristic_name,"parenteral anticoagulalion randomization-malignancy randomization-renal function : creatinine clearance-intended duration anticoagulation-race ""-age-weight-race"
548,arms,"enoxaparin / vka-enoxaparin / vka ""-rivaroxaban"
549,measures,"n / n nmbr / nmbr-( % ) ( nmbr . nmbr )-( % ) ( nmbr - nmbr ) ""-( % ) ( nmbr - nmbr )"
550,characteristic_name,"race , n ( % ) ""-body weight ( kg ) , n ( % )-age ( years )-race , n ( % )-mean lipid values , mg / dl-dm medication , n ( % ) c-sex , n ( % )-comorbidities , n ( % )"
551,arms,"fa nmbr mg-r nmbr mg + fa-r nmbr mg-r nmbr mg + fa """
552,characteristic_name,"concomitant medication , n ( % ) "" ; na-disease location ( % ) *-concomitant medication , n ( % )"
553,characteristic_level,"corticosteroid ( without imm )-crp , mg / l : median ( range )-mayo score , mean ( sd )-extensive colitisy-stool frequency subscore-male ( % )-male ( % ) ""-otherx-no corticosteroid , imm-corticosteroid + imm-imm ( without corticosteroid )-rectal bleeding subscore {-weight , kg : mean ( sd )-endoscopy subscore-aminosalicylates * *-pga subscore-left - sided colitisz-age , years : median ( range )-disease duration , years : median ( range )"
554,arms,"placebo ( n[nmbr )-ada nmbr / nmbr ( n[nmbr )-ada nmbr / nmbr ( n[nmbr ) """
556,arms,"placebo n[nmbr-ada nmbr / nmbr n[nmbr ""-ada nmbr / nmbr n[nmbr"
557,characteristic_name,"age , years-asian-fevnmbr , % predicteda-male / female , %-other-body mass index , kg / mnmbr-age > nmbr , %-ex - smoker / smoker , %-fevnmbr , la-caucasian-history current cardiac disorders , %-ics use yes / , %-treatment duration , days-patients treated > nmbr weeks ( % )-ex - smoker / smoker , % ""-black-n"
558,arms,"tiotropium nmbr gg qd-indacaterol nmbr gg qd-formoterol nmbr gg bid ""-placebo-formoterol nmbr gg bid-salmeterol nmbr gg bid"
559,characteristic_name,"hbanmbrc category , n ( % )-age category ( years ) , n ( % )-hbanmbrc category , n ( % ) ""-duration tnmbrdm ( years )-race , n ( % )-gender , n ( % )-renal impairment , n ( % )"
560,characteristic_level,"body mass index ( kg / mnmbr ) ,-oral blood glucose - lowering drug nmbr ( nmbr . nmbr )-< nmbr . nmbr %-> nmbr-a - glucosidase inhibitor-hbanmbrc ( % )-sulphonylurea-diabetes therapy , n ( % ) ""-> nmbr . nmbrto < nmbr . nmbr %-women-age ( years ) , mean ( . . )-white-moderate-insulin-thiazolidinedione-glinide-weight ( kg ) , mean ( . . )-diabetes therapy , n ( % )-mean ( . . )-oral blood glucose - lowering-> nmbr , n ( % )-fpg ( mmol / l )-esrd-< nmbr-severe-men-> nmbr . nmbr %-crcb - ( ml / min ) , mean ( . e . )"
561,arms,"pbo ( n = nmbr ) ""-pbo ( n = nmbr )-saxa nmbr . nmbr mg ( n = nmbr )"
562,characteristic_level,"moderate renal impairment-difference vs . pbof mean ( . e . ) t-adjusted change baseline mean ( . e . ) ""-esrd-adjusted change baseline mean ( . e . )-severe renal impairment-week nmbr hbanmbrc , mean ( . e . )-baseline hbanmbrc , mean ( . e . )"
563,arms,"pbo-saxa nmbr . nmbr mg ""-saxa nmbr . nmbr mg"
564,measures,"n = nmbr ""-n = nmbr"
565,characteristic_level,"moderate renal impairment-pbo ( n = nmbr )-severe renal impairment-esrd saxa nmbr . nmbr mg ( n = nmbr )-severe renal impairment """
566,arms,"pbo ( n = nmbr )-saxa nmbr . nmbr mg ( n = nmbr )-saxa nmbr . nmbr mg ( n = nmbr ) """
567,characteristic_name,"treated vessel-antithrombotic therapy ""-clinical presentation-medical therapy-antithrombotic therapy"
568,characteristic_level,"right coronary-left anterior descending-multivessel pci-saphenous vein graft-unfractionated heparin-/ nmbr - blockers-bivalirudin-ace inhibitors / sartans-glycoprotein llb / llla inhibitors-enoxaparin ""-chronic stable angina-left main-left circumflex-lesions bnmbr / c-acs-multivessel disease-enoxaparin"
569,arms,"high - dose statin pretreatment ( n = nmbr )-controls ( n = nmbr ) ""-controls ( n = nmbr )"
570,arms,"bosentan ( n = nmbr )-placebo ( n - nmbr ) ""-placebo ( n - nmbr )"
571,characteristic_name,"age , years-smoking history-baseline fvc , l-baseline fvc , l ""-location"
573,characteristic_name,"baseline low - density lipoprotein cholesterol ( mg / dl )-race-baseline low - density lipoprotein cholesterol ( mg / dl ) ""-risk group"
574,characteristic_level,"black african american-asian-nmbr - nmbr-nmbr - < nmbr-women-> nmbr-white-high risk atherosclerotic vascular disease *-age ( years )-american indian alaska-body mass index ( kg / nr )-> nmbr ""-men-moderately high risk without atherosclerotic vascular disease *-high risk without atherosclerotic vascular disease +-multiracial-< nmbr"
575,other,"stratum ii-stratum i-stratum ii """
576,arms,"rnmbr + ezio ( n = nmbr )-rnmbr ( n = nmbr ) ""-rnmbr ( n = nmbr )"
577,characteristic_name,"geographical region ( % )-geographical region ( % ) "" ; na"
578,characteristic_level,"post - bronchodilator fevnmbr ( l ) *-post - bronchodilator fevnmbr ( % predicted * )-bmi ( kg / mnmbr )-asia - pacific-usa-western europe-other-current smoker ( % )-pre - bronchodilator fevnmbr / fvc ratio *-reversibility ( % predicted fevnmbr ) *-baseline sgrq total score-age enrollment ( years )-male gender ( % ) ""-male gender ( % )-eastern europe-pack - years smoked"
