descriptor,terms
measures, n mean sd inter
measures, 64 n63 n 176 n 181 n173
measures, n 81 n 83
measures, 1200 mg n 201 2400 mg n 196
measures, baseline ontreatment
measures, db baseline week 0 pt baseline week 52
measures, n17717 n6830 n6753 n6492 n3286 n3206 n4037 n2030 n2007 n3054
measures, change 95 cl baseline six weeks
measures, n py
measures, n py
outcomes, total death death large mi large mi tvr
outcomes, hba1c fpg mg dl
outcomes, primary outcome death cause nonfatal ml nonfatal stroke cardiovascular death cardiovascular hospitalization
outcomes, total cataract total cataract extraction
outcomes, total major cv event stroke ischemic stroke myocardial infarction
outcomes, ml c itherchdt vasculars noneh
outcomes, tc tg+ hdlc nonhdlc apo b apo ai
outcomes, clinical ae n laboratory ae n
outcomes, ldlc mmol l mean tg mmol l median hdlc mmol l mean nonhdlc mmol l mean total c mmol l mean apo b apo al ratio mean hscrp mg l median key tc triglyceride hscrp ldlc lowdensity lipoprotein fc fasting glucose ncep atp category include ar _ 3 indicated char leastsquare means except tc note treatment subgroup
outcomes, death myocardial infarction death myocardial infarction targetvessel revascularization mace major bleeding hemorrhagic stroke minor bleeding blood transfusion profound thrombocytopenia 20x109 l moderate thrombocytopenia 50x109 l mild thrombocytopenia 100x 109 l
outcomes, esrd esrd death
outcomes, chd+ cerebrovascular disease men 71 1248 129 stroke total mortality
outcomes, chd+cerebral infarction stroke total mortality
outcomes, esrd death doubling serum creatinine esrd death
outcomes, number patients fractures fractures site specified lower limb fractures hip fracture others ankle fracture femur fracture fibula fracture foot fracture lower limb fracture patella fracture tibia fracture skull facial bone fractures spinal fractures thoracic cage fractures upper limb fractures clavicle fracture hand fracture humerus fracture radius fracture upper limb fracture wrist fracture
outcomes, number patients fractures fractures site specified lower limb fractures hip fracture others ankle fracture femur fracture fibula fracture foot fracture lower limb fracture patella fracture tibia fracture pelvic fractures skull facial bone fractures spinal fractures thoracic cage fractures upper limb fractures clavicle fracture forearm fracture hand fracture humerus fracture radius fracture upper limb fracture wrist fracture
outcomes, primary outcome allcause mortality nonfatal ml nonfatal stroke
outcomes, primary outcome death nontatal ml nonfatal stroke fatal nonfatal ml fatal nonfatal stroke cv death
outcomes, lipid profile fatty acid profile glucose metabolism blood pressure
outcomes, major cardiovascular events allcause death cardiovascular death
outcomes, one copd exacerbations n n median time first exacerbation months 95 ci mean number exacerbations per patientyear 95 ci
outcomes, primary endpoint4 allcause mortality coronary events5
outcomes, allcause cardiovascular worsening heart failure noncardiovascular
outcomes, ldl cholesterol mmol l hdl cholesterol mmol l triglycerides mmol lf hscrp mg l
outcomes, primary endpoint cardiovascular death myocardial infarction recurrent ischemia
outcomes, fev1 prebronchodilator fev1 postbronchodilator fvc prebronchodilator fvc postbronchodilator
outcomes, vte day 28+ major bleeding events
outcomes, hdlc tg ldlc
outcomes, major cvd stroke ischemic stroke hemorrhagic stroke tia myocardial infarction coronary revascularization cvd death
outcomes, cv death ml ischemic stroke
outcomes, total cholesterol mg dl ldl cholesterol mg dl hdl cholesterol mg dl total cholesterohhdl cholesterol ratio ldl cholesterohhdl cholesterol ratio triglycerides mg dl apo b mg dl apo ai mg dl apo bapo ai ratio
outcomes, disease duration b 2 years n 93 disease duration 2 b5 years n148 disease duration 5 years n 536
outcomes, sedbp sesbp
outcomes, 10year framingham chd risk total cholesterol lowdensity lipoprotein cholesterol diastolic blood pressure mm hg systolic blood pressure mm hg
outcomes, total c ldlc triglyceride nonhdlc apob tc hdlc
outcomes, teaes drugrelated teaes discontinuations teaes teaes 5 treatment group headache bronchitis edema peripheral muscle spasms hvookalemia
outcomes, crp il6 fibrinogen
outcomes, total asthma symptom score albuterol use aqlq score change baseline predicted fev1
outcomes, mean sd change prebronchodilator fev1 l
outcomes, renal events cvd events composite events
outcomes, hba1c fpg mg dl weight kg
outcomes, minimental state examination insulin glargine vs standard care b digit symbol substitution insulin glargine vs standard care
outcomes, minimental state examination omega3 fatty acids vs placebo b digit symbol substitution omega3 fatty acids vs placebo
outcomes, ischemic stroke ischemic stroke hemnrrhnaic cnnversinn ischemic stroke without hemorrhagic conversior stroke
outcomes, major cardiovascular event colorectal cancer noncolorectal cancer major gastrointestinal bleeding total total adjusted weight 05 gastrointestinal bleeding total adjusted weight 025 gastrointestinal bleeding total adjusted weight 01 gastrointestinal bleeding
outcomes, cv death mi ischemic stroke cv death mi ischemic stroke hospitalization hf coronary revascularization ua cv death mi ischemic stroke hospitalization hf
outcomes, cv death ml ischemic stroke cv death ml ischemic stroke hosp hf cor revasc ua cv death ml ischemic stroke hosp hf primary renal endpoint primary renal endpoint death initiation insulin new antihyperglycemic rx
outcomes, fevi auc03l trough fevi l
outcomes, cvd mi stroke cv death mi stroke death cvd mi cvd mi stroke recurrent ischemiaurgent revascularization cvd mi stroke recurrent ischemia urgent revascularization hospitalization unstable angina recurrent ischemia urgent revascularization hospitalization unstable angina coronary revascularization
outcomes, recurrent vte statin use vs nonuse
outcomes, major bleeding statin use vs nonuse
outcomes, primary secondary mi cv mortality noncv mortality allcause mortality nonfatal ischemic stroke coronary revascularization heart failure hypoglycemia unstable angina initiation dialysis renal transplantation creatinine 60 mg dl 530 mmol l end point
outcomes, primary ep cvd mi ri cv death ml recurrent ischemia rec ischemia requiring revasc rec ischemia leading hasp rec ischemia due ecg changes rec ischemia due worsening angina
outcomes, hdlcy ldlcz ldlc hdlcx nonhdlc triglycerides
outcomes, acr20 response acr50 response acr70 response pasi75 response pasi90 response
outcomes, acr response mean change radiographic end points
outcomes, cv death mi ischemic stroke death cv death mi ischemic stroke stent thrombosis timi major bleeding timi major minor bleeding
outcomes, cdai 10t cdai 28 sdai 11 sdai 33 das284 esr 32t das284 esr 26 haqdi improvement 022 haqdi improvement 05
outcomes, cv death mi stroke cv death mi stroke ucr cv death ml stroke ischemic stroke ucr
outcomes, fracture followup p value
outcomes, primary endpoint death mi idr st death ml ischemia driven revascularization stent thrombosis
outcomes, death nonfatal stroke nonfatal myocardial infarction hospitalization acs arterial revascularization hospitalization heart failure first mace hyperkalemia 55 meq l elevated creatinine 177 pmol l elevated bun 143 meq l
outcomes, cv death hf hospitalization n cv death n hf hospitalization n allcause death n
outcomes, first coprimary outcome second coprimary outcome cardiovascular death
outcomes, primary outcomes secondary outcomes
outcomes, primary outcomes secondary outcomes
outcomes, efficacy primary end point death mi idr st key secondary end point st mi qwave mi idr death cause death cardiovascular causes death qwave mi idr death st safety noncabgrelated bleeding gustodefined bleeding primary safety end point severe lifethreatening moderate severe moderate mild timidefined bleeding major minor acuitydefined bleeding blood transfusion efficacy safety net adverse clinical events death mi idr st gustodefined moderate severe bleeding
outcomes, hf hospitalization cardiovascular death hf hospitalization cardiovascular death allcause mortality significant worsening kccq clinical score 5 8 months3
outcomes, elevated serum potassium 60 mmol l drug discontinuation due death dose reduction average daily dose target
outcomes, hba1c fpg mg dl 2h pmg mg dl
outcomes, mi macce gusto moderate severe bleeding
outcomes, parameter hbalc tx difference vs pbo median change baseline se 1 fpg tx difference vs pbo median change baseline se 1 insulin tx difference vs pbo median change baseline se 1 cpeptide tx difference vs pbo median change baseline se 1 homa_b tx difference vs pbo median change baseline se 1 homajr tx difference vs pbo median change baseline se 1 lipid parameters lowdensity lipoprotein cholesterol tx difference vs pbo ls mean change baseline se lipoprotein tx difference vs pbo ls mean change baseline se triglycerides tx difference vs pbo ls mean change baseline se highdensity lipoprotein cholesterol tx difference vs pbo ls mean change baseline se apolipoprotein b tx difference vs pbo ls mean change baseline se
outcomes, mi idr st st death ml qmi idr
outcomes, diseaseprogression composite outcome allcause mortality absolute fvc decrease 10 6mwd decrease 50 allcause ipfrelated absolute decrease 10 relative decrease 10 absolute decrease 5 relative decrease 5 death absolute fvc decrease 10 death 6mwd decrease 50 respiratoryrelated
outcomes, 4point mace 3point mace cv death hospitalization unstable angina myocardial infarction stroke allcause death hospitalization heart failure
outcomes, hyperkalemiab severe hyperkalemiac
outcomes, total patients n aes n tachyarrhythmias n supraventricular tachyarrhythmias incl atrial ventricular tachyarrhythmias ischaemic heart disease n myocardial infarction ischaemic heart disease noninfarction cardiac failure n cerebrovascular disorders n haemorrhagic ischaemic hypertension n
outcomes, hba1c fpg mmol l
outcomes, allcause mortality cv mortality non cv mortality allcause hospitalization
outcomes, t2dm duration years hba1c fpg mmol l 2h ppg mmol l daily iglar dose week 30 u
outcomes, death mi idr st death mi idr st st arc definite ipst gusto moderate severe gusto severe gusto moderate timi major minor timi major timi minor acuity major death mi idr st gusto severe bleeding death mi idr st gusto moderate severe bleeding death mi idr st timi bleeding
outcomes, prebronchodilation fev1 postbronchodilation fev1 prebronchodilation fvc postbronchodilation fvc
outcomes, hba1c weight kg serum uric acid mg dl systolic blood pressure mmhg hemoglobin g dl ldlcholesterol mg dl hdlcholesterol mg dl
outcomes, baseline week 24 change baseline mean se
outcomes, diabetes diabetes
outcomes, stroke etiology ischemic stroke hemorrhagic stroke primary trial end point ml coronary revascularization urgent coronary revascularization unstable angina cv death coronary heart disease death allcause mortality cv death ml stroke
outcomes, ibdq total score week 52 mean se
outcomes, body weight body weight kg waist circumference cm hba1c fpg mmol l sbp mm hg dbp mm hg iwqollite total score arbitrary units # iwqollite physical score arbitrary units
outcomes, body weight body weight kg waist circumference cm hba1c fpg mmol l sbp mm hg dbp mm hg iwqollite total score arbitrary units # iwqollite physical score arbitrary units
outcomes, permanently stopped study drug adverse events alt ast 3x uln gallbladderrelated aes rhabdomyolysis rhabdomyolysis myopathy rhabdomyolysis myopathy myalgia ck elevation 5x uln cancer
outcomes, alt ast 3x uln gallbladderrelated aes rhabdomyolysis myopathy rhabdomyolysis myopathy myalgia ck elevation 5x uln cancer
outcomes, alanine aminotransferase aspartate aminotransferase 3x upper limit normal n432 cholecystectomy n267 gall bladder adverse event n603 rhabdomyolysis n31 hemorrhagic stroke n102 cancer n1480
outcomes, cv death + hf hospitalization hf hospitalization recurrent hf hospitalization cv death allcause hospitalization allcause death
outcomes, clinical ae drug related ae serious ae discontinuations due ae myopathyt deaths alt ast 3 times uln consecutive# cpk 10 times uln
outcomes, yes n 481 n 16 011
outcomes, major cardiovascular cardiovascular cause mortality major coronary major cerebrovascular nephropathy cancer
baseline_level_1, age yr male sex weight kg diabetes hypertension smoker coronaryartery bypass grafting percutaneous coronary revascularization myocardial infarction cerebrovascular accident l eft anterior descending coronary artery r ight coronar artery left circumflex artery bypass graft restenotic vessel
baseline_level_1, history hypertension c history diabetes smoking alcohol intake exercise least weekly postmenopausal use hormone replacement therapy randomized active yitamin e age years body mass index kg m2
baseline_level_1, age years women n diabetes n smoking habit n hypercholesterolemia n systemic arterial hypertension n previous myocardial infarction n previous balloon angioplasty n previous bypass surgery n unstable angina n platelet count x 103 mm3
baseline_level_1, women men age yr disease duration yr mmse points adascog score serum ldl cholesterol csf 340 pm csf 342 pm csf lathosterol jlg cll csf cholesterol csf 24shydroxy mers disease assessment density lipoprotein csf
baseline_level_1, medication use blood pressure mean sd mm hg lipids mean sd mg dlt
baseline_level_1, age yr female sex race ethnic group bodymass index history diabetes 2 previous venous thromboembolisms family history venous thromboembolism factor v leiden prothrombin mutation duration fulldose warfarin therapy enrollment mo time cessation fulldose warfarin therapy enrollment mo
baseline_level_1, race
baseline_level_1, medical characteristics characteristics index ml ejection fraction category treatment index ml current prescribed medications psychosocial risk factors
baseline_level_1, age mean sd race ethnicity white bmi mean sd kg m2 myocardial infarction abnormal angiogram prior ml abnormal angiogram angina pectoris cabg 1 month ago pci 1 month ago cabg pci stroke left ventricular hypertrophy unstable angina 1 mo ago arrhythmia heart failure class llll peripheral vascular disease diabetesf hypercholesterolemiat renal impairmentt aspirin antiplatelet agent nsaids antidiabetic medication lipidlowering agent potassium supplement hormone replacement
baseline_level_1, age yr women bodymass index arterial hypertension type 2 diabetes current smoker hypercholesterolemia prior myocardial infarction prior aortocoronary bypass surgery angina class iii iv multivessel disease left ventricular ejection fraction duration clopidogrel pretreatment hr median 25th75th percentiles drug therapy admission aspirin ace inhibitors betablockers calciumchannel antagonists nitrates statins
baseline_level_1, patients ft asian black white hispanic clinical parameters age yr male gender body mass index kg m2 systolic bp mmhg diastolic bp mmhg mean bp mmhg oral antidiabetic drugs insulin smoking laboratory parameters hbalc total cholesterol mg dl hdl cholesterol mg dl triglycerides mg dl potassium meq l uric acid mg dl creatinine clearance ml min per 173 m2 mean sd range median albumin creatinine ratio g mg
baseline_level_1, mean age yrs medical history health habits
baseline_level_1, sex pace 36 baseline lipid lipoprotem values
baseline_level_1, age yr female sex nonwhite race ejection fraction diabetes pulmonary disease hypercholesterolemia hypertension atrial fibrillation flutter syncope electrophysiological study weight ibj systolic blood pressure mm hg diastolic blood pressure mm hg heart rate beats min serum sodium meq liter serum creatinine mg dl medication use
baseline_level_1, smoking status bodymass index menopausal status use hrt hypertension blood pressure hyperlipidemia diabetes parental history myocardial infarction 60 yr age 10yr risk coronary heart disease risk factors
baseline_level_1, age yr male sex white race f weight kg hypertension hyperlipidemia current smoker diabetes mellitus prior myocardial infarction prior percutaneous coronary intervention anterior myocardial infarction tenecteplase reteplase alteplase streptokinase none initial aspirin unfractionated heparin lowmolecularweight heparin neither median interquartile range angiography betablockers statins ace inhibitors angiotensinreceptor blockers openlabel clopidogrel completion study drug ticlopidine completion study drug
baseline_level_1, age years weight kg bmi kg m2 men diabetes metabolic syndrome b ldlc mmol l tc mmol l hdlc mmol l tg mmol l c nonhdlc mmol l apo b g l apo al g l hscrp mg l c fibrinogen pmol l c
baseline_level_1, age years race patient history disease atorvastatin dose baseline lipids mean sd mmol 1
baseline_level_1, age bmi smoking status alcohol use drinks wk physical activity kcal wk menopausal status use ht family history cancerf randomized receive vitamin e randomized receive beta carotene
baseline_level_1, age years race n patient history disease n concomitant therapies n baseline lipids mean sd mmol l
baseline_level_1, race ara functional class global assessment disease status score womac score health assessment questionnaire score sf36 score
baseline_level_1, age mean sd women arterial hypertension diabetes insulintreated diabetes current smoking hypercholesterolemia prior myocardial infarction prior aortocoronary bypass surgery body mass index mean sd elevated troponin 003 pg l elevated creatine kinase mb 24 u l hours clopidogrel loading mean sd multivessel disease left ventricular ejection fraction mean sd left circumflex artery complex lesions lesion length mean sd mm vessel size mean sd mm diameter stenosis mean sd baremetal stent statins pblockers ace inhibitors nitrates calcium antagonists
baseline_level_1, gender smoking age years bmi kg m2 weight kg dbp mmhg sbp mmhg hba1c hemoglobin gm dl serum creatinine mg dl cholesterol mg dl albuminuria g g proteinuria3 g day
baseline_level_1, gender n age years mean range race n diagnoses risk factors n bmi kg m2 lipid lipoprotein values mg dl hs crp mg l
baseline_level_1, randomisation scheme demographics qualifying event time longest event randomisation rankin grade additional investigations history blood pressure mm hg type vessel involved antithrombotic drug use time event dose aspirin
baseline_level_1, age years female previous myocardial infarction pci cabg previous stroke ortransient ischaemic attack peripheralartery disease current smokers diabetes hypertension serum cholesterol mg l systolic blood pressure mm hg diastolic blood pressure mm hg medications antiplatelet agents p blockers lipidlowering agents diuretics calciumchannel blockers
baseline_level_1, demographics age years women bodymass index kg m2 systolic blood pressure mm hg diastolic blood pressure mm hg hypertension diabetes current past smoker men lipid concentrations total cholesterol mmol l triglyceride mmol l hdl cholesterol mmol l ldl cholesterol mmol l lipoprotein mmol l medications antihypertensive drugs calciumchannel blockers ace inhibitors arb p blockers diuretics aspirin
baseline_level_1, race n metabolic syndrome characteristics n
baseline_level_1, therapy discharge age women diabetes arterial hypertension body mass index kg m2 current smoking hypercholesterolemia 240 mg dl prior myocardial infarction prior pci prior coronary artery bypass surgery interval clopidogrel loading h serum creatinine mg dl elevated troponin 003 xg l elevated creatine kinasemb 24 u l
baseline_level_1, race ethnic background f region time since diagnosis diabetes anthropometric characteristics blood pressure insulin sensitivity 8cell function total cholesterol mg dl ldl cholesterol mg dl hdl cholesterol mg dl triglycerides mg dl
baseline_level_1, baseline characteristic medical treatment time symptoms treatment randomization
baseline_level_1, demographics disease characteristics medications n extent disease n healthrelated quality life
baseline_level_1, risk factors hmgcoa rl medication use
baseline_level_1, demographic characteristics race comorbid diseasesa diabetesb recurrent infections 1 per year cardiovascular risk factors
baseline_level_1, intestinal area involved n antibodies infliximab n concomitant medication n
baseline_level_1, previous vascular disease blood pressure control major risk factors
baseline_level_1, age nyha class blood pressure mm hg medical history cholesterol mmol liter serum creatinine estimated gfr ntprobnp pmol literj hscrp mg liter current medication
baseline_level_1, race ethnicity n
baseline_level_1, age
baseline_level_1, sex race ethnic group known duration diabetes yr blood pressure mmhg medical history laboratory variables serum cholesterol mg dld
baseline_level_1, time since diagnosis diabetes
baseline_level_1, age category sex race prior treatment severity hypertensionb diabetic status
baseline_level_1, smoking status exercise alcohol consumption postmenopausal hormone use
baseline_level_1, sbp mean sd mmhg dbp mean sd mmhg heart rate mean sd bpm age mean sd year female caucasian prior myocardial infarction arrhythmias angina pectoris heart failure class iiii coronary revascularization stroke stroke tia diabetes renal impairment smoking ever
baseline_level_1, cholesterol mg dl diabetes therapy aspirin use 80 mg carotid cardiac
baseline_level_1, stroke total cholesterol mmol l ldl cholesterol mmol l hdl cholesterol mmol l triglyceride mmol l aa mol epa mol epa aa ratio sbp mm hg dbp mm hg antiplatelet agents antihypertensive agents sbp indicates systolic blood pressure dbp diastolic blood pressure aa arachidonic acid epa eicosapentaenoic acid values age bmi total cholesterol ldl cholesterol hdl cholesterol sbp dbp aa epa epa aa ratio represent mean values represent median interquartile range p values differences epa epa groups age male smoker bmi kg m2 diabetes hypertension coronary artery disease
baseline_level_1, cardiovascular risk factors preoperative cardiac medications surgery anaesthesia analgesia
baseline_level_1, 65 65 male female white black hispanic lean 25 kg m2 overweight 25 30 kg m2 obese 30 kg m2 systolic diastolic current past never aspirin statins hormone therapy oral contraceptives
baseline_level_1, male n age years mean sd race n asian black white current smoker n bmi kg m2 mean sd sbp mm hg mean sdc dbp mm hg mean sdc heart rate beats min mean sd tc mg dl mean sd ldlc mg dl mean sd hdlc mg dl mean sd tg mg dl mean sd 10year framingham chd risk
baseline_level_1, patients male female white black asian native american pacific islander mean age years sd 65 years 65 years msdbp mmhg sd mssbp mmhg sd mean weight kg sd mean bmi kg m2 sd diabetes mellitus serum creatinine mean sd pmol l
baseline_level_1, age race severity
baseline_level_1, demographic race ethnicity medical history medications blood pressure
baseline_level_1, mean age sd age 70 female race ethnicity white black hispanic asian multiracial mean bmi kg m2 sd abnormal angiogram concordant stress test abnormalities angina pectoris cabg pci stroke tia left ventricular hypertrophy unstable angina arrhythmia heart failure class llll peripheral vascular disease smoking history ever smokingcurrent diabetes dyslipidemia renal impairment cancer medications lipidlowering agent nitrates aspirin antiplatelet agents nsaids antidiabetic medications hormone replacement others baseline sbp mm hg baseline dbp mm hg baseline heart rate beat min values expressed percentages unless otherwise indicated bmi body mass index cabg coronary artery bypass ischemic attack nsaids nonsteroidal antiinflammatory drugs sbp systolic bp dbp diastolic bp history currently taking antidiabetic lipidlowering medications
baseline_level_1, region ethnic group tobacco use alcohol use exercise category time qualifying stroke randomization toast classification qualifying stroke score modified rankin scale baseline nihss score #
baseline_level_1, ethnic group clinical history smoking status use medication baseline toast classification score modified rankin scale baseline nih stroke scale
baseline_level_1, patients characteristics heart disease risk factors nyha class medical history heart failure cause physical examinations ecg findings medical treatment
baseline_level_1, patients characteristics heart disease risk factors nyha class medical history cause heart failure physical examination ecg findings medical treatment
baseline_level_1, mean sd women osteoarthritis rheumatoid arthritis smoker diabetes lowdose aspirin use proton pump inhibitor use traditional nsaid use methotrexate use dmard use
baseline_level_1, age category bmi category ethnicity
baseline_level_1, smoking status bronchodilation bronchodilation gold stage f respiratory medication inhaled anticholinergic inhaled j82agonist corticosteroid
baseline_level_1, demographic clinical quality life laboratory measurements medication
baseline_level_1, race mean body mass index kg m2 ncep atp iii risk factors visit 2 ldl cholesterol strata
baseline_level_1, nationality duration type 2 diabetes mellitus years naive antihyperglycemic agent therapy hba1c
baseline_level_1, sex n age years age group n race n pacific islander alaska native body mass index kg m2 baseline hba1c n diabetes duration years glyburide dose duringthe study mg
baseline_level_1, age male race n white asian black body mass index kg m2 obese patients n metabolic syndrome n diabetes mellitus n duration hypertension mssbp mm hg msdbp mm hg concomitant medication
baseline_level_1, age mean yrs sd age 65 yrs men caucasian body mass index kg m2 body mass index 30 kg m2 cad diabetes mellitus crp mean mg dl sd ldl cholesterol mean mg dl sd triglycerides mean mg dl sd highdensity lipoprotein cholesterol mean mg dl sd
baseline_level_1, sex n race ethnicity n mean blood pressure mmhg sdj severity n populations
baseline_level_1, male age years mean sd baseline cdai score mean sd mean sd median range crp concentration 10 mg dl 10 mg l n previous tnf antagonist exposure n glucocorticoid prednisone budesonide immunosuppressive agent azathioprine 6mercaptopurine methotrexate 5aminosalicylates current smoker
baseline_level_1, patient characteristics infarct characteristics arterial blood pressure mm hg
baseline_level_1, blood pressure mm hg inclusion criteria coexisting conditions electrocardiographic findings randomization concomitant cardiovascular therapies
baseline_level_1, risk factors atherosclerosis cardiac history ccsc 1 month enrollment cardiac medications index hospital stay discharge
baseline_level_1, sex smoking status
baseline_level_1, clinical history lipid profile fatty acid profile glucose metabolism blood pressure
baseline_level_1, characteristics race ethnicity chads2 score atrial fibrillation pattern atrial fibrillation onset
baseline_level_1, age years female n age completion highest education years sd duration diabetes years history major cardiovascular disease n myocardial infarction n stroke n history major microvascular disease n macroalbuminuria n major diabetic eye disease n history hypertension n past smoker n current smoker n current alcohol use n hba1c sd systolic bp mmhg sd diastolic bp mmhg sd serum total cholesterol mmol l sd serum creatinine mol l estimated gfr ml min1 173 m2 sd estimated gfr 60 ml min1 173 m2 n uacr mg mmol interquartile range b bmi kg m2
baseline_level_1, fev1 l fev1 predicted smoking status
baseline_level_1, medical history heart failure cause physical examinations ecg findings lipid profile laboratory examination medical treatment
baseline_level_1, age yr male sex risk factors myocardial infarction angina pectoris congestive heart failure diabetes mellitus stroke tia renal insufficiency hypertension copd medication use betablocker antiplatelet anticoagulant ace inhibitor calcium antagonist angiotensin llreceptor antagonist nitrate diuretic surgery carotid artery abdominal aortic open endovascular lowerlimb arterial
baseline_level_1, sex n age years race n baseline msdbp mmhg meansd baseline mssbp mmhg meansd duration hypertension months
baseline_level_1, gender ethnicity disease duration mean yr sd prior ms treatment ifnbeta edss score edss stratification total gadoliniumenhancing lesion count brain volume cm3 t2 lesion volume mm3
baseline_level_1, cigarette smoker location infarction
baseline_level_1, smoking status time treatment min
baseline_level_1, age yr sex race ethnic group total f weight kg medical history total periprocedural medications total target vessels angiographic complications sitereported total duration infusion hr
baseline_level_1, gender race bmi kg m2 risk factors atherosclerosis n 20 n chd n baseline ldlc strata n
baseline_level_1, ldlc hdlc total cholesterol triglycerides nonhdlc apolipoprotein b apolipoprotein ai total cholesterol hdlc ldlc hdlc apo b apo al nonhdlc hdlc hscrp
baseline_level_1, women mean age years race white black body mass index 30 kg m2 1 concomitant medication atherosclerotic cardiovascular disease coronary heart disease forms atherosclerosis diabetes mellitus type 1 2 metabolic syndrome visit 2 lowdensity lipoprotein cholesterol strata 70 100 mg dl 100 130 mg dl 130 mg dl
baseline_level_1, antidiabetes drug usage n
baseline_level_1, gastrointestinal area involved total type according daily dose
baseline_level_1, demographics smoking status gold stage n fev1 l fev1 predicted fvc l fvc predicted b concomitant respiratory medications n
baseline_level_1, number subjects mean age sd years female asthma duration sd years fev1 percent predicted sd pef sd l min pm pef sd l min symptom score sd albuterol use sd puffs day
baseline_level_1, n age yr mean sd male sex n bmi mean sd ics users n smoking history packyears mean sd fevi l mean sd 1 fevi predicted mean sd 1 fev1 fvc mean sd 1 reversibility b2agonist mean sd 1 reversibility anticholinergic mean sd
baseline_level_1, race n cardiovascular disease diabetes fasting lipid levels mmol l
baseline_level_1, location crohns disease medications baseline n
baseline_level_1, prevalence metabolic syndrome criterion low hdl cholesterol elevated tg elevated blood pressure elevated fasting glucose increased waist circumference changes metabolic syndrome parameters hdl cholesterol blood pressure systolic diastolic fasting blood glucose waist circumference
baseline_level_1, screening visit randomisation visit baseline
baseline_level_1, menwomen age years current smokerexsmoker smoking history packyears time since copd diagnosis yrs prebronchodilator fev1 l prebronchodilator fev1 predicted normal prebronchodilator fvc l prebronchodilator fev1 fvc postbronchodilator fev1 l postbronchodilator fev1 predicted normal reversibility fev1 postbronchodilator fvc l postbronchodilator fev1 fvc fev1 l fev1 predicted normal fvc l medication longacting b2agonists shortacting b2agonists inhaled corticosteroids oral corticosteroids xanthines mucolytics tiotropiumc shortacting anticholinergics supplementary oxygen
baseline_level_1, race ethnicity n region enrollment n + primary enrollment diagnoses n risk factors immobility level n previous medications n
baseline_level_1, geographical region n previous copd treatment n
baseline_level_1, demographic characteristics nyha class medical history duration heart failure years primary cause heart failure
baseline_level_1, demographics medical history n laboratory measurements medication n
baseline_level_1, demographic characteristics measurements blood pressure mm hg medical history treatment admission treatment admission medications day 7 medications discharge day 7 earlier
baseline_level_1, age race n ethnicity n medical history n
baseline_level_1, hdl3c triglyceride apo b total ldlc ldl c ldl2c ldl3c lduc nonhdlc hdl2c
baseline_level_1, creatinine clearance time onset symptoms randomization days cause dvt pe
baseline_level_1, sex n race n age years body weight kg n comorbidities n dm medication n c mean lipid values mg dl
baseline_level_1, disease location concomitant medication n
baseline_level_1, n age years age 65 male female caucasian black asian body mass index kg m2 fev1 la fev1 predicteda ics use yes exsmoker smoker history current cardiac disorders treatment duration days patients treated 24 weeks
baseline_level_1, age category years n gender n race n renal impairment n duration t2dm years hba1c category n
baseline_level_1, clinical presentation medical therapy treated vessel antithrombotic therapy
baseline_level_1, location n age yr smoking history n pulmonary function tests predicted blood oxygenation mean sd digital clubbing n presence honeycombing 1 n healthrelated quality life
baseline_level_1, age years smoking history location baseline fvc l
baseline_level_1, race risk group baseline lowdensity lipoprotein cholesterol mg dl
baseline_level_1, geographical region
baseline_level_1, diagnosis mean sd location disease n concomitant medication n hrqol
baseline_level_1, age yrs 1840 240 male female caucasian noncaucasian bmi kg m2 25 225 crp mg l 10 210 smoker nonsmoker disease location type terminal ileum colon lleocolon inflammatory stricturing penetrating prior surgery yes disease duration baseline mean 2baseline mean 1 yr 12 yrs 25 yrs 25 yrs cdai score 250 2250 300 300 335 2335 im use cs use im cs use im cs use previous current im use previous current cs use previous current use im cs previous current use im cs
baseline_level_1, involved intestinal area n creactive protein mg dl_ crohns diseaserelated medication baseline n
baseline_level_1, body mass index smoking
baseline_level_1, age yr risk factors specified inclusion criteria f medical history time event randomization days type event management event selected medications
baseline_level_1, age weight kg
baseline_level_1, race severity copd gold 20087
baseline_level_1, gender patients race patients diabetes duration known patients previous oral glucoselowering agents patients cv risk factors patients egfr using cg mdrd formulae patients cv medication patients framingham 10year cv risk score
baseline_level_1, age years age category female n body weight bmi kg m2 hba1c fpg mmol l 2h ppg mmol l duration t2dm
baseline_level_1, age qualifying type atherosclerosis selected clinical characteristics total qualifying myocardial infarction qualifying peripheral arterial disease qualifying stroke use medications
baseline_level_1, inadequate response intolerance prior therapy extent disease
baseline_level_1, race severity copd n
baseline_level_1, age years age 65 years women obesity bmi 25 kg m2 bmi mean sd kg m2 current smoker diabetes n fpg mmol l mg dl hypertension n sbp mm hg dbp mm hg tc mmol l mg dl ldlc mmol l mg dl hdlc mmol l mg dl tg mmol l mg dl
baseline_level_1, blood pressure mean sd mm hg history cardiovascular events risk factors concomitant therapy
baseline_level_1, demographic clinical characteristics prior diabetes fasting plasma glucose mg dl glycated hemoglobin glycemic drugs drugs
baseline_level_1, overall placebo allocation omega 3 allocation male female age 65 yrs age 65 yrs bmi 30 bmi 30 a1c64 median a1064 median prior cv event prior cv event metformin metformin statin use statin use acei arb acei arb ifg igt new dm prior dm
baseline_level_1, baseline crp mg dl mean smoking status n
