CUI,preferred,hasMSH
C4048187,low exposure,false
C4321351,Low Level,false
C4522223,IPSS Risk Category Low,false
C0337438,Glucose measurement,false
C0595310,Blood glucose testing kit,false
C0180309,Automated External Defibrillators,true
C0005802,Blood Glucose,true
C0002996,Angioplasty, Balloon,true
C0002997,Angioplasty, Balloon, Coronary,true
C0455539,H/O: cardiovascular disease,false
C0007637,Inclusion Bodies,true
C1512693,Inclusion,false
C0002962,Angina Pectoris,true
C0455527,H/O: hypertension,false
C1620287,prasugrel,true
C3274787,Diabetes Therapy,false
C3539002,CDISC SDTM Diabetes Therapy Terminology,false
C2608320,Low-Dose Aspirin,false
C1549445,Yes - Yes/no indicator,false
C1705108,Yes (indicator),false
C1710701,YES1 wt Allele,false
C2698872,Predictor,false
C0332296,Free of (attribute),false
C1880497,Empty (qualifier),false
C1996904,Free (available (qualifier)),false
C3489408,Hospital Stay,true
C0428776,Cardiac index,false
C0205166,Long,false
C1706317,Long Variable,false
C0240320,medication use,false
C1262886,Osteoprotegerin test,false
C1336645,TNFRSF11B gene,false
C1412836,BTF3P11 gene,false
C1710303,TNFRSF11B wt Allele,false
C4054228,Patient Global Assessment of Disease Activity,false
C0231441,Immobile,false
C0682369,central europe,false
C1707877,East,false
C0205099,Central,false
C0015177,Europe, Eastern,true
C1879652,Central Minus,false
C0035820,Social Role,true
C1705810,Generic Role,false
C3871154,Role,false
C0683312,Categories,false
C3889287,Digital Content Category,false
C0151280,Creatinine clearance, ml/min,false
C0003280,Anticoagulants,true
C0848112,on anti-coagulants,false
C3536711,Anti-coagulant [EPC],false
C0079411,Generations,true
C3146294,Generation (action),false
C0023189,Least-Squares Analysis,true
C0036919,Seychelles,true
C0445204,Preoperative,false
C2347090,MedDRA Low Level Term,false
C1320716,Cardiovascular event,false
C2984908,Modified Rankin Scale,false
C3854213,Modified rankin scale:Score:Point in time:^Patient:Ordinal,false
C0424589,Vitality,false
C0542479,Energy, Physics,false
C1442080,Energy,false
C4330907,Overall Energy Level,false
C0004239,Atrial Flutter,true
C0344423,Atrial Flutter by ECG Finding,false
C1963068,Atrial Flutter, CTCAE,false
C0681850,Study Subject,false
C1550501,Subject -direct target,false
C1706203,Subject - topic,false
C2349001,Human Study Subject,false
C2697811,Investigative Subject,false
C0205177,Active,false
C3853793,active (HL7 RoleLink),false
C3888249,Active License,false
C1424025,MCM8 gene,false
C2606415,ZDHHC2 protein, human,true
C0455610,H/O: surgery,false
C0032821,Potassium,true
C0202194,Potassium measurement,false
C0304475,Potassium supplement,false
C0597277,Potassium Ion,false
C3714637,Potassium Drug Class,false
C0717550,candesartan,true
C0599880,Treatment Plan,false
C0679199,strategy,false
C1522609,Numerical value,false
C0030551,parent,true
C3826998,Health Assessment Questionnaire Disability Index With Pain Visual Analog Scale Questionnaire,false
C4321476,Health Assessment Questionnaire Disability Index,false
C1704706,Medical History Domain,false
C1290884,Inflammatory disorder,false
C0017628,Glyburide,true
C0580545,Blood glucose normal,false
C0849974,Pulmonary Function Test/Forced Expiratory Volume 1,false
C1561566,FEV1, CTCAE,false
C4528367,Forced Expiratory Volume in 0.1 Second,false
C1619966,abatacept,true
C1299351,Abnormally high,false
C2700149,Value Above Reference Range,false
C3887512,high - ActExposureLevelCode,false
C3889660,High Mitosis-Karyorrhexis Index,false
C4321237,High Level,false
C4522209,IPSS Risk Category High,false
C0439508,per year,false
C3854129,Symptom:Find:Pt:^Patient:Nom,false
C0009247,Cohort Studies,true
C0599755,Cohort,false
C0015259,Exercise,true
C0456698,times/week,false
C1524031,Minimum,false
C1552614,ActRelationshipSubset - minimum,false
C2826545,Minimum Value Derivation Technique,false
C1522704,Exercise Pain Management,false
C2603360,T prime,false
C0199168,Medical service,false
C0348080,Condition,false
C1705253,Logical Condition,false
C3864998,Condition:Find:Pt:^Patient:Nom,false
C0205476,Medical,false
C1519386,Smoking Status,false
C0421330,Screening status,false
C1739768,rivaroxaban,true
C0205390,Phase,false
C1300072,Tumor stage,false
C1306673,Stage,false
C0023508,White Blood Cell Count procedure,true
C0347983,cells/L,false
C0023516,Leukocytes,true
C0427512,White blood cell count laboratory result,false
C3272281,American College of Cardiology/American Heart Association Lesion Complexity Score A,false
C3538919,Low Risk,false
C1266129,Atypical Lipoma,false
C4553172,Antibiotic Lock Therapy,false
C0231220,Symptomatic,false
C1320528,Time of symptom onset,false
C3245505,potential,false
C1960636,Dysglycemia,false
C1319635,mg/mg,false
C3665365,Arteriosclerotic cardiovascular disease, NOS,false
C2983605,Food Consumption,false
C0020461,Hyperkalemia,true
C0439375,mEq/L,false
C4552983,Hyperkalemia, CTCAE,false
C0043031,Warfarin,true
C0237607,Practice Experience,false
C0596545,Experience,false
C1292781,Complex procedure,false
C0010290,Creatine Kinase MB Isoenzyme,true
C0439339,Unit per Liter,false
C0523584,Creatine kinase MB measurement,false
C0027627,Neoplasm Metastasis,true
C0175668,Secondary to,false
C0063041,leflunomide,true
C1704311,Antithrombotic Agents,true
C0086542,Leisure,true
C0034787,Angiotensin Receptor,true
C1622222,MAS1 protein, human,true
C0455708,Administration type,false
C0235974,Pancreatic carcinoma,true
C0346647,Malignant neoplasm of pancreas,true
C2984259,Pancreatic Cancer Pathway,false
C3272375,Integer Data Type,false
C0337920,Hawaiian population,true
C0226003,Structure of large artery,false
C0003850,Arteriosclerosis,true
C0004153,Atherosclerosis,true
C0043128,Western Australia,true
C0022271,Israel,true
C0239312,Western European,false
C0004340,Australia,true
C0200638,Eosinophil count procedure,false
C0034642,Rales,true
C0445022,Loop,false
C0021775,Intermittent Claudication,true
C0311395,Lameness,false
C1456822,Claudication (finding),false
C0281991,steroid use,false
C0418986,Respiratory medication,false
C0585943,Lipid-lowering therapy,false
C1519269,Serving,false
C4528314,Secondary Endpoint,false
C2936643,Standard of Care,true
C0031705,Phosphorus,true
C0080014,Dietary Phosphorus,true
C3714498,Phosphorus Drug Class,false
C0428460,Finding of lipid level,false
C4505437,Smoking Habit,true
C0175566,Open,false
C2121434,Triple Screen,false
C1328319,Ankle brachial pressure index (observable entity),true
C3888326,Intravascular systolic.tibial artery/Brachial artery:PresRto:Pt:Arterial system:Qn,false
C1452534,ACE protein, human,true
C4284014,Adverse Childhood Experience Survey,false
C0185003,Reparative closure,false
C1521802,Closure,false
C1881378,Limitation of Use Based on Duration of Use,false
C2826775,Duration of Use,false
C0041199,Troponin,true
C4049864,Improvised Nuclear Device,false
C0017890,Glycine,true
C2827928,Picogram per Day,false
C0523677,Glycine measurement,false
C0025124,Traditional Chinese Medicine,true
C0035204,Respiration Disorders,true
C0035242,Respiratory Tract Diseases,true
C1515884,Acupuncture and Oriental Medicine,false
C0740304,copd exacerbation,false
C0015179,European Union,true
C0596197,blood treatment,false
C0033095,Pressure- physical agent,true
C0460139,Pressure (finding),false
C1306345,Pressure - action,false
C4284008,Pressure (property),false
C0016157,Fish Oils,true
C2348354,Duration of Administration,false
C0005902,Body Surface Area,true
C0167117,exenatide,true
C0850624,cardiovascular risk factor,false
C0449244,Time of onset,false
C1549488,Amount type - Percentage,false
C1561533,Money or percentage indicator - Percentage,false
C0439294,Kilogram per Cubic Meter,false
C0456615,Billion per Liter,false
C3869582,Simplified disease activity index,false
C0439544,Definite,false
C1704787,Definitely Related to Intervention,false
C3258257,Total population,false
C0557651,Room of building - Study,false
C2603343,Study,false
C2348561,Study Population (group),false
C0014467,eosinophil,true
C0018821,Cardiac Surgery procedures,true
C0524727,Discipline of Heart Surgery,true
C0015127,Etiology aspects,true
C1314792,Etiology,true
C1524003,Science of Etiology,false
C1947933,care activity,false
C0010294,Creatinine,true
C1561535,Creatinine, CTCAE,false
C0037712,South Africa,true
C1864389,PREMATURE CHROMATID SEPARATION TRAIT,false
C1882368,Photon Correlation Spectroscopy,true
C0441833,Groups,false
C0687744,Social group,false
C1519504,Stage Grouping,false
C1552839,Table Rules - groups,false
C1705428,Group Object,false
C1705429,User Group,false
C0150312,Present,false
C0332468,Honeycomb appearance,false
C0349384,Honeycomb food,false
C0392148,Providing presence (regime/therapy),false
C3854307,Presence (property),false
C3641272,Very severe,false
C4050419,Borg Category-Ratio 10 Perceived Exertion Score 7,false
C0060179,fenofibric acid,true
C1533076,History of hypercholesterolemia,false
C0013621,Knowledge acquisition,true
C0013622,Educational aspects,true
C0013658,Educational Status,true
C0039401,Educational process of instructing,true
C0009566,Complication,false
C0205145,Site,false
C2825164,Study Site,false
C1171258,Complication Aspects,true
C0948089,Acute Coronary Syndrome,true
C0488053,Intravascular mean:Pressure:Point in time:Arterial system:Quantitative,false
C0031529,Philippines,true
C1570610,FN1 protein, human,true
C0439505,per day,false
C0023216,Lower Extremity,true
C0014245,Endoscopy (procedure),true
C1283828,intent,false
C1551357,intended - ParticipationSignature,false
C0538927,celecoxib,true
C1883420,Unacceptable,false
C0877248,Adverse event,false
C1705413,Adverse Event Domain,false
C0206579,Slovakia,true
C1232424,Buteo solitarius (organism),false
C3641256,LDL Particle Size Measurement,false
C0549193,Parameter Value,false
C1704769,Programming Parameter,false
C2350001,Population Parameter,false
C0886296,Nursing interventions,false
C1273869,Intervention regimes,false
C0232187,Cardiac rhythm type,false
C0026193,Minor (person),true
C0205165,Minor (value),false
C0815172,patient characteristics,false
C4072694,ACC-AHA,false
C0065058,Lipoprotein (a),true
C0125953,Lipoprotein (a-),true
C1096202,Lipoprotein (a) measurement,false
C1439335,LPA gene,false
C1319441,Body mass index 40+ - severely obese,false
C2926618,Ever told by doctor that you had deep venous thrombosis:Finding:Point in time:^Patient:Ordinal,false
C3899446,Data Validation Test Document,false
C0016976,Gallbladder,true
C1412268,AES gene,false
C2699274,Scanning Auger Spectrometer (device),false
C0649350,rivastigmine,true
C0042874,Vitamin E,true
C3714803,Vitamin E Drug Class,false
C1997614,Thromboembolism of vein,false
C0015576,Family,true
C0455533,H/O: thromboembolism,false
C1704727,Family (taxonomic),false
C0332281,Associated with,false
C0019693,HIV Infections,true
C0037763,Spasm,true
C2735101,Cardiac biomarkers:Complex:-:^Patient:Set,false
C2735102,Cardiac biomarkers,false
C0229992,Psyche structure,false
C2349179,End Point,false
C0681344,formal education,false
C0213771,tiotropium,true
C0040034,Thrombocytopenia,true
C0392386,Decreased platelet count,false
C3642216,Per Deciliter,false
C3898312,Millimole per Liter per Milligram,false
C0025266,Male population group,true
C0264677,Angina, class III,false
C0026698,mucolytic agents,true
C2984554,Emotional Well-being,false
C3641833,Overall Emotional Well Being,false
C0678226,Due to,false
C3146286,Due,false
C0745133,isolated systolic hypertension,false
C1879646,Affected Area,false
C0522082,Normal glucose level,false
C0022417,Joints,true
C0010957,Tissue damage,false
C1883709,Damage,false
C0392905,Articular system,false
C1706309,Joint Device,false
C0002007,Aldosterone Antagonists,true
C0003980,Asia,true
C0023211,Left Bundle-Branch Block,true
C0344420,Electrocardiogram: left bundle branch block (finding),false
C2828132,Left Bundle Branch Block Artifact,false
C0162643,treatment failure,true
C0235828,Lack of Efficacy,false
C0521983,Absence of therapeutic response,false
C1547544,Charge Type Reason - Treatment Failure,false
C1419129,PTS gene,false
C2698747,Patient Tracking System,false
C0965129,rosuvastatin,true
C1709323,Open Label Study,false
C0948008,Ischemic stroke,false
C4554348,FF genotype,false
C0205999,British Virgin Islands,true
C0015688,Nonesterified Fatty Acids,true
C2347489,Person Observer,false
C0051844,angiogenin,true
C1367482,ANG gene,false
C0717758,Etanercept,true
C0439192,pmol,false
C0242510,Drug usage,false
C1705654,Entry (data),false
C0869040,use studies,false
C2347946,Relevance,false
C4044947,baricitinib,true
C0202042,Plasma Glucose Measurement,false
C0455280,Plasma glucose result,false
C0016107,filtration,true
C0020003,Hospitals, Community,true
C0023806,Lipomucopolysaccharidosis,true
C0041403,Turkmenistan,true
C1313407,HAVCR1 protein, human,true
C3541335,TPI1 wt Allele,false
C3711667,ARHGEF5 protein, human,true
C3827754,Tumor Infiltrating Macrophages,false
C3890185,HAVCR1 wt Allele,false
C4319633,Oncogene TIM Protein, human,false
C0392360,Indication of (contextual qualifier),false
C3146298,Indication,false
C0368663,aminosalicylate,false
C0302891,Native (qualifier value),false
C0442824,Very,false
C2984081,Very Much,false
C0200665,Platelet mean volume determination (procedure),true
C1300812,Femur length,false
C1708024,FLT3LG wt Allele,false
C0344388,Platelet mean volume finding,false
C0439224,Microsecond,false
C0993596,Metered Dose Inhaler,true
C0015458,Facial Hemiatrophy,true
C1839839,MAJOR AFFECTIVE DISORDER 2,true
C4049613,Myositis Damage Index,false
C0205430,Mixed (qualifier value),false
C0008677,Bronchitis, Chronic,true
C3160715,Mixed Cell Morphology,false
C0856738,triple vessel disease,false
C0282379,Aruba,true
C1235746,Aa (Plant),false
C1882141,Of Each,false
C4554792,AA genotype,false
C0683314,personal health,false
C0041700,United Kingdom,true
C0002045,algorithm,true
C1553907,Observation Method - algorithm,false
C1414174,DSPP gene,false
C1999216,Inhibitor,false
C3538889,Troponin T, Cardiac Muscle,false
C2757061,Adrenergic beta-Antagonists [MoA],false
C3536830,beta-Adrenergic Blocker [EPC],false
C0042963,Vomiting,true
C1963281,Vomiting, CTCAE,false
C3898969,Have Been Vomiting,false
C4084766,How Much Distress Vomiting,false
C4084767,Bothered by Vomiting,false
C4084768,Usual Severity Vomiting,false
C4084769,How Often Vomiting,false
C0222762,Rib Cage,true
C0041703,United States,true
C0028754,Obesity,true
C1963185,Obesity, CTCAE,false
C0162425,Intention - mental process,true
C1279919,Early,false
C1550453,Act Mood - intent,false
C0439539,Heavy sensation quality,false
C0006660,Physiologic calcification,true
C0006663,Calcinosis,true
C0175895,Calcified (qualifier),false
C1533591,Calcification,false
C1879982,Calcified Medical Device Material,false
C2242558,Pathologic calcification, calcified structure,false
C4025272,Peripheral arterial stenosis,false
C0004048,Inspiration function,true
C3537004,Anticholinergic [EPC],false
C2827804,Hour Times Micromole per Milliliter,false
C0029161,Oral Glucose Tolerance Test,true
C3665045,Sodium-Glucose Transporter Inhibitors,false
C0680240,Agreement,false
C2348070,Daily Dose,false
C0021081,Immunosuppressive Agents,true
C0226032,Anterior descending branch of left coronary artery,false
C0011881,Diabetic Nephropathy,true
C1442864,DIANPH gene,false
C0023031,Lanthanum,true
C0023749,Linoleic Acid,true
C0230347,Left upper arm structure,false
C2346906,Lupus Anticoagulant Antibody,false
C4553351,SSB wt Allele,false
C1719767,Subtract - dosing instruction fragment,false
C2348589,Subtraction process,false
C4279947,Health-Related Quality Of Life,true
C0429706,Forced expiratory volume in 1 second finding,false
C0005680,Black race,true
C0007787,Transient Ischemic Attack,true
C0917805,Transient Cerebral Ischemia,true
C0444686,Calculated,false
C1441506,Calculation,false
C0289313,rosiglitazone,true
C3826872,St. George's Respiratory Questionnaire for Chronic Obstructive Pulmonary Disease Patients,false
C0151578,Creatinine increased,false
C0700225,Serum creatinine raised,false
C1623465,Eos <bird>,false
C1861303,SYNOVITIS, GRANULOMATOUS, WITH UVEITIS AND CRANIAL NEUROPATHIES (disorder),true
C0227327,Distal part of ileum,false
C4553195,Low Density Array,false
C0344315,Depressed mood,false
C0549249,Depressed Level of Consciousness,true
C0015385,Limb structure,true
C0750573,emergent,false
C2188405,urgent Operation,false
C0681902,laboratory measurement,false
C3274438,Run-in Period,false
C0366513,Insulin regular:Mass:Pt:Dose:Qn,false
C0451530,Tender joint count,false
C0332189,Episode of,false
C1611934,saxagliptin,true
C0202311,Aluminum measurement,false
C2359834,Additional assessment,false
C0489482,Ejection fraction (procedure),false
C2700378,Ejection fraction (finding),false
C0441885,Class 1,false
C1319793,New York Heart Association Classification - Class I,false
C2698967,Canadian Cardiovascular Society Grading Scale Class I,false
C0278372,Functional assessment,false
C0008679,Chronic disease,true
C0458083,Hormonal,false
C0037982,Spironolactone,true
C1134681,Endothelin receptor antagonist,true
C1656262,Phosphodiesterase Inhibitors [MoA],false
C3539996,Phosphodiesterase inhibitors, cardiac stimulant,false
C2266875,Endothelin Receptor Antagonists [MoA],false
C1186706,Bolus of ingested food,false
C1511237,bolus infusion,false
C1705509,Bolus Dosing Unit,false
C3812160,Radiotherapy Bolus,false
C0040335,Encounter due to tobacco use,false
C0543414,Tobacco use,true
C0841002,History of tobacco use,false
C3853727,Tobacco user,false
C0666743,infliximab,true
C0455531,H/O: heart failure,false
C0742742,congestive,false
C3490348,empagliflozin,true
C1707454,Comparator Device,false
C4553390,Comparator,false
C3536837,Angiotensin Converting Enzyme Inhibitor [EPC],false
C0022065,Iran,true
C0022071,Iridium,true
C1448132,INSR protein, human,true
C1709707,Proportion,false
C0086715,Normal Range,true
C0520835,FEV normal,false
C1272691,To be stopped,false
C0041755,Adverse reaction to drug,true
C0699759,Wealthy,false
C0065055,lipoprotein cholesterol,true
C0025598,Metformin,true
C1678805,apremilast,true
C3536884,Visual Analog Scale,true
C3827561,Vibroacoustic Stimulation,false
C0013778,Electric Countershock,true
C1690432,denosumab,true
C1285573,Genotype determination,false
C0544452,Disease remission,false
C0687702,Cancer Remission,false
C0034628,Radius Fractures,true
C0521143,Seropositive,false
C1507009,Pain onset,false
C0010068,Coronary heart disease,true
C1956346,Coronary Artery Disease,true
C0003484,Abdominal aorta structure,true
C0262950,Skeletal bone,true
C0005940,Bone Diseases,true
C1276802,Sudden onset (attribute),false
C0013395,Dyspepsia,true
C4552968,Dyspepsia, CTCAE,false
C1519427,South Asian,false
C0150457,Anticoagulant therapy,false
C1880389,Domain (area of knowledge),false
C1883221,Superkingdom (taxonomic category),false
C3541951,Concept model domain,false
C2987634,Agonist,false
C0021122,Disruptive, Impulse Control, and Conduct Disorders,true
C0027567,African race,true
C0085756,African American,true
C0439541,Black color,false
C0939232,fluticasone / salmeterol,true
C0271650,Impaired glucose tolerance,true
C1301732,Planned,false
C0009458,Communications Media,true
C0439536,Medium,false
C1705217,Medium (Substance),false
C3244283,medium exposure,false
C4085196,Medium Growth Rate,false
C4522282,A Medium Amount of Time,false
C4522283,A Medium Amount,false
C1444637,In the past,false
C4284302,EHD1 wt Allele,false
C0545733,vertebrobasilar,false
C0231940,Alveolar ventilation function,false
C0282636,Cell Respiration,true
C0376627,Health Transition,true
C0027473,Nationality,true
C0005918,Bolivia,true
C0006413,Burkitt Lymphoma,true
C1552663,Boolean,false
C2827109,Saint Barthelemy,false
C0729790,H/O: atrial fibrillation,false
C0205311,Paroxysmal,false
C0028040,Nicotine,true
C0015982,Fibrin,true
C0439590,Prolonged,false
C2825507,Last Observation Carried Forward Imputation Technique,false
C0144576,Paclitaxel,true
C0448964,Distal anastomosis,false
C0567349,milligram/millimole (mg/mmol),false
C2348885,Gram per Mole (g/mol),false
C0003507,Aortic Valve Stenosis,true
C1880089,Circumflex,false
C0523891,Serum sodium measurement,false
C0439152,mEq,false
C0242191,Pacific Islander Americans,true
C4330837,Number of Events,false
C0032790,Postoperative Period,true
C0683149,serum concentration,false
C0019020,Hemoglobin C,true
C3889898,HEMOGLOBIN C PHENOTYPE,false
C0016018,Fibrinolytic Agents,true
C0520997,Thrombolysis, function,false
C0378365,Revasc,true
C0056331,cordycepin,true
C0241863,diabetic,false
C1880476,Etoposide-Platinol Regimen,false
C0035487,Rhode Island,true
C1826843,RNH1 gene,false
C4321526,EP -- route of administration,false
C3831581,Alanine Aminotransferase to Aspartate Aminotransferase Ratio Measurement,false
C4255010,Non-ST Elevated Myocardial Infarction,true
C1539487,FBXL20 gene,false
C4050416,Stringent Complete Response,false
C2348346,Drug Started Identifier,false
C0439531,per period (qualifier value),false
C1948053,Period (temporal qualifier),false
C0205173,Duplicate,false
C1705764,Doubling,false
C1705765,Double Value Type,false
C1979963,Profile (lab procedure),false
C2003903,Profiling (action),false
C0018943,Hematology (discipline),true
C0205488,Hematologic,false
C4050369,Physician Global Assessment of Disease Activity,false
C0034069,Pulmonary Fibrosis,true
C1800706,Idiopathic Pulmonary Fibrosis,true
C2346983,Becquerel per Milligram,false
C0560038,Becquerel,false
C3541236,Bonaire, Sint Eustatius and Saba,false
C0205682,Waist-Hip Ratio,true
C0040336,Tobacco Use Disorder,true
C0279025,Hormone Therapy,false
C1427925,ELL gene,false
C3273466,RNA Polymerase II Elongation Factor ELL,false
C0022663,Kidney Glomerulus,true
C0268731,Renal glomerular disease,false
C0456170,Left atrial pressure,false
C0288672,abciximab,true
C0029456,Osteoporosis,true
C4554622,Osteoporosis, CTCAE 5.0,false
C0001314,Acute Disease,true
C0444921,Duration of treatment,false
C3259042,Treatment duration:Time:Pt:^Patient:Qn,false
C0684224,Report (document),true
C0700287,Reporting,false
C4319718,Reported,false
C0257190,ivabradine,true
C0597240,Physical State,false
C0031843,physiological aspects,true
C0542341,Function (attribute),false
C0700205,Function Axis,false
C1705273,Mathematical Operator,false
C0700329,Physical shape,false
C0516981,Physical function,false
C0348078,Qualitative form,false
C0376315,Manufactured form,true
C1522492,Formation,false
C4255237,Form:Finding:Point in time:{Setting}:Document:{Role},false
C2964478,Short Forms,false
C4049916,Physical Function Subordinate Domain,false
C0184252,Medical Valves,false
C1186983,anatomic valve,false
C1704414,Valve Device,false
C3888056,Valve (physical object),false
C0439390,Milliliter per Second,false
C3272265,Three Vessel Coronary Disease,false
C0520887,ST segment depression (finding),false
C1454484,VCL protein, human,true
C1705503,VCL wt Allele,false
C4281602,Minute volume measurement,false
C4528394,Planned Treatment Duration,false
C0205412,Inadequate (qualifier),false
C0871261,Response process,false
C0231199,intolerance function,false
C1744706,intolerance to substance,false
C2355652,Intolerance - biological effect of chemicals,false
C1704632,Disease Response,false
C1706817,Response (statement),false
C2911692,Response (communication),false
C0439856,Unsatisfactory,false
C0770546,heparin, porcine,false
C0035309,Retinal Diseases,true
C1962966,Retinopathy, CTCAE,false
C0062408,hemoglobins N,true
C0152031,Joint swelling,false
C0439808,Profound,false
C0009782,Connective Tissue Diseases,true
C0035245,Respiratory physiology,true
C0007131,Non-Small Cell Lung Carcinoma,true
C2984258,Non-Small Cell Lung Cancer Pathway,false
C3539721,NCI CTEP SDC Non-Small Cell Lung Cancer Sub-Category Terminology,false
C0281481,anti-tumor necrosis factor therapy,false
C0085649,Peripheral edema,false
C0597484,Sodium Cation,false
C3435805,Ive - copepoda,false
C4554334,IVE Regimen,false
C1272460,Not Applicable,false
C1546968,No Application Type,false
C1879645,Adverse Event by CTCAE Category,false
C4049872,Package Type Not Applicable,false
C4552882,XK wt Allele,false
C0451521,Swollen joint count,false
C0039503,Tendinitis,true
C0009905,Contraceptives, Oral,true
C0039070,Syncope,true
C3541349,Syncope (amphibian),false
C4554644,Syncope, CTCAE 5.0,false
C0502371,Anatomical feature,false
C0439855,Complex,false
C1704241,complex (molecular entity),false
C2945704,Conventional Treatment,false
C0012373,Diltiazem,true
C1511113,Bilateral Disease,false
C0429090,Pathological Q wave,false
C0027778,Netherlands,true
C0560008,nanolitre,false
C3892223,Per Nanoliter,false
C0086440,Hypolipidemic Agents,true
C0750523,FORMER,false
C0016011,Platelet Glycoprotein GPIIb-IIIa Complex,true
C0038846,Supine Position,true
C0439232,Minute of time,false
C1282918,Minute (diminutive),false
C2347166,Minute Unit of Plane Angle,false
C0205090,Right,false
C0444532,Right sided,false
C0085672,Microbiology procedure,false
C2984010,Macro,false
C1553035,Unit Of Measure Prefix - micro,false
C3811161,Micro (prefix),false
C4049106,Microbiology - Laboratory Class,false
C3258078,Psoriasis treatment,false
C0011702,Desmosine,true
C2348535,Stenting,false
C4551552,Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 1,true
C1707455,Comparison,false
C1301808,Geographic state,false
C2983136,Territory,false
C4331910,Past 30 days,false
C0040044,Thrombolytic Therapy,true
C0201519,Antibody to islet cells of pancreas measurement,false
C4034225,Stenosis degree,false
C0917591,CTN,true
C0007785,Cerebral Infarction,true
C1709056,Moderate-Dose Treatment,false
C1522410,Highest,false
C2826182,Study Day,false
C0150270,Medication Management,false
C3469597,Administration of medication,false
C0013987,Emotions,true
C0849912,Emotional,false
C0060323,Fibrin fragment D,true
C0205217,Increased,false
C0442805,Increase,false
C2828360,Traverse,false
C0205381,Moist,false
C3891560,Alarmins,true
C0332167,High risk of,false
C3272283,American College of Cardiology/American Heart Association Lesion Complexity Score C,false
C4050568,High Risk Acute Leukemia,false
C4319571,High risk,false
C0282416,Overall Publication Type,true
C1292734,Treatment intent,false
C3889737,Data Change Date,false
C1561607,Overall,false
C0205132,Linear,false
C0001288,Activities of Daily Living (activity),true
C1420005,SGCA gene,false
C1282952,Enthesitis,false
C0014025,Enalapril,true
C0551571,History of alcohol use:Finding:Point in time:^Patient:Nominal:Reported,false
C0552479,Alcohol use history,false
C0011946,Dialysis procedure,false
C0040732,Transplantation,true
C0040733,transplantation aspects,true
C0019004,Hemodialysis,true
C4551529,Renal Dialysis,true
C0011945,Physical Dialysis,true
C0022671,Kidney Transplantation,true
C1059964,Genus Dialysis,false
C0449243,Timing,false
C3714444,Loading dose,false
C1704250,Timing, LOINC Axis 3,false
C0225988,Structure of small blood vessel (organ),false
C0037215,Sitosterols,true
C0220914,Sitosterol,true
C0003864,Arthritis,true
C4552845,Arthritis, CTCAE,false
C0205420,Concurrent,false
C0205231,Extensive,false
C3539185,Corticosteroid nasal preparations for topical use,false
C3540725,Corticosteroid otologicals,false
C3540726,Corticosteroid ophthalmologic and otologic preparations,false
C3540727,Corticosteroids, topical for treatment of hemorrhoids and anal fissures,false
C0009253,Coitus,true
C0036864,Sex Behavior,true
C0804628,Gender:Type:Point in time:^Patient:Nominal,false
C1314687,Sexual intercourse - finding,false
C1517945,Loss,false
C0018935,Hematocrit procedure,true
C0518014,Hematocrit level,false
C1301725,Documented,false
C0231221,Asymptomatic,false
C1609436,Document completion status - Documented,false
C0042469,Venezuela,true
C3714652,Ventricular Premature Complex by ECG Finding,false
C4321495,Extravascular Extracellular Volume Fraction,false
C0031437,Phenotype,true
C1285572,Phenotype determination,false
C0457464,types of diseases,false
C2708283,Clinical presentation,false
C3654025,CARDIAC THERAPY DRUGS,false
C0015811,Femur,true
C0023303,Length of Stay,true
C0521117,Severity of illness,false
C1260596,coronary artery graft device,false
C0021212,Indicators,true
C1235732,Indicator bird,false
C1522602,Indicator,false
C2315493,History of claudication,false
C0205267,Intermittent,false
C0553692,Brain hemorrhage,true
C0001552,Pharmaceutical Adjuvants,true
C2826286,Dose Adjustment Reason,false
C0205246,Generalized,false
C3812897,General medical service,false
C3891294,Safety Reporting Documentation,false
C4521767,United States Military Commissioned Officer O10,false
C0552409,Mean Diameter,false
C0205460,biological,false
C3665627,Ehrlich units per deciliter,false
C0428568,Fasting blood glucose measurement,false
C1261430,Fasting blood sugar result,false
C0027235,Ipratropium,true
C0750879,Eosinophil count result,false
C0035410,Rhabdomyolysis,true
C0026848,Myopathy,true
C4552660,Rhabdomyolysis, CTCAE,false
C0031676,Phospholipids,true
C0202177,Phospholipid measurement,false
C0746467,medication current,false
C0151691,Decreased HDL cholesterol concentration,false
C0205191,chronic,false
C0683610,prohibition,false
C4553947,Breath Actuated Nebulizer,false
C0444708,Radiographic,false
C0398623,Thrombophilia,true
C0392885,High density lipoprotein measurement,false
C1513126,Menopausal Status,false
C1960108,Renin inhibitor,false
C3537174,Renin Inhibitor [EPC],false
C4521920,Renin inhibitor (disposition),false
C0264716,Chronic heart failure,false
C0020651,Hypotension, Orthostatic,true
C1955477,Glucose (oral),false
C0600419,Patient Agent,true
C0021102,Implants,false
C0180153,Covers (device),false
C0439844,Covered (qualifier value),false
C1320647,History of percutaneous coronary intervention,false
C4554713,Percutaneous coronary intervention:History:Point in time:^Patient:Ordinal,false
C0002871,Anemia,true
C1000483,Genus Anemia,false
C4554633,Anemia, CTCAE,false
C0445550,Low dose,false
C1548600,user - Facility type,false
C1708745,Low-Dose Treatment,false
C3203348,Upper Gastrointestinal Tract,true
C0205340,Repaired,false
C0724804,Peripheral vasodilators,false
