,concept,cluster
1424,score > nmbr %  % of patients,88
1740,chanmbrdsnmbr - vasc score ( median  iqr ),88
583,rentrop score,88
168,smoking in the past year,87
192,smoking : ex - smoker,87
386,smoking ( a ),87
389,smoking pack - years,87
1335,smoking pack year ( years ) fl,87
1893,cardiovascular risk,86
890,cardiovascular inclusion criteriat,86
642,cardiovascular hospitalization,86
167,all cardiovascular,86
728,cardiovascular and respiratory,86
1939,treatment before admission ( % ),85
1360,randomised treatment,85
1652,epa treatment ( n = nmbr ),85
848,treatment with candesartan,85
164,treatment after admission,85
1318,treatment difference  ml,85
920,location of treatment center,85
254,fasting c - peptide  ng / ml,84
1050,fasting plasma glucose  mg / dl  mean ( sd ) b,84
163,fasting free fatty acids ( ^mol / liter ),84
878,fasting insulin,84
1876,fasting plasma glucose,84
1682,unknown,83
159,unknown type,83
1376,diabetes duration ( known )  % of patients,82
500,diabetes durationa < median,82
1840,diabetes duration  median ( iqr )  years,82
158,diabetes with target organ disease *,82
750,insulin + oad,81
1543,without insulin or insulin - modifying therapy,81
699,insulin ( pmol / l ) t vital signs,81
1085,insulin and oral hypoglycemic drugs,81
157,oad plus insulin,81
1384,insulin - na ' ive,81
1410,insulin : glucose ratio,81
151,dactylitis count,80
612,dactylitis count ( nmbr - nmbr )  mean ( sd ),80
1232,dactylitis  n ( % ),80
147,risk of bleeding,79
714,accp bleeding risk at inclusion  no . ( % ) f,79
145,iglar dose at randomization ( u / day ),78
1580,any dose reduction,78
1581,hazard ratio for event ( nmbr % ci ),77
143,hazard ratio ( nmbr % cl ) nmbr . nmbr ( nmbr . nmbr  nmbr . nmbr ),77
141,both ptca and cabg,76
780,ptca or pci,76
290,severity of airflow limitation ( gold nmbr - nmbr )  n ( % ),75
1817,severity of copd *  n ( % ),75
139,severity of copd  ( gold nmbr )  %,75
931,severity n ( % ),75
308,severity of hypertensionb,75
1935,severity of copd  airflow limitation  n ( % ),75
1953,comorbidities  %,74
1855,co - morbidities  a n ( % ),74
129,comorbidities other than diabetes,74
963,comorbid diseasesa diabetesb,74
1140,tg  mmol / l [mg / dl],73
128,tg < nmbr  hdl > nmbr ( n = nmbr ),73
126,primary end point  no . of events / total no . ( % ),72
216,primary renal endpoint or death,72
1675,primary end point kaplan - meier rate  %,72
125,peripheral arterial disease  n ( % ),71
1630,any peripheral arterial disease,71
1900,erosion score  mean nmbr sd,70
124,erosion score,70
1524,erosion score  median ( min  max ),70
123,randomized to receive beta carotene,69
549,all randomized patients ( range ),69
1872,randomized to active yitamin e,69
1485,randomized,69
213,randomized to aspirin use,69
703,aspirin - erdp ( n = nmbr  nmbr ),68
539,aspirin but no ppi,68
1372,aspirin + clopidogrel ( n = nmbr ) nmbr . nmbr,68
940,aspirin and ppi,68
236,aspirin and other antiplatelet,68
1435,aspirin group,68
570,aspirin at last follow - up,68
1629,aspirin / antiplatelet,68
122,aspirin / other antiplatelet agents  n ( % ),68
1036,aspirin group ( n = nmbr nmbr ) ( nmbr nmbr person years ),68
464,aspirin nmbr clopidogrel,68
1753,aspirin use ( > nmbr mg ),68
1455,aspirin only ( n = nmbr  nmbr ),68
282,stent length per lesion  mm,67
117,stent plus placebo,67
1559,screening % predicted fevnmbr,66
116,screening prebronchodilator fevnmbr  l,66
1157,screening bmi ( kg / mnmbr ),66
941,screening % reversibility fevnmbr,66
1590,stroke or pvd  ( % ),65
114,stroke ( vs tia ),65
1155,use of parenteral antithrombotic,64
112,use of ace inhibitor,64
580,use of hormone replacement therapy ( a ),64
392,use of concomitant lipid - modifying therapy,64
228,no use of nmbr - asa compounds,64
1086,use of ics,64
412,timi major bleeding,63
142,major cerebrovascular,63
110,major cvd /,63
1400,major bleeding ( statin use vs non - use ),63
1792,major coronary,63
1162,years [range],62
209,years  mean ( sd ),62
109,years since menopause,62
928,years since pah diagnosis,62
108,mild impairment ( nmbr to < nmbr ),61
1374,mild or moderate copd,61
1434,estimated glomerular filtration rate - ml / min  median ( iqr ) ',60
107,estimated glomerular filtration rate ( mdrd )  ml / min / nmbr . nmbrmnmbr,60
1190,estimated glomerular filtration rate,60
1932,concomitant asthma medications  n ( % ),59
859,concomitant lipid - lowering therapy  n ( % ),59
1929,concomitant drug treatment,59
1282,concomitant atorvastatin dose  mg,59
106,concomitant corticosteroid use  n ( % ),59
307,no concomitant cortcosteroid use,59
1321,concomitant mtx use  n ( % ),59
1738,concomitant drugs,59
1668,concomitant conventional dmard use,59
668,concomitant antihyperglycaemic drugs  n ( % ),59
105,mtx + non - mtx,58
676,mtx exposure ( mg / week ),58
1619,type of concomitant statin,57
104,type of mi ( % ),57
1110,any type  according to daily dose * *,57
1627,type of des,57
1263,atenolol strategy,56
398,atenolol *,56
103,atenolol n = nmbr,56
678,atenolol n = nmbr no . ( % ),56
138,blood pressure,55
102,blood pressure  mean ( sd ) [range]  mm hg,55
790,calcium channel antagonists  n ( % ),54
1437,calcium - channel blockers ( % ),54
100,calcium channel blockers  n ( % ),54
97,valsartan / hctz  n / n ( % ),53
1137,valsartan / hctz,53
1209,clopidogrel dose on / before pci,52
1658,clopidogrel no . of patients % ),52
751,clopidogrel ( n = nmbr ),52
95,clopidogrel ( n = nmbr  nmbr ),52
330,clopidogrel  ticlopidine  or prasugrel,52
557,clopidogrel / ticlopidine,52
1099,clopidogrel plus aspirin ( n = nmbr ),52
309,clopidogrel  %,52
1782,clopidogrel + aspirin ( n = nmbr ),52
90,ischemic cerebrovascular disease  n ( % ),51
911,ischemic aetiology  n ( % ),51
677,ischaemic  n ( % ),51
341,ischemic tvr,51
89,etoricoxib dose,50
1023,etoricoxib nmbr mg n = nmbr n ( % ),50
85,after bronchodilation,49
1349,before bronchodilation,49
1103,cardiovascular medications  %,48
84,cardiovascular medications,48
777,placebo mean ( n ),47
1609,placebo ls means ( n ),47
1195,placebo no . of events / total no . ( % ),47
1240,placebo estimated mean,47
1052,placebo secukinumab nmbr mg,47
1688,placebo ( dm - vs . dm + ),47
729,placebo  n ( rate ),47
1091,rerandomization to placebo ( n = nmbr ) f,47
1015,feno placebo ( lsm ),47
629,placebo no . / total ( % ),47
947,placebo + mtx,47
1491,placebo event rate ( n = nmbr )  %,47
847,placebo n = nmbr subjects,47
912,placebo nmbr year km ( % ),47
509,placebo plus aspirin,47
83,with placebo ( n nmbr nmbr ),47
1735,placebo every nmbr weeks ( n = nmbr ),47
1401,placebo secukinumab pooled,47
79,coenzyme qnmbr  ^g / ml #,46
378,all with coenzyme qnmbr ( n = nmbr  nmbr ),46
1184,pooled empagliflozin ( n = nmbr ),45
291,pooled simva,45
74,pooled simvastatin factorial studies,45
73,american indian or alaska,44
267,american indian or native alaskan,44
72,amiodarone  n ( % ),43
1395,amiodarone vs . placebo no . hazard ratio ( nmbr . nmbr % cl ),43
1191,amiodarone,43
1274,pasi < nmbr *,42
71,pasi score ! * *,42
1014,estimated gfr  ml min - nmbr nmbr . nmbr m - nmbr ( sd ) a,41
1440,estimated gfr  < nmbr ml min - nmbr nmbr . nmbr m - nmbr  n ( % ) a,41
70,estimated glomerular filtration,41
649,estimated gfr ( ml / min / nmbr . nmbr mnmbr ) ^ |,41
652,estimated * creatinine clearance < nmbr mlvmin  %,41
673,estimated creatinine clearance < nmbr ml / min *,41
1010,current ( nmbr + cigs / day ),40
68,current atrial fibrillation or flutter on ecg,40
1332,current tobacco abuse  n ( % ),40
939,current (  nmbr cigs / day ),40
1249,current / past,40
1593,current or previous atrial fibrillation,40
1784,current ( % ),40
1429,mean ( s . d . ) hbalc  %,39
64,mean lipid values  mg / dl,39
1087,mean hscrp  mg / l ( sd ),39
508,mean cdai score,39
459,mean bmi  kg / mnmbr ( s . d . ),39
1764,mean ( sd ) feno  ppb,39
1645,mean age ( years ) race,39
978,mean ( sd ) body mass index  kg / mnmbr,39
92,mean age ( years ) ( s . d . ),39
1076,mean ( sd ) crp  mg / l *,39
1386,mean ( sd ) swollen joint count *,39
1218,mean weight  kg ( sd ),39
1558,mean change in radiographic end points,39
1486,nmbrbaseline mean,39
120,mean prebronchodilator fevnmbr ( sd )  % predicted,39
1704,mean ( sd ) duration of smoking  pack years,39
628,mean annualized exacerbation rate,39
1359,mean ( sd ) dasnmbr - nmbr ( esr ) *,39
1101,mean fevnmbr  l ( sd ),39
1844,mean sd fpg  mg / dl,39
1254,mean age  years ( nmbr % ci ),39
1937,mean % predicted dlco * ( sd ),39
425,mean age  y  median ( range ),39
86,mean nmbrmwd *  m ( sd ),39
1913,mean bmi  kg / mnmbr,39
1540,mean eosinophil count  per ml,39
218,mean duration of disease  years,39
723,mean ( s . d . ) free pcsknmbr  ng / ml,39
1588,mean ( sd ) post - bronchodilator fevnmbr reversibility  %,39
874,mean ( sd ) extent of exposure  days,39
1602,mean ( sd ) number of albuterol per day  puff,39
199,mean ( nmbr % ci ) difference vs saxa + dapa + met,39
867,mean yearly decline,39
710,mean number of exacerbations ( per patient - year [nmbr % ci] ),39
1830,previous stroke  n ( % ),38
1390,previous hypertension,38
1578,previous oral glucose - lowering agents  % of patients,38
1783,previous metformin use  %,38
1742,previous major bleeding,38
155,previous percutaneous coronary intervention,38
277,previous medications  n ( % ),38
779,previous heart failure,38
776,previous deep - vein thrombosis or pulmonary embolism,38
153,previous dmards use  n ( % ),38
1794,previous ischemic stroke  n ( % ),38
556,previous stroke ortransient ischaemic attack ( % ),38
792,previous myocardial infarction ( % ),38
1848,previous anti - tnf therapy  n [ % ],38
63,previous hf hospitalization  n ( % ),38
1299,previous balloon angioplasty  n ( % ),38
152,previous disease :,38
1261,previous cardiovascular disease !,38
1124,previous copd treatment  n ( % ) *,38
1129,previous transient ischaemic attack / ischaemic stroke previous warfarin use,38
787,previous vascular disease,38
62,lipid - lowering medication ( % ),37
1042,other lipid - modifying drug use at study entry  n ( % ),37
471,other lipid parameters,37
732,lipid lowering medication use,37
1316,lipid profile,37
1693,disease duration  median ( range ) years,36
61,disease duration nmbr to bnmbr years ( n = nmbr ),36
407,duration of disease  median,36
1610,duration of disease  years,36
60,first mace,35
752,first - generation stentt,35
881,median ( qnmbr : qnmbr ) duration of insulin use  years,34
385,median albumin / creatinine ratio ( g / mg ),34
1762,median ( qnmbr : qnmbr ) lp ( a )  mg / dl,34
1193,median ( qnmbr : qnmbr ) tg - rich lipoprotein cholesterol,34
586,median serum periostin  ng / mla,34
1059,median ( iqr ) age  years,34
891,median duration of study - drug administration,34
420,median change  %,34
1339,median blood eosinophil count  cells per pla,34
1314,median ( sd )  mg / mmol,34
953,median ( days ),34
59,median total cholesterol  mmol / l,34
1325,median ( qnmbr : qnmbr ) total daily insulin dosenmbr,34
495,median ( qnmbr : qnmbr ) tgs,34
57,elevated hscrp > nmbr mg / l  n ( % ),33
995,elevated tg,33
201,caucasian simva,32
55,caucasian ethnicity,32
54,medical therapy only ( n = nmbr ),31
111,medical therapy ( n = nmbr ),31
49,ppi but no aspirin,30
487,nontrial ppi,30
303,ppi use ( p = nmbr - nmbrt ),30
567,multivessel pci,29
47,after pci,29
1928,pci for index event,29
1041,abx - facil . pci,29
1504,other drugs,28
46,drugs used in diabetes  n ( % ),28
148,cv medication  % of patients,27
45,cv death  ml  or stroke,27
1305,cv death / mi / stroke,27
1340,cv death or first hhf,27
657,cv risk factor,27
334,cv event  years,27
607,cv risk factor - no . ( % ),27
52,cv death + hf hospitalization,27
1882,baseline albumin : < nmbr,26
486,baseline nmbr - h ppg ,26
81,baseline ecrcl,26
480,baseline bmi nmbr to < nmbr kg / mnmbr  n = nmbr,26
1700,baseline diabetes,26
758,baseline killip class,26
1397,baseline cardiac biomarkers,26
1138,baseline : < nmbr . nmbr meq / l eos : > nmbr . nmbr or < nmbr . nmbr meq / l,26
1889,baseline hbanmbrc,26
775,normoalbuminuria at baseline ( nmbr % of patients treated ),26
440,baseline albumin / creatinine ratio in nmbr classes,26
1096,baseline sgrq score,26
531,baseline ldl cholesterol,26
885,baseline copd exacerbation history  * n ( % ),26
1070,baseline ezetimibe usec,26
585,baseline pulmonary medication  n ( % ),26
1461,baseline statin usec,26
342,baseline ics use  n ( % ),26
1790,baseline post - bronchodilator % predicted fev  > nmbr % and no concurrent tiotropium,26
370,baseline heart rate,26
943,baseline disease and quality - of - life scores,26
1846,baseline triglycerides in nmbr classes,26
838,baseline fpg ,26
1003,baseline systolic bp,26
641,baseline post - bronchodilator % predicted fev  < nmbr %,26
1490,baseline hematocrit  median ( iqr ),26
996,baseline scales  median ( range ),26
701,baseline heart failure severity nyha class i,26
1786,baseline therapy,26
990,baseline cardiac biomarkers elevated,26
1516,hbanmbrc at baseline  %,26
1289,baseline median ( iq range ),26
319,baseline / concomitant therapies,26
1991,baseline crp ( mg / dl ),26
1309,baseline nihss score  median ( range ),26
1311,baseline cardiovascular medication  c n ( % ),26
1632,baseline tobacco use,26
250,baseline fev  ( l ),26
1480,baseline corticosteroids *,26
638,baseline medical therapy,26
1033,baseline nihss score ( % ) #,26
1377,baseline hb < nmbr g nmbr nmbr n = nmbr,26
44,baseline mean ( sd )  % [mmol / mol],26
1474,baseline sitosterol,26
1773,baseline ( geometric mean  cv ),26
626,baseline fvc  l,26
1941,no baseline corticosteroids,26
1226,baseline lp ( a ) in nmbr classes,26
41,st - elevation mi,25
1730,st - segment elevation mi,25
1259,nmbr - nmbr / week,24
1887,< nmbr % predicted arr ( n = nmbr  nmbr ),24
1336,( nmbr % ell ' ll  * non - hdl - c,24
497,nmbr - nmbr ( n = nmbr  nmbr ),24
1814,nmbr placebo ( n = nmbr nmbr ),24
1718,> nmbr . nmbr hdl cholesterol level,24
850,eze / simva nmbr / nmbr mg ( n = nmbr ),24
410,nmbr to < nmbr . nmbr %,24
318,at least nmbr severe flare,24
684,> nmbr . nmbrmmol / l ( n = nmbr ),24
1886,> nmbr years eze / simva baseline ldl - c,24
1362,nmbr year or more,24
1196,hbanmbrc nmbr % - < nmbr % ( n - nmbr ),24
1960,| interactior nmbr p,24
1971,nmbr / nmbr  nmbr ( nmbr . nmbr ),24
1320,nmbr placebo n = nmbr,24
50,nmbr mg / kg ( n = nmbr ),24
825,> nmbr yr warfarin experience,24
849,hbanmbrc nmbr - < = nmbr %,24
421,sita nmbr + pio nmbr,24
483,tertile nmbr ( nmbr . nmbr - nmbr . nmbr pg / ml ) n = nmbr,24
1962,eze / simva nmbr / nmbr mg n = nmbr,24
864,> nmbr servings / wk ( n = nmbr ),24
476,> nmbr % stenosis of coronary  carotid  or lower extremity arteries,24
1225,nmbr - nmbr . nmbr kg / mnmbr,24
1272,nmbr prolonged antithrombotic pretreatment ( n = nmbr ),24
1222,> nmbr days warfarin,24
1803,nmbr . nmbr - nmbr . nmbr kg / mnmbr,24
1275,nmbr locf ),24
1750,after nmbr h,24
162,evenls per nmbr  nmbr palienl - years,24
1808,> nmbr . nmbr pmol / liter hscrp level,24
40,nmbr to < nmbr kg / mnmbr,24
823,nmbr  nmbr / nmbr  nmbr ( nmbr . nmbr ),24
299,nmbr mg clopidogrel load,24
337,< nmbr . nmbr mmol / liter apob : apoa - l ratio,24
1787,hbanmbrc nmbr . nmbr to < nmbr . nmbr % ( nmbr - nmbr mmol / mol ),24
681,< nmbr . nmbr mmol / liter triglyceride level,24
806,nmbr yr km % ( n ),24
530,nmbr bmi  kg / m,24
245,at least nmbr flare,24
795,< nmbr . nmbr mm hg diastolic blood pressure,24
532,llv wlalil nmbr statin,24
1008,nmbr ( fevnmbr < nmbr % pred ),24
1105,nmbr - h plasma glucose during ogtt ( mmol / l ),24
1661,tertile nmbr,24
1706,nmbr . nmbr - nmbr . nmbr ml / min / nmbr . nmbr mnmbr,24
1649,( nmbr % cl ) interaction,24
262,> nmbr to < nmbr egfr  ml / min / nmbr . nmbr mnmbr a,24
1933,hbanmbrc $ nmbr . nmbr % ( nmbr mmol / mol ),24
1879,dasnmbr - nmbr ( esr ),24
1589,nmbr - nmbr ( severe ),24
1697,( $ nmbr mg / dl [nmbr . nmbr mmol / l] ),24
1083,> nmbr ( ml ) additional angiography,24
552,nmbr = help needed  still independent,24
1687,< nmbr years eze / simva,24
1448,kim nmbr ( pg / ml ),24
150,nmbr % < hbanmbrc < = nmbr %,24
220,> nmbr additional cv risk factorsnmbr,24
796,nmbr mg cohort,24
1647,nmbr no . of events,24
1841,nmbr . nmbr ( nmbr nmbr . nmbr ),24
528,nmbr - h pmg ( mg / dl ),24
1419,< nmbr months  n ( % ),24
966,nmbr = minor symptoms  no limitations,24
598,( nmbr % ci] nmbr,24
1507,nmbr - aminosalicylates | | | |,24
671,nmbr - nmbr with cv disease ( n = nmbr ),24
1710,nmbr vessels or left main,24
894,( nmbr % ci ) p value,24
98,> nmbr oral agents,24
933,> nmbr years education,24
975,> nmbr : obese class iii,24
667,> nmbr vessels with > nmbr % stenosis,24
1626,bmi kg - m - nmbr,23
1217,bmi ( kg / mnmbr ) < nmbr,23
1620,bmi ( kg / mnmbr ) [median ( nmbrth to nmbrth percentile ) ],23
1352,bmi ( nmbr . nmbr  nmbr . nmbr ),23
37,bmi > nmbr kg / mnmbr ( % ),23
177,bmi ( kg / mnmbr ) cardiac parameters,23
34,left ventricular ejection fraction  % af history,22
362,left ventricular ejection fraction within previous nmbr mo |,22
315,weight  median ( interquartile range )  kg,21
1472,weight ( range ) ( kg ),21
811,weight $ nmbr . nmbr kg  < nmbr . nmbr kg  n,21
33,weight ( kg / mnmbr ) [median ( nmbrth to nmbrth percentile ) ],21
615,continued thienopyridine n ( % ),20
32,continued thienopyridine n = nmbr subjects,20
630,not reported / unknown,19
31,non - q wave,19
742,not reported in ecrf,19
1905,non - drug - eluting stent,19
184,non - hdl - c in nmbr classes,19
1016,non - fatal myocardial infarction,19
1974,non - detectable / unknown  n ( % ),19
1223,non - hdl - c ( mmol / l  mean ),19
636,non - sulfonylurea secretagogues,19
974,non - study ppi use,19
553,non - metsyn,19
30,lesion length  mean ( sd )  mm,18
395,lesions bnmbr / c,18
29,percutaneous coronary intervention,17
1063,percutaneous coronary intervention or coronary artery bypass graft surgery  n ( % ),17
358,geographic region  %,16
575,geographic region - north america,16
1297,geographical region ( % ),16
27,geographic region - europe,16
24,receiving insulin therapy,15
815,receiving concomitant corticosteroids,15
1615,received an oral aha within nmbr weeks prior to screening,15
519,receiving concomitant nsaids and / or cox - nmbr inhibitors,15
1813,received > nmbr prior anti - tnf therapies  n,15
876,europe nmbr ( n = nmbr ),14
1820,europe  israel  or australia,14
1538,europe ( non - eu ),14
23,europe / lsrael,14
1117,hbanmbrc in patients with baseline hbanmbrc > nmbr % to < nmbr % ( > nmbr to < nmbr mmol / mol )  % [mmol / mol]  la  n baseline ( sd ) adjusted mean change ( nmbr % ci ) placebo subtracted change ( se ),13
1725,patients treated for > nmbr weeks ( % ),13
1116,patients with diabetic nephropathy,13
404,patients with > nmbr exacerbations resulting in hospital admission,13
576,all patients with fistulas ( n = nmbr ),13
1499,patients not receiving corticosteroids at baseline,13
1702,patient history of disease n ( % ),13
648,patients treated with insulin,13
1528,patients receiving corticosteroids at baseline,13
21,vents / patients,13
1488,patients with previous loss of response to and intolerance of infliximab *,13
1944,all patients with opg n - nmbr,13
1066,patient history of disease,13
431,patients without ra  as  or psa ( n = nmbr  nmbr ),13
18,number of ( % ) females,12
1906,number of exacerbations in the past nmbr months,12
1522,number of stents implanted,12
709,number of concomitant aeds  n ( % ),12
171,number omega - nmbr number placeb fatty acid,12
276,number of stent = nmbr,12
1109,number of antidiabetes drugs at screening  n ( % ),12
1961,number ( s ) of features present,12
1396,number of pack - years,12
1721,number of treated vessels ( per patient ),12
293,number ( % ) of patients with event,12
1701,number of vessels disease,12
438,number of exacerbations in last nmbr months ,12
877,number of subjects,12
1214,number of previous anti - tnf treatments for psoriatic arthritis,12
533,number of prior csdmards  n ( % ),12
1500,alteplase group ( n = nmbr ),11
15,alteplase ( n = nmbr ),11
77,acute coronary event,10
14,acute stent thrombosis,10
1262,acute and delayed reaction,10
976,acute dvt study,10
13,total invasive cancer,9
1690,total patients n = nmbr,9
234,total haq  nmbr - nmbr,9
38,total gadolinium - enhancing lesion count  no . ( % ),9
99,total chol  mg / dl,9
1186,total comparators  patients with events / total patients,9
372,total stent length,9
1574,total n = nmbr n ( % ),9
1334,total group ( n = nmbr ),9
10,apixaban vs . placebo,8
1301,apixaban,8
1510,apixaban  nmbr . nmbr mg,8
1966,p  net difference,7
439,p  all vs all,7
9,p  subgroup *,7
367,p - val . ( nmbr ),7
96,no p - blocker intake at randomisation ( n = nmbr ),7
1582,prior implantable cardiodefibrillator  n ( % ),6
644,prior use of biologic agents,6
7,prior percutaneous coronary intervention  n ( % ),6
65,prior years taking warfarin,6
443,prior use of biologics  n ( % ),6
1291,prior diabetes,6
1954,prior lipid - lowering agent use,6
639,prior corticosteroid failure only,6
281,no prior ml or stroke,6
195,prior stroke or transient ischemic attack,6
581,prior coronary revascularization  n ( % ),6
578,prior medications,6
1973,prior pacemaker  n ( % ),6
1031,prior ischemic stroke,6
872,no prior hf hospitalization ( n = nmbr  nmbr ),6
1843,prior disease,6
1233,prior immunnosupressive failure but no anti - tnf failure,6
718,prior congestive heart failure,6
146,prior cv event at randomization !,6
589,prior coronary artery bypass graft surgery,6
1040,prior carotid intervention,6
713,prior history of cardiovascular disease  n ( % ),6
1375,prior ml ( before index acs ),6
942,prior pci or cabg surgery,6
866,prior antihypertensive medication  n ( % ),6
1143,prior tnfi  n ( % ),6
1826,prior biologic exposure,6
561,prior coronary revascularization,6
1354,prior cerebrovascular disease,6
6,high intensity,5
172,high - intensity statin vs medium - or low - intensity statin at randomization,5
994,race  white  n ( % ),4
5,race and ss at baseline,4
812,race or ethnic group,4
271,race or ethnic group ( % ),4
1038,race / ethnicity  %,4
1551,race - non - white ( n = nmbr  nmbr ),4
396,death or stent thrombosis,3
950,death  mi  idr  or st,3
993,death  large mi,3
188,death or myocardial infarction,3
1056,death or absolute fvc decrease > nmbr %,3
4,death  mi  idr  st  or any timi bleeding,3
2,tofacitinib nmbr mg bid [n = nmbr |,2
287,tofacitinib nmbr mg two times a day,2
279,tofacitinib nmbr mg twice daily n = nmbr,2
1178,tofacitinib  nmbr mg ( n = nmbr ),2
1411,tnmbrdm duration ( years ),1
1,duration of hypertension  n ( % ),1
1160,duration of last qualifying episode of atrial fibrillation > nmbr days,1
903,duration of diabetes mellitus  y,1
1438,duration of ra ( years ),1
469,duration of psoriasis  years,1
1655,duration of tnmbrdm  y,1
1823,duration of hypercholesterolemia ( yr ),1
860,duration of tnmbrdm,1
242,duration of morning,1
1270,duration of hypertension ( years ),1
428,duration of ra ( time from symptom onset )  years,1
1199,duration  mean ( sd )  years,1
1242,duration of tnmbrdm ( % ),1
1678,duration of study - drug infusion,1
1825,heart failure or lvef < nmbr % associated with index acs event,0
0,heart failure ( class l - lll ),0
454,heart failure nyha ii - iii,0
321,heart failure criteria met,0
424,venous graft,-1
417,resection performed  %,-1
414,laboratory findings,-1
411,simvastatin monotherapy ( n = nmbr  nmbr * ),-1
399,neuropilin ( ng / ml ),-1
394,parenteral anticoagulalion before randomization,-1
1775,days without albuterol use  * %,-1
1776,treatment with open - label perindopril,-1
393,% stenosis  as assessed by investigator,-1
1315,double - vessel disease  n ( % ),-1
1778,arterial graft,-1
387,tirofiban ( n = nmbr ),-1
1780,time to treatment ( min ) t,-1
1781,serum potassium : < nmbr . nmbrmmol / l ( n = nmbr ),-1
384,aml / val nmbr / nmbr mg,-1
383,atv nmbr mg study protocol,-1
382,puerperium,-1
380,visits nmbrenmbr,-1
379,serum total cholesterol  mmol / l ( sd ),-1
419,ada ifg,-1
1767,medications at discharge or day nmbr  if earlier ( % ),-1
1788,history of recurrent venous thromboembolism,-1
460,anti - ischaemia agents *,-1
470,procedures for index event,-1
466,systolic blood pressure [mmhg] ( interaction : p = nmbr . nmbr ),-1
1751,fevnmbr % pred,-1
1752,copd assessment test ( cat ) score,-1
465,chd risk equivalents  n ( % ),-1
462,mycophenolate mofetil,-1
461,exposure,-1
458,factor xa inhibitor,-1
1766,syst . bp ( mmhg ),-1
451,abnormal angiogram,-1
447,pain in extremity,-1
1761,health assessment questionnaire - disability index,-1
435,age at diagnosis  y,-1
434,upper respiratory tract infection nmbr ( nmbr . nmbr ),-1
433,renin - angiotensin inhibitors,-1
429,grouped region,-1
377,lv mass index ( g / mnmbr - nmbr ),-1
1789,magnetic resonance angiography,-1
473,ct or mr scan of the brain *,-1
1810,calcium supplements,-1
1812,country : argentina ( n = nmbr ),-1
332,russia / georgia ( n = nmbr ),-1
326,coronary angiography and intervention,-1
325,rheumatic heart disease,-1
324,other nsaids,-1
323,pulmonary function tests  % of predicted,-1
314,systemic corticosteroid use,-1
313,european trial,-1
312,intravenous vasodilators ( % ),-1
306,medication adherence,-1
304,large mi,-1
1824,personal relationships,-1
302,telmisartan ( n = nmbr  nmbr ),-1
301,primary prevention subgroup,-1
1827,need for urgent coronary - artery bypass grafting,-1
297,galectin - nmbr ( ng / ml ),-1
295,infarct characteristics,-1
335,oxidative stress,-1
339,less than nmbr %,-1
376,mri substudy ( n = nmbr ),-1
343,bosentan ( n = nmbr ),-1
1791,id genotype,-1
375,non - stemi,-1
365,psoriatic arthritis pain],-1
361,prior biologic therapy ( including anti - tnfs ),-1
356,pav  mean ( nmbr % ci ),-1
355,serum hdl cholesterol ( mmol / l )  mean ( sd ),-1
353,symbol digit score,-1
349,low molecular weight ( lmw ) heparin before randomisation,-1
1799,asthma duration ( sd )  years,-1
1800,glucose metabolism,-1
1801,glycated hemoglobin  median ( iqr ),-1
348,psa duration  years,-1
347,other antiarrhythmics^,-1
346,third heart sound  n ( % ),-1
1805,rectum and sigmoid colon only,-1
345,left - sided disease only,-1
344,nitrates ( oral or topical ),-1
1748,medically important infectionsa,-1
475,indeterminate or unknown,-1
622,hispanic / latin american,-1
565,ml without st - segment elevation !,-1
590,c - peptide  median ( ql  qnmbr )  nmol / l,-1
1686,laba / lama,-1
573,elderly ( > nmbr years ),-1
569,contrast nephropathy risk score,-1
1689,o total randomized,-1
568,notable abnormalities,-1
566,hydralazine,-1
1692,lebrikizumab ( n = nmbr ),-1
555,level of renal impairment,-1
478,pulmonary disease,-1
554,hemoglobin  g nmbr nmbr,-1
550,permanent,-1
548,pef  post - bronchodilator  % predicted normal,-1
1698,very high risk,-1
547,safety population  n ( % ),-1
546,glargine,-1
545,device group,-1
544,coumadin,-1
593,missing data,-1
595,fastest third,-1
596,gemfibrozil,-1
1681,vitamin k antagonist ( e . g . warfarin / coumarol ),-1
619,theophylline compound,-1
618,uric acid ( mg / dl ),-1
617,diarrhea,-1
616,disease - progression composite outcome !,-1
613,nasal polyps,-1
1669,dual antiplatelet,-1
1670,digitalis,-1
611,tnl ultrapositive > nmbr . nmbr pg / l  nmbr = nmbr,-1
610,antimalarials only,-1
609,no corticosteroid + no imm  n,-1
1674,intermediate ( nmbr ) ( n = nmbr  nmbr  nmbr % ),-1
608,valvular disease ( % ),-1
605,family history of coronary artery disease,-1
1677,haemodynamics and lv function,-1
601,minimum stent diameter,-1
1679,salmeterol nmbr gg bid,-1
599,incidence rate,-1
541,recent surgery or trauma,-1
540,dx at presentation  n ( % ),-1
538,current smoker : ex - smoker ( % ),-1
1726,immunomodulatory agents,-1
515,other asian,-1
1729,alcohol use ( > nmbr drink / wk ),-1
513,femoral neck,-1
510,ii - iv ( % ),-1
507,body mass  kg,-1
1733,treated hypertension :,-1
505,history of cardiac arrhythmia,-1
502,available baseline blood specimen n,-1
494,interleukin - nmbr ( ng / l ),-1
1737,intense physical activity,-1
489,nyha class iii or iv ( n = nmbr ),-1
1739,cholesterol absorption inhibitor ( ezetimibe ),-1
488,cardiac resynchronization therapy,-1
1741,nadroparin vs control,-1
482,evaluable for acrnmbr at week nmbr  n,-1
1743,coexisting conditions,-1
