"";"terms"
"16000";"Moderate (> 10 and <22)"
"16001";"Moderate (>11 and <26)"
"16002";"Moderate (>30 to <50)"
"16003";"Moderate (>5%. <10%)"
"16004";"Moderate (1 risk factor)"
"16005";"Moderate (25%. <10%)"
"16006";"Moderate (30–59 mL·min−1·1.73 m−2), n (%)"
"16007";"Moderate (30% <FEV, <50% predicted)"
"16008";"Moderate (7-16)"
"16009";"Moderate (8-19)"
"16010";"Moderate (8 < IPSS <20)"
"16011";"Moderate (GOLD 2)"
"16012";"Moderate (IIEF-EF 11-16)"
"16013";"Moderate (IIEF-EF 11-16), n (%)"
"16014";"Moderate (IPSS <20) (n=393)"
"16015";"Moderate (N=311)"
"16016";"Moderate (N1 = 187)"
"16017";"Moderate (N1 = 36)"
"16018";"Moderate (S5%. <10%)"
"16019";"Moderate chronic kidney disease"
"16020";"Moderate CKD"
"16021";"Moderate CKD at randomization"
"16022";"Moderate COPD"
"16023";"Moderate COPDb [N Z 207]"
"16024";"Moderate CORD*: QVA149-SFC"
"16025";"Moderate decrease (30-<60 mLYmin per 1.73 m2)"
"16026";"Moderate disease"
"16027";"Moderate disease activity: >3.2 to <5.1, n (%)"
"16028";"Moderate dysfunction (crcl 30-50 ml/min; n=2740 [19.5%])"
"16029";"Moderate impairment"
"16030";"Moderate impairment (30 to <60)"
"16031";"Moderate impairment (30 to560mL/min)"
"16032";"Moderate impairment (eGFR 30-59 mL/min/m^)"
"16033";"Moderate impairment (eGFR 30-59)"
"16034";"Moderate impairment (eGFR 30–59), N (%)"
"16035";"Moderate impairment, <30 to <60"
"16036";"Moderate n Z 250"
"16037";"Moderate or less airflow limitation"
"16038";"Moderate or severe COPD exacerbations"
"16039";"Moderate or Severe Decrease in GFR (<60 mL/min/1.73 m2)"
"16040";"Moderate or Severe Decrease In GFR {<60 mL/mln per 1.73 m^)"
"16041";"Moderate or severe exacerbations in the previous year (range)"
"16042";"Moderate or severe impairment"
"16043";"Moderate or severe renal disease, n (%)"
"16044";"Moderate or severe renal disease,b n (%)"
"16045";"Moderate renal impairment"
"16046";"Moderate renal impairment, n (%)*"
"16047";"Moderate risk"
"16048";"Moderate risk (>10-14)"
"16049";"Moderate risk (4-6)"
"16050";"Moderate severity"
"16051";"Moderate TEAEs"
"16052";"Moderate thrombocytopenia (<50X109/L)"
"16053";"Moderate TRS: 3-4 (n = 3,343)"
"16054";"Moderate, GOLD 2"
"16055";"Moderate, n (%)a"
"16056";"Moderate/low"
"16057";"Moderate/severe exacerbation"
"16058";"Moderate/severe exacerbations, ITT population; n (%)"
"16059";"Moderate/severe exacerbations, patient subgroups; n (%)"
"16060";"Moderate/Severe Reduction in eGFR"
"16061";"Moderate’"
"16062";"Moderately high risk"
"16063";"Moderately high risk without atherosclerotic vascular disease*"
"16064";"Moderately impaired"
"16065";"Moderately Impaired"
"16066";"Moderatex"
"16067";"Moderatey"
"16068";"Moderatez"
"16069";"Modi fied LA Grade*"
"16070";"Modified ACC-AHA lesion class B2 or C"
"16071";"Modified ACC or AHA lesion class B2 or C"
"16072";"Modified ACC/AHA lesion class B2 or CJ"
"16073";"Modified ACC/AHA Lesion Class B2/C"
"16074";"Modified Hachinski ischemia scale, mean (SD)c"
"16075";"Modified HAS-BLED"
"16076";"Modified HAS-BLED $3"
"16077";"Modified HAS-BLED <3"
"16078";"Modified HAS-BLED >3"
"16079";"Modified HAS-BLED score, mean±SD"
"16080";"Modified Rankin scale — no. (%)|"
"16081";"Modified Rankin scale at screening, 0-2"
"16082";"Modified Rankin Scale score"
"16083";"Modified Rankin score"
"16084";"Modified Rankin Score"
"16085";"Modified SE-ADL scale"
"16086";"Modified total Sharp score"
"16087";"Modified total Sharp score**"
"16088";"ModMy al randcnxzaton"
"16089";"Monitoring group (n=435)"
"16090";"Monitoring Treatment"
"16091";"Monoamine oxidase B inhibitors"
"16092";"Monocytes, 103/nl"
"16093";"Monotherapy"
"16094";"Monotherapy10"
"16095";"Monteiukast"
"16096";"Monteiukast (n = 929)"
"16097";"Monteiukast vs placebo"
"16098";"Montelukast (n = 101)"
"16099";"Month 1"
"16100";"Month 12"
"16101";"Month 12    Subgroup X Treatment Interaction p-value"
"16102";"Month 18"
"16103";"Month 24"
"16104";"Month 24    Subgroup X Treatment Interaction p-value"
"16105";"Month 25"
"16106";"Month 3"
"16107";"Month 6"
"16108";"Month12"
"16109";"Month18"
"16110";"Monthly"
"16111";"months (log-transformed)"
"16112";"Months from MI—median (IQR)"
"16113";"Months from qualifying stroke* (%)"
"16114";"Months since first RA symptom, mean (SD)f"
"16115";"Months since RA was first diagnosed, mean (SD)"
"16116";"More severe"
"16117";"More severe^"
"16118";"More than 2 lesions per vessel"
"16119";"More than 2 vessels stented"
"16120";"Morning"
"16121";"Morning peak expiratory flow — liters/min"
"16122";"Morning stiffness duration, min"
"16123";"Morning stiffness severity, 0-10 scale"
"16124";"Morphine use for index event/PCI"
"16125";"Morphometric vertebral"
"16126";"mortality"
"16127";"Mortality"
"16128";"Mortality outcomes"
"16129";"Most common AEs in any group"
"16130";"Most common AEs‡"
"16131";"Most common concomitant AEDs,d n(%)"
"16132";"Most frequent AEsa"
"16133";"Most frequent GI disorders"
"16134";"Most frequent infections"
"16135";"Most frequent non-infectious TEAEsb"
"16136";"Most frequent serious TEAEs"
"16137";"Mostly dissatisfied"
"16138";"Mostly satisfied"
"16139";"Motor"
"16140";"Motor subscale (range, 0-108)"
"16141";"Motor UPDRS subscore (baseline), mean (SD)"
"16142";"Motor weakness"
"16143";"Mouth ulceration"
"16144";"MPO (ng/ml)"
"16145";"MRA"
"16146";"MRA (spironolactone or eplerenone)"
"16147";"MRA at baseline"
"16148";"MRA at Baseline"
"16149";"MRA Regimen (n - 802)"
"16150";"MRA Use"
"16151";"MRA, (%)"
"16152";"MRAs"
"16153";"MRF"
"16154";"MRF subjects"
"16155";"MRI Substudy (n=1014)"
"16156";"MS <6, n [%]"
"16157";"MS 6-8, n [%]"
"16158";"MS 9-12, n [%]"
"16159";"Ms&ng"
"16160";"MS, mean [SD]"
"16161";"mSASSS, mean (SD)"
"16162";"msDBP"
"16163";"MSDBP"
"16164";"MSDBP (mm Hg)"
"16165";"MSDBP ± SD, mmHg"
"16166";"msDBP, mm Hg"
"16167";"MSDBP, mm Hga"
"16168";"MSDBP, mmHg (SD)"
"16169";"MSFC timed 25-foot walk test, median seconds"
"16170";"MSFC timed 25-foot walk test."
"16171";"msSBP"
"16172";"MSSBP"
"16173";"MSSBP (mm Hg)"
"16174";"MSSBP <180 mmHg"
"16175";"MSSBP <180mmHg"
"16176";"MSSBP >180 mmHg"
"16177";"MSSBP >180mmHg"
"16178";"MSSBP ± SD, mmHg"
"16179";"msSBP, mm Hg"
"16180";"MSSBP, mm Hga"
"16181";"MSSBP, mmHg (SD)"
"16182";"MSSBP/MSDBP"
"16183";"mTSS"
"16184";"mTSS (0-448)"
"16185";"mTSS at"
"16186";"mTSS at baseline Observed case"
"16187";"mTSS CfB"
"16188";"mTSS CFB mean±SD"
"16189";"mTSS units"
"16190";"mTSS, mean (SD)"
"16191";"mTSS, median (min, max)"
"16192";"MTX"
"16193";"MTX-IR"
"16194";"MTX (mean dose: 14.75 mg/wk)"
"16195";"MTX (n)"
"16196";"MTX (n=116)"
"16197";"MTX £10 mg/week"
"16198";"MTX + non-MTX"
"16199";"MTX + other csDMARDs"
"16200";"MTX + other csOMARDs"
"16201";"MTX + otheTcsDMARDs"
"16202";"MTX <15 mg/week"
"16203";"MTX ≤10 mg/week"
"16204";"MTX ≥15 mg/week"
"16205";"MTX >10–15 mg/week"
"16206";"MTX >10 and £15 mg/week"
"16207";"MTX >10 and SI 5 mg/week"
"16208";"MTX >15 mg/week"
"16209";"MTX at baseline"
"16210";"MTX at baseline, n (%)"
"16211";"MTX average weekly dose, mg/week, mean (SD)"
"16212";"MTX dose > 15 mg/week, %"
"16213";"MTX Exposure (mg/week)"
"16214";"MTX IR"
"16215";"MTX n = 167"
"16216";"MTX n = 197"
"16217";"MTX n = 200"
"16218";"MTX naive or free"
"16219";"MTX only"
"16220";"MTX plus infliximab"
"16221";"MTX plus placebo"
"16222";"MTX SIO mg/week"
"16223";"MTX use at baseline"
"16224";"MTX use at randomization, n (%)"
"16225";"Mucocutaneous"
"16226";"Mucolytic agent"
"16227";"Mucolytics"
"16228";"Mucosal healingc n/n (%)"
"16229";"Mucosal healingf"
"16230";"Multi-racial"
"16231";"Multi-Racial"
"16232";"Multi-vessel coronary artery disease"
"16233";"Multi vessel (or left main)"
"16234";"Multiple"
"16235";"Multiple (>2) CHD risk factors that confer a 10-year risk of CHD >20%"
"16236";"Multiple (2+) CHD risk"
"16237";"Multiple diagnoses"
"16238";"Multiple Risk Factors"
"16239";"Multiple TNFi and other bDMARDs§"
"16240";"Multiple TNFi*"
"16241";"Multiracial"
"16242";"Multiracial or other"
"16243";"Multiracial, n(%)"
"16244";"Multivariable"
"16245";"Multivariable Adjusted HR (95% CI)"
"16246";"Multivariable adjusted model HR (95% CI)"
"16247";"Multivariable OR (95% CI), p Value*"
"16248";"Multivariate logistic modelb"
"16249";"Multivessel (two vessel, three vessel, or left main)"
"16250";"Multivessel CAD (%)"
"16251";"Multivessel CAD, n (%)"
"16252";"Multivessel coronary-artery bypass grafting"
"16253";"Multivessel coronary artery disease"
"16254";"Multivessel coronary artery disease — no./total no. (%)"
"16255";"Multivessel disease"
"16256";"Multivessel Disease"
"16257";"Multivessel disease — no. (%)"
"16258";"Multivessel disease 一no. (%)"
"16259";"Multivessel disease, n (%)"
"16260";"Multivessel disease, no. (%)"
"16261";"Multivessel intervention, n (%)"
"16262";"Multivessel PCI"
"16263";"Multivessel stenting"
"16264";"Multivitamin use"
"16265";"Multivitamin use (current)"
"16266";"Multivitamin use Yes"
"16267";"Multivitamins"
"16268";"Muscle spasms"
"16269";"Musculoskeletal"
"16270";"MVD (n - 12,558)"
"16271";"Myalgia"
"16272";"Mycophenolate (any derivative)"
"16273";"Mycophenolate mofetil"
"16274";"Myocardiai infarction"
"16275";"Myocardial infarction"
"16276";"Myocardial Infarction"
"16277";"Myocardial infarction — no. (%)"
"16278";"Myocardial infarction (%)"
"16279";"Myocardial Infarction at Presentation (N=3576)"
"16280";"Myocardial infarction before index ACS — no. (%)"
"16281";"Myocardial infarction N(%)"
"16282";"Myocardial infarction or angina"
"16283";"Myocardial infarction within the previous 5 yr"
"16284";"Myocardial infarction without ST-segment elevation — no. (%)"
"16285";"Myocardial infarction, (%)"
"16286";"Myocardial infarction, n (%)"
"16287";"Myocardial infarction/CABG/PCI"
"16288";"Myocardial infarction/CABG/PCI <2 years"
"16289";"Myocardial infarction:"
"16290";"Myocardial infarction§"
"16291";"Myocardial ischaemia"
"16292";"Myoclonic"
"16293";"Myopathy"
"16294";"Myopathyt"
"16295";"n"
"16296";"N"
"16297";"n-3-PUFA (N=758)"
"16298";"n-3 allocation"
"16299";"n-3 fatty acids"
"16300";"N-3 Fatty Acids - Placebo LSM (95% Cl)"
"16301";"n-3 Fatty Acids (n=539)"
"16302";"N-3 Fatty Acids Slope LSM ± SE (mm/year)"
"16303";"N-3 Fatty Acit"
"16304";"n-3 PUFA"
"16305";"n-3 PUFA (n=3494)"
"16306";"n-3 PUFA Events/patients (%)"
"16307";"N-terminal pro-BNP — pg/ml§"
"16308";"N-terminal pro-brain natriuretic peptide, pg/mL"
"16309";"N    Event (rate)"
"16310";"n (% of patients)"
"16311";"n (%) Blood pressure - mean (sd) mm Hg"
"16312";"N (%) Liraglutide 1 placebo"
"16313";"n (%) Patients with risk faetors for CV disease aged >60"
"16314";"n (%) responders"
"16315";"N (%) unless otherwise specified"
"16316";"n (3yr KM Event Rate, %)"
"16317";"n (indacaterol 150 ug/ indacaterol 300 ug/placebo)"
"16318";"N (IQR)"
"16319";"n (lesions)"
"16320";"n (stented lesions)"
"16321";"n = 218t"
"16322";"n = 244t"
"16323";"N America"
"16324";"N analysed"
"16325";"N events (%)"
"16326";"N events/ N subjects"
"16327";"N events/N at risk"
"16328";"n nt"
"16329";"N o"
"16330";"n observed"
"16331";"N participants"
"16332";"n t%)"
"16333";"n.a."
"16334";"n/a"
"16335";"N/A"
"16336";"n/N"
"16337";"n/N (%)"
"16338";"n/N 138/1711"
"16339";"n/N 139/1716"
"16340";"n/N (%)"
"16341";"n/N(%/yr)"
"16342";"n/PYR"
"16343";"N/R"
"16344";"N+V (n = 177)"
"16345";"N=6413 Lesions"
"16346";"N=6594 Lesions"
"16347";"N1/N2"
"16348";"N50 yrs"
"16349";"Na"
"16350";"NA"
"16351";"Na (mmol/L)"
"16352";"NACE (primary endpoint)"
"16353";"Nadroparin"
"16354";"Nadroparin (n = 244)"
"16355";"nadroparin vs control"
"16356";"Nail involvement, %"
"16357";"naire can range from 0 to 3 for the Alternative Disability portion and from 0 to 100 for the Pain portion. Scores for the Medical Outcomes"
"16358";"Naive"
"16359";"Naive (n = 339)"
"16360";"Naive (n = 639)"
"16361";"Naive (n = 696)"
"16362";"Naive (n = 743)"
"16363";"Naive (no treatment for current flare)"
"16364";"Naive to antihyperglycemic agent therapy"
"16365";"Naive: no"
"16366";"Naive: yes"
"16367";"NAP"
"16368";"Naproxen"
"16369";"NAPSI score (0-8) of target fingernail"
"16370";"NAPSIt"
"16371";"Nasal polyposis or chronic rhinosinusitis — no. {%)"
"16372";"Nasal polyps"
"16373";"Nasal polyps at baseline: Yes"
"16374";"Nasal polyps, n (%)"
"16375";"Nasopharyngitis"
"16376";"Natalizumab (N = 724)f"
"16377";"Nateglinide (N=4645)"
"16378";"Nateglinide and repaglinide"
"16379";"Nateglinide n/N"
"16380";"Nationality"
"16381";"native american"
"16382";"Native American"
"16383";"Native American or Alaska Native"
"16384";"Native American or Alaskan Native"
"16385";"Native American/Alaskan"
"16386";"Native coronary"
"16387";"Native Coronary"
"16388";"Native coronary-artery lesions"
"16389";"Native Hawaiian or"
"16390";"Native Hawaiian or other Pacific"
"16391";"Native Hawaiian or Other Pacific"
"16392";"Native Hawaiian or other Pacific islander"
"16393";"Native Hawaiian or other Pacific Islander"
"16394";"Native Hawaiian or Other Pacific Islander"
"16395";"Native Hawaiian/ Pacific Islander"
"16396";"Native Hawaiian/Other"
"16397";"Native Hawaiian/Pacific Islander"
"16398";"Native Latin"
"16399";"Nausea"
"16400";"Nausea and/or vomiting adverse events"
"16401";"NBP"
"16402";"nc"
"16403";"NC"
"16404";"NC group ( n = 534)"
"16405";"NCEP ATP-III metabolic syndrome features, n (%)"
"16406";"NCEP ATP III risk factors"
"16407";"NCEP risk category at study entry, n (%)"
"16408";"NCT00000476"
"16409";"NCT00000542"
"16410";"NCT00000556"
"16411";"NCT00000620"
"16412";"NCT00038961"
"16413";"NCT00043784"
"16414";"NCT00059306"
"16415";"NCT00063687"
"16416";"NCT00071331"
"16417";"NCT00077792"
"16418";"NCT00089791"
"16419";"NCT00090103"
"16420";"NCT00092625"
"16421";"NCT00093158"
"16422";"NCT00093899"
"16423";"NCT00099268"
"16424";"NCT00105027"
"16425";"NCT00120289"
"16426";"NCT00134160"
"16427";"NCT00139386"
"16428";"NCT00141960"
"16429";"NCT00143221"
"16430";"NCT00144911"
"16431";"NCT00168792"
"16432";"NCT00170950"
"16433";"NCT00174785"
"16434";"NCT00174915"
"16435";"NCT00174993"
"16436";"NCT00185159"
"16437";"NCT00216619"
"16438";"NCT00222573"
"16439";"NCT00225589"
"16440";"NCT00250445"
"16441";"NCT00255164"
"16442";"NCT00259376"
"16443";"NCT00303459"
"16444";"NCT00321737"
"16445";"NCT00338260"
"16446";"NCT00350168"
"16447";"NCT00359905"
"16448";"NCT00365170"
"16449";"NCT00368979"
"16450";"NCT00377637"
"16451";"NCT00397657"
"16452";"NCT00398931"
"16453";"NCT00403910"
"16454";"NCT00430677"
"16455";"NCT00432796"
"16456";"NCT00433966"
"16457";"NCT00440050"
"16458";"NCT00441350"
"16459";"NCT00454662"
"16460";"NCT00454896"
"16461";"NCT00464269"
"16462";"NCT00475852"
"16463";"NCT00527943"
"16464";"NCT00570739"
"16465";"NCT00596752"
"16466";"NCT00621140"
"16467";"NCT00627016"
"16468";"NCT00679380"
"16469";"NCT00734630"
"16470";"NCT00740623"
"16471";"NCT00783237"
"16472";"NCT00790907"
"16473";"NCT00818883"
"16474";"NCT00862251"
"16475";"NCT00885352"
"16476";"NCT00919711"
"16477";"NCT00986050"
"16478";"NCT00993109"
"16479";"NCT01059136"
"16480";"NCT01392573"
"16481";"NCT01444430"
"16482";"NCT01472185"
"16483";"NCT01474369"
"16484";"NCT01475721"
"16485";"NCT01508936"
"16486";"NCT01523301"
"16487";"NCT01720446"
"16488";"NCT01869491"
"16489";"NCT02738632"
"16490";"NCT03021343"
"16491";"ND"
"16492";"ND not due to swelling or ICH"
"16493";"NE"
"16494";"Nebivolol (N = 258)"
"16495";"Necessitating hospitalization in previous year — no. (%)"
"16496";"Necrosis, n (%)a"
"16497";"Necrotic core"
"16498";"Necrotic core, mm^"
"16499";"Need for 30 ng Edoxaban Dose at"
"16500";"Need for urgent coronary-artery bypass grafting"
"16501";"Negative"
"16502";"Negative (<0.5), n (%)"
"16503";"Negative cTnl (n = 1,550)"
"16504";"Negative for Helicobacter pylori — no./total no. (%)"
"16505";"Neither"
"16506";"Neither ACE-I nor ARB Use"
"16507";"Neither ACE inhibitor nor ARB"
"16508";"Neither corticosteroid nor immunosuppressant"
"16509";"Neither CS nor IMM"
"16510";"Neither deep-vein thrombosis nor pulmonary embolism^"
"16511";"Neither deep-vein thrombosis nor pulmonary embolism§"
"16512";"Neither glucocorticoids nor immunosuppressive agents"
"16513";"Neither ICS nor LABA"
"16514";"Neither n = 1,044"
"16515";"Neither Pbo + statin    EZE + statin"
"16516";"Neither PE nor DVT"
"16517";"Neither T2DM nor MetS"
"16518";"Neither UH or LMW heparin"
"16519";"Neither unfractionated heparin nor low-molecular-weight heparin"
"16520";"neohroDathv. and all-cause mortalitv"
"16521";"Neoplasia"
"16522";"Neoplasia, n (%)"
"16523";"Nephropathy"
"16524";"NERD"
"16525";"Nesiritide (N = 3496)"
"16526";"Nesiritide, %z"
"16527";"Net clinical benefit*"
"16528";"Net clinical benefit: CV death, MI, stroke, GUSTO moderate/severe bleeding"
"16529";"Net clinical benefit: on-treatment VTE or major bleeding"
"16530";"Net Composite"
"16531";"Net EP 1"
"16532";"Net EP 2"
"16533";"Net EP 3"
"16534";"Network"
"16535";"Neuraxial alonee"
"16536";"Neuraxial anaesthesia"
"16537";"Neurocognitive disorders"
"16538";"Neurologicai events"
"16539";"neuropathy"
"16540";"Neuropathy"
"16541";"Neuropathy — no. (%)"
"16542";"Neuropilin (ng/ml)"
"16543";"Neutropenia"
"16544";"Neutrophils, 103/nl"
"16545";"Never"
"16546";"Never been on a VKA"
"16547";"Never Been on a VKA"
"16548";"Never drink"
"16549";"Never NSAID"
"16550";"never or past"
"16551";"Never smoked"
"16552";"Never smoked — no. (%)"
"16553";"Never smoked, n (%)"
"16554";"Never smoker"
"16555";"Never smoking"
"16556";"Never took alendronate"
"16557";"Never used LEV"
"16558";"Never/rarely"
"16559";"New-onset atrial fibrillation"
"16560";"New-onset diabetes"
"16561";"New-onset diabetes§"
"16562";"New anemia Bsl Hb > 120g I-1; Yr 1 < 120g I-1"
"16563";"New Anti-Anginal Therapy"
"16564";"New DES (N=1727)"
"16565";"New diabetes"
"16566";"New diabetes — no. (%)"
"16567";"New DM"
"16568";"New HF medication"
"16569";"New OM"
"16570";"New or suspected thrombus"
"16571";"New or worsenina neohroDathv"
"16572";"New or worsentna neohroDathv"
"16573";"New stroke*"
"16574";"New use of GPA"
"16575";"New Use of GPA"
"16576";"New York Heart Association class"
"16577";"New York Heart Association Class"
"16578";"New York Heart Association congestive heart failure class"
"16579";"New Zealand"
"16580";"Newly diagnosed asthma (n)"
"16581";"NFS <-1.455 (low)"
"16582";"NFS > 0.67 (high)"
"16583";"NFS >0.67 (high)"
"16584";"NG"
"16585";"NG (n = 14,080)"
"16586";"NGAL (ng/ml)"
"16587";"ni"
"16588";"Niacin"
"16589";"Niacin (n=87)"
"16590";"niacin, n (%)"
"16591";"Niacin+Statin"
"16592";"Niacini"
"16593";"NICE classification of COPD severity of obstruction, n (%)[2]"
"16594";"NICE primary prevention onlyb"
"16595";"NICE secondary prevention onlyb"
"16596";"Nicotine pack-years"
"16597";"night-time awakenings in past 2 weeks (SD)*"
"16598";"Night-time awakenings in past 2 weeks prior to baseline"
"16599";"Night-time awakenings/week"
"16600";"Nighttime mean DBP (ABPM) at week 12, mmHg"
"16601";"Nighttime mean SBP (ABPM) at week 12, mmHg"
"16602";"NIH Stroke Scale"
"16603";"NIHSS at baseline"
"16604";"NIHSS at randomization"
"16605";"NIHSS at randomization, 0-4"
"16606";"NIHSS score"
"16607";"Nilvadipine"
"16608";"Nintedanib (n = 61)"
"16609";"Nintedanib (n=166)"
"16610";"Nintedanib (n=472)"
"16611";"Nitrate"
"16612";"Nitrate — no. (%)"
"16613";"Nitrate (oral or intravenous)"
"16614";"Nitrate (oral or topical)"
"16615";"Nitrates"
"16616";"Nitrates (%)"
"16617";"Nitrates (oral or topical)"
"16618";"Nitrates, (%)"
"16619";"Nitrates, n (%)"
"16620";"Nitratesf"
"16621";"NKF Stage"
"16622";"NNT"
"16623";"no"
"16624";"No"
"16625";"NO"
"16626";"No-CKD intensive (N= 3244)"
"16627";"No-CKD standard (N= 3262)"
"16628";"No-diuretics group (n=586)"
"16629";"No    9,123"
"16630";"No (%)"
"16631";"no (74.8)"
"16632";"No (n = 309)"
"16633";"No (n = 412)"
"16634";"No (N=1982)"
"16635";"No (N=3441)"
"16636";"No (N=3627)"
"16637";"No (N=3852)"
"16638";"No (N=4206)"
"16639";"No (N=4731)"
"16640";"No (reference)"
"16641";"No ACE-I/ARB"
"16642";"No ACE inhibitor/ARB"
"16643";"No ACS"
"16644";"No active cancer"
"16645";"No Active Cancer Center-Level INR Percent Time"
"16646";"No adk/e cancer"
"16647";"No alcohol consumption, on average,"
"16648";"No aminosalicylates, N"
"16649";"NO AMIODARONE"
"16650";"No anemia Bsl Hb > 120g I-1; Yr 1 > 120g I-1"
"16651";"No antidiabetic drug"
"16652";"No antihypertensive medication"
"16653";"No Antihypertensive Medication"
"16654";"No antiplatelet therapy"
"16655";"No apparent heart disease"
"16656";"NO ASA"
"16657";"No ASA use at baseline"
"16658";"No ASCVD"
"16659";"No ASCVD + additional CV risk factors, n (%)"
"16660";"No aspirin"
"16661";"No aspirin at baseline"
"16662";"No aspirin or PPI"
"16663";"No atopy (n = 883)"
"16664";"No atrial fibrillation"
"16665";"NO BASELINE CHARACTERISTICS"
"16666";"No baseline corticosteroids"
"16667";"No baseline immunosuppressant use"
"16668";"No beta-blocker"
"16669";"No Beta-blocker use"
"16670";"No Betablocker Use"
"16671";"No Body Weight at Randomization (IXRS)"
"16672";"No CAD/MI"
"16673";"No cardiac disease"
"16674";"No cardiovascular disease (n=514)"
"16675";"No cardiovascular disease (n=529)"
"16676";"No cardiovascular disease (n=671)"
"16677";"No Cardiovascular disorder1'"
"16678";"No cases"
"16679";"No change"
"16680";"No CHD"
"16681";"No CHD at baseline"
"16682";"No CHD EZE/SIMVA"
"16683";"No CHD EZE/SIMVA (n = 995)"
"16684";"No CHD EZE/SIMVA 0 = 995}"
"16685";"No CHD SIMVA"
"16686";"No CHD SIMVA („ = 1023)"
"16687";"No CHD SIMVA (n = 1023]"
"16688";"No CKD"
"16689";"No CKD (%)"
"16690";"No CKD N"
"16691";"No CKD Rate (#events)"
"16692";"No Clinical or Lesion RFs for ST"
"16693";"No colchicine (n = 181)"
"16694";"No Concomitant Antiplatelet"
"16695";"No concomitant cortcosteroid use"
"16696";"No Concomitant immunosuppressive and/or prior anti-TNF use"
"16697";"No corticosteroid"
"16698";"No corticosteroid + no IMM, N"
"16699";"No corticosteroid, no IMM"
"16700";"No corticosteroids or immunosuppressants"
"16701";"No CS and IMM"
"16702";"No CS and IS"
"16703";"No culprit vessel identified"
"16704";"No current smoking"
"16705";"No Current Tobacco Use"
"16706";"No CV event (N =4,644)"
"16707";"No CVD"
"16708";"No depression"
"16709";"No Depression"
"16710";"No DES"
"16711";"No diabetes"
"16712";"No Diabetes"
"16713";"No Diabetes (n - 14,355)"
"16714";"No diabetes (N = 1,416)"
"16715";"No Diabetes (P = .07)"
"16716";"No Diabetes (P = .09)"
"16717";"No Diabetes (P = .67)"
"16718";"No Diabetes (P = .88)"
"16719";"No Diabetes (P = .O7)"
"16720";"No Diabetes (P = .O9)"
"16721";"No diabetes mellitus"
"16722";"No Diabetes Mellitus"
"16723";"No Digoxin n=14 778 (70%)"
"16724";"No Digoxin SCD, No. (%/y)"
"16725";"No diuretic therapy"
"16726";"No DM"
"16727";"No DM (n = 4,202)"
"16728";"No DM (n=13273)"
"16729";"No draining fistulas*"
"16730";"No dysglycaemia or MetS"
"16731";"No dysglycaemia or MetS Pbo (N = 119) vs EvoMab (N = 274)"
"16732";"No Dyspnoea (N=5461)"
"16733";"No Dyspnoea (N=5509)"
"16734";"No EF data||"
"16735";"No EPA Group n=457"
"16736";"No EPA Group n=8862"
"16737";"No EPA Group No. of Events (%)"
"16738";"No estimate"
"16739";"No estrogen"
"16740";"No extensive colitis, N"
"16741";"No Family History of CHD (n=290, 274)"
"16742";"No fracture history"
"16743";"No GI Bleed"
"16744";"No glucocorticoids at baseline"
"16745";"No glucocorticoids or immunosuppressants"
"16746";"No glucose lowering drugs"
"16747";"No heart failure"
"16748";"No Heart failure"
"16749";"No hemoconcentration Hemoconcentration"
"16750";"No high-intensity statin"
"16751";"No history of AF"
"16752";"No history of bowel resections"
"16753";"No History of Cancer"
"16754";"No history of CHF"
"16755";"No history of diabetes (n=4526)"
"16756";"No history of extra-intestinal manifestations of IBD (ref)"
"16757";"No history of heart failure at baseline"
"16758";"No history of HF"
"16759";"No history of hypertension (n=2191)"
"16760";"No History of MI (n=278, 281)"
"16761";"No history of migraine"
"16762";"No History of Migraine"
"16763";"No history of paroxysmal AF"
"16764";"No history of TIA/stroke"
"16765";"No history of TNF antagonist treatment — no. (%)"
"16766";"No hospitalization in the past 12 months prior to baseline (ref)"
"16767";"No HTN"
"16768";"No hx of HF (n=15173)"
"16769";"No hypertension"
"16770";"No Hypertension (n=4555)"
"16771";"No ICS"
"16772";"No Ilb/IIIa inhibitors"
"16773";"No immoMtedion"
"16774";"No immunosuppressive agents at baseline"
"16775";"No in-trial stroke N=31,832"
"16776";"No incident DM or change in FG > 13"
"16777";"No Increased Risk for Falls"
"16778";"No inducer at core study entry"
"16779";"No infarct visible"
"16780";"No IPST"
"16781";"No IPST (n = 10,850)"
"16782";"No Ischemia (n = 5,084)"
"16783";"No known frtrontxtfufoc cond Aon"
"16784";"No LABA, no ICS, n (%)"
"16785";"No LABA; no ICS (tiotropium n = 59, placebo n = 63)"
"16786";"No longer met study criteria"
"16787";"No metabolic syndrome"
"16788";"No Metformin"
"16789";"No Metformin Use"
"16790";"No methotrexate, hydroxychloroquine, or sulfasalazine treatment"
"16791";"No MI"
"16792";"No MI (n - 6,308)"
"16793";"No moderate CKD"
"16794";"No MRA at baseline"
"16795";"No MRA at Baseline"
"16796";"No MTX at baseline"
"16797";"No MTX use at baseline"
"16798";"No Multivessel Disease"
"16799";"No MVD (n - 8,600)"
"16800";"No Myocardial Infarction at Presentation (N=8072)"
"16801";"No Nadroparin (n = 259)"
"16802";"No nasal polyps"
"16803";"No new A or and no more than 1 new BILAG B domain score, %"
"16804";"No new erosions among patients with ≥1 uninvolved joint at baseline¶"
"16805";"No new JSN among patients with ≥1 uninvolved joint at baseline¶"
"16806";"No nonsevere hypoglycemia"
"16807";"No OAM"
"16808";"No OCS"
